,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Ordinary Shares Number,16602460.0,16565885.0,16128999.0,16128999.0,
Share Issued,16602460.0,16565885.0,16128999.0,16128999.0,
Net Debt,17517000.0,30947000.0,31811000.0,32931254.0,
Total Debt,28823000.0,42549000.0,43787000.0,46645252.0,
Tangible Book Value,-41129000.0,-36316000.0,-37100000.0,-36768265.0,
Invested Capital,24734000.0,43271000.0,44158000.0,40254433.0,
Working Capital,-2181000.0,-1699000.0,-1687000.0,-866964.0,
Net Tangible Assets,-39629000.0,-36316000.0,-41998000.0,-36768265.0,
Capital Lease Obligations,3820000.0,4381000.0,4527000.0,6390819.0,
Common Stock Equity,-269000.0,5103000.0,4898000.0,6211446.0,
Preferred Stock Equity,1500000.0,,,,
Total Capitalization,26234000.0,43271000.0,44158000.0,46465879.0,
Total Equity Gross Minority Interest,1231000.0,5103000.0,4898000.0,6211446.0,
Stockholders Equity,1231000.0,5103000.0,0.0,6211446.0,
Other Equity Interest,,5103000.0,,,
Retained Earnings,-23253000.0,0.0,-19261000.0,,
Additional Paid In Capital,22984000.0,0.0,,,
Capital Stock,1500000.0,0.0,,,
Common Stock,0.0,0.0,,,
Preferred Stock,1500000.0,0.0,,,
Total Partnership Capital,,5104000.0,4898000.0,6211446.0,5302713.0
General Partnership Capital,,8886000.0,9086000.0,,
Limited Partnership Capital,,14908000.0,15073000.0,6211446.0,5302713.0
Total Liabilities Net Minority Interest,65446000.0,62307000.0,63786000.0,67874818.0,
Total Non Current Liabilities Net Minority Interest,43770000.0,42549000.0,43786000.0,46645252.0,
Other Non Current Liabilities,,-1000.0,-1000.0,,
Preferred Securities Outside Stock Equity,14947000.0,0.0,,,
Long Term Debt And Capital Lease Obligation,28823000.0,42549000.0,43787000.0,46645252.0,
Long Term Capital Lease Obligation,3820000.0,4381000.0,4527000.0,6390819.0,
Long Term Debt,25003000.0,38168000.0,39260000.0,40254433.0,
Current Liabilities,21676000.0,19758000.0,20000000.0,21229566.0,
Payables And Accrued Expenses,21676000.0,19758000.0,20000000.0,21229566.0,
Payables,21676000.0,19758000.0,20000000.0,21229566.0,
Accounts Payable,21676000.0,19758000.0,20000000.0,21229566.0,
Total Assets,66677000.0,67410000.0,68684000.0,74086264.0,
Total Non Current Assets,47182000.0,49351000.0,50370000.0,53723662.0,
Other Non Current Assets,1993000.0,2626000.0,2389000.0,2612073.0,
Goodwill And Other Intangible Assets,40860000.0,41419000.0,41998000.0,42979711.0,
Other Intangible Assets,1021000.0,1580000.0,2159000.0,3140795.0,
Goodwill,39839000.0,39839000.0,39839000.0,39838916.0,
Net PPE,4329000.0,5306000.0,5983000.0,8131878.0,
Accumulated Depreciation,-3065000.0,-2625000.0,-2195000.0,-1860412.0,
Gross PPE,7394000.0,7931000.0,8178000.0,9992290.0,
Leases,41000.0,41000.0,44000.0,763674.0,
Other Properties,3730000.0,4332000.0,4523000.0,5856282.0,
Machinery Furniture Equipment,3623000.0,3558000.0,3611000.0,3372334.0,
Properties,0.0,0.0,0.0,0.0,
Current Assets,19495000.0,18059000.0,18313000.0,20362602.0,
Restricted Cash,1000000.0,400000.0,400000.0,,
Receivables,11009000.0,10438000.0,10464000.0,13039423.0,
Other Receivables,1811000.0,2218000.0,2520000.0,3402641.0,
Notes Receivable,,,1600000.0,1600000.0,1600000.0
Accounts Receivable,9198000.0,8220000.0,7944000.0,9636782.0,
Cash Cash Equivalents And Short Term Investments,7486000.0,7221000.0,7449000.0,7323179.0,
Cash And Cash Equivalents,7486000.0,7221000.0,7449000.0,7323179.0,
