,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,-702000.0,2473000.0,5034000.0,2103179.0,
Repurchase Of Capital Stock,0.0,-165000.0,0.0,,
Repayment Of Debt,-25815000.0,-2336000.0,-2421000.0,-2340929.0,
Issuance Of Debt,20300000.0,0.0,135000.0,7320562.0,
Issuance Of Capital Stock,15900000.0,0.0,0.0,350925.0,
Capital Expenditure,-85000.0,-80000.0,-327000.0,-422880.0,
Interest Paid Supplemental Data,2632000.0,3978000.0,2634000.0,2069623.0,
Income Tax Paid Supplemental Data,271000.0,0.0,338000.0,0.0,
End Cash Position,8486000.0,7621000.0,7849000.0,7323179.0,
Beginning Cash Position,7621000.0,7849000.0,7323000.0,6688648.0,
Changes In Cash,865000.0,-228000.0,526000.0,634531.0,
Financing Cash Flow,1567000.0,-2701000.0,-4511000.0,3101545.0,
Cash Flow From Continuing Financing Activities,1567000.0,-2701000.0,-4511000.0,3101545.0,
Net Other Financing Charges,-8602000.0,,,,-1032611.0
Proceeds From Stock Option Exercised,416000.0,0.0,,,
Cash Dividends Paid,-632000.0,-200000.0,-2225000.0,-2229013.0,
Preferred Stock Dividend Paid,-547000.0,0.0,,,
Common Stock Dividend Paid,-85000.0,-200000.0,-2225000.0,-2229013.0,
Net Preferred Stock Issuance,15900000.0,-165000.0,0.0,,
Preferred Stock Payments,0.0,-165000.0,0.0,,
Preferred Stock Issuance,15900000.0,0.0,,,
Net Common Stock Issuance,,,0.0,350925.0,599157.0
Common Stock Issuance,,,0.0,350925.0,599157.0
Net Issuance Payments Of Debt,-5515000.0,-2336000.0,-2286000.0,4979633.0,
Net Long Term Debt Issuance,-5515000.0,-2336000.0,-2286000.0,4979633.0,
Long Term Debt Payments,-25815000.0,-2336000.0,-2421000.0,-2340929.0,
Long Term Debt Issuance,20300000.0,0.0,135000.0,7320562.0,
Investing Cash Flow,-85000.0,-80000.0,-327000.0,-4993073.0,
Cash Flow From Continuing Investing Activities,-85000.0,-80000.0,-327000.0,-4993073.0,
Net Business Purchase And Sale,,,0.0,-4570193.0,-438901.0
Purchase Of Business,,,0.0,-4570193.0,-438901.0
Net PPE Purchase And Sale,-85000.0,-80000.0,-327000.0,-422880.0,
Purchase Of PPE,-85000.0,-80000.0,-327000.0,-422880.0,
Operating Cash Flow,-617000.0,2553000.0,5361000.0,2526059.0,
Cash Flow From Continuing Operating Activities,-617000.0,2553000.0,5361000.0,2526059.0,
Change In Working Capital,314000.0,-1911000.0,321000.0,-1135913.0,
Change In Other Current Liabilities,-561000.0,-466000.0,-673000.0,-179022.0,
Change In Other Current Assets,98000.0,-1230000.0,-350000.0,460055.0,
Change In Payables And Accrued Expense,1816000.0,-241000.0,-1231000.0,2195080.0,
Change In Payable,1816000.0,-241000.0,-1231000.0,2195080.0,
Change In Account Payable,1816000.0,-241000.0,-1231000.0,2195080.0,
Change In Receivables,-1039000.0,26000.0,2575000.0,-3612026.0,
Changes In Account Receivables,-978000.0,11000.0,-94000.0,-1788893.0,
Other Non Cash Items,1537000.0,1755000.0,1951000.0,1230438.0,
Provisionand Write Offof Assets,468000.0,0.0,,,
Deferred Tax,607000.0,993000.0,573000.0,-1227300.0,
Deferred Income Tax,607000.0,993000.0,573000.0,-1227300.0,
Depreciation Amortization Depletion,1019000.0,1104000.0,1523000.0,1636513.0,
Depreciation And Amortization,1019000.0,1104000.0,1523000.0,1636513.0,
Depreciation,,,1522899.0,1896423.0,2217702.0
Operating Gains Losses,,41000.0,82000.0,-764500.0,1764946.0
Gain Loss On Sale Of PPE,0.0,41000.0,82000.0,0.0,
Net Income From Continuing Operations,-4562000.0,571000.0,911000.0,2786821.0,
