,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.21,0.21,0.1135,0.27,
Normalized EBITDA,1898000.0,6821000.0,6332000.0,6516168.0,
Total Unusual Items,,,,,-2131690.0
Total Unusual Items Excluding Goodwill,,,,,-2131690.0
Net Income From Continuing Operation Net Minority Interest,-5292000.0,571000.0,911000.0,2786821.0,
Reconciled Depreciation,1019000.0,1104000.0,1523000.0,1636513.0,
Reconciled Cost Of Revenue,152476000.0,149666000.0,159878000.0,154991313.0,
EBITDA,1898000.0,6821000.0,6332000.0,6516168.0,
EBIT,879000.0,5605000.0,4809000.0,4879655.0,
Net Interest Income,486000.0,2977000.0,3128000.0,1307183.0,
Interest Expense,4026000.0,5119000.0,3318000.0,2874282.0,
Interest Income,4512000.0,8096000.0,6446000.0,4181465.0,
Normalized Income,-5292000.0,571000.0,911000.0,2786821.0,
Net Income From Continuing And Discontinued Operation,-5292000.0,571000.0,911000.0,2786821.0,
Total Expenses,162908000.0,159125000.0,170320000.0,164240193.0,
Rent Expense Supplemental,1150000.0,1189000.0,950000.0,2012813.0,
Total Operating Income As Reported,,,,2005373.0,-1634032.0
Diluted Average Shares,16593000.0,16128999.0,16128999.0,16128999.0,
Basic Average Shares,16593000.0,16128999.0,16128999.0,16128999.0,
Diluted EPS,-0.32,0.035402,0.056482,0.172783,
Basic EPS,-0.32,0.035402,0.056482,0.172783,
Diluted NI Availto Com Stockholders,-5292000.0,571000.0,911000.0,2786821.0,
Net Income Common Stockholders,-5292000.0,571000.0,911000.0,2786821.0,
Net Income,-5292000.0,571000.0,911000.0,2786821.0,
Minority Interests,-730000.0,,,,
Net Income Including Noncontrolling Interests,-4562000.0,571000.0,911000.0,2786821.0,
Net Income Continuous Operations,-4562000.0,571000.0,911000.0,2786821.0,
Tax Provision,1415000.0,-85000.0,580000.0,-781448.0,
Pretax Income,-3147000.0,486000.0,1491000.0,2005373.0,
Other Income Expense,-5116000.0,-3225000.0,-3721000.0,-2339239.0,
Other Non Operating Income Expenses,-5116000.0,-3225000.0,-3721000.0,-2339239.0,
Special Income Charges,,,,,-2131690.0
Other Special Charges,,,,,2131690.0
Net Non Operating Interest Income Expense,486000.0,2977000.0,3128000.0,1307183.0,
Interest Expense Non Operating,4026000.0,5119000.0,3318000.0,2874282.0,
Interest Income Non Operating,4512000.0,8096000.0,6446000.0,4181465.0,
Operating Income,1483000.0,734000.0,2084000.0,3037429.0,
Operating Expense,10432000.0,9571000.0,10442000.0,9248880.0,
Other Operating Expenses,1292000.0,2457000.0,1892000.0,2593274.0,
Depreciation Amortization Depletion Income Statement,1019000.0,1216000.0,1523000.0,1636513.0,
Depreciation And Amortization In Income Statement,1019000.0,1216000.0,1523000.0,1636513.0,
Selling General And Administration,8121000.0,5898000.0,7027000.0,5019093.0,
General And Administrative Expense,8121000.0,5898000.0,7027000.0,5019093.0,
Other Gand A,6971000.0,4709000.0,6077000.0,3006280.0,
Rent And Landing Fees,1150000.0,1189000.0,950000.0,2012813.0,
Gross Profit,11915000.0,10305000.0,12526000.0,12286309.0,
Cost Of Revenue,152476000.0,149554000.0,159878000.0,154991313.0,
Total Revenue,164391000.0,159859000.0,172404000.0,167277622.0,
Operating Revenue,164391000.0,159859000.0,172404000.0,167277622.0,
