,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Ordinary Shares Number,21400000.0,21400000.0,21400000.0,21400000.0,
Share Issued,21400000.0,21400000.0,21400000.0,21400000.0,
Tangible Book Value,3627000.0,4964000.0,5787000.0,5638000.0,
Invested Capital,,,,5638000.0,59000.0
Working Capital,3627000.0,4964000.0,5787000.0,5638000.0,
Net Tangible Assets,3627000.0,4964000.0,5787000.0,5638000.0,
Common Stock Equity,3627000.0,4964000.0,5787000.0,5638000.0,
Total Capitalization,3627000.0,4964000.0,5787000.0,5638000.0,
Total Equity Gross Minority Interest,3627000.0,4964000.0,5787000.0,5638000.0,
Stockholders Equity,3627000.0,4964000.0,5787000.0,5638000.0,
Total Liabilities Net Minority Interest,532000.0,338000.0,280000.0,364000.0,
Total Non Current Liabilities Net Minority Interest,0.0,0.0,0.0,0.0,
Other Non Current Liabilities,,,,,68000.0
Current Liabilities,532000.0,338000.0,280000.0,364000.0,
Payables And Accrued Expenses,532000.0,338000.0,280000.0,364000.0,
Current Accrued Expenses,532000.0,338000.0,280000.0,364000.0,
Total Assets,4159000.0,5302000.0,6067000.0,6002000.0,
Total Non Current Assets,0.0,0.0,0.0,0.0,
Current Assets,4159000.0,5302000.0,6067000.0,6002000.0,
Cash Cash Equivalents And Short Term Investments,4159000.0,5302000.0,6067000.0,6002000.0,
Other Short Term Investments,,0.0,5935000.0,0.0,
Cash And Cash Equivalents,4159000.0,5302000.0,132000.0,6002000.0,
