,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,5542000.0,80972000.0,7586000.0,8240000.0
End Cash Position,4964000.0,5787000.0,5638000.0,59000.0
Beginning Cash Position,5787000.0,5638000.0,59000.0,898000.0
Changes In Cash,-823000.0,149000.0,5579000.0,-839000.0
Financing Cash Flow,-6365000.0,-80823000.0,-2007000.0,-9079000.0
Cash Flow From Continuing Financing Activities,-6365000.0,-80823000.0,-2007000.0,-9079000.0
Cash Dividends Paid,-6365000.0,-80823000.0,-2007000.0,-9079000.0
Operating Cash Flow,5542000.0,80972000.0,7586000.0,8240000.0
Cash Flow From Continuing Operating Activities,5542000.0,80972000.0,7586000.0,8240000.0
Change In Working Capital,-58000.0,84000.0,-225000.0,114000.0
Change In Payables And Accrued Expense,-58000.0,84000.0,-225000.0,114000.0
Change In Accrued Expense,-58000.0,84000.0,-225000.0,114000.0
Net Income From Continuing Operations,5600000.0,80888000.0,7811000.0,8126000.0
