,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.0,0.21,0.21,0.27,
Normalized EBITDA,-1379000.0,5313000.0,80819000.0,7812000.0,
Total Unusual Items,,,0.0,0.0,538000.0
Total Unusual Items Excluding Goodwill,,,0.0,0.0,538000.0
Net Income From Continuing Operation Net Minority Interest,-1143000.0,5600000.0,80888000.0,7811000.0,
EBITDA,-1379000.0,5313000.0,80819000.0,7812000.0,
EBIT,-1379000.0,5313000.0,80819000.0,7812000.0,
Net Interest Income,236000.0,287000.0,69000.0,-1000.0,
Interest Income,236000.0,287000.0,69000.0,,11000.0
Normalized Income,-1143000.0,5600000.0,80888000.0,7811000.0,
Net Income From Continuing And Discontinued Operation,-1143000.0,5600000.0,80888000.0,7811000.0,
Total Expenses,1379000.0,1327000.0,1464000.0,1605000.0,
Diluted Average Shares,21400000.0,21400000.0,21400000.0,21400000.0,
Basic Average Shares,21400000.0,21400000.0,21400000.0,21400000.0,
Diluted EPS,-0.053411,0.261682,3.779813,0.365,
Basic EPS,-0.053411,0.261682,3.779813,0.365,
Diluted NI Availto Com Stockholders,-1143000.0,5600000.0,80888000.0,7811000.0,
Net Income Common Stockholders,-1143000.0,5600000.0,80888000.0,7811000.0,
Net Income,-1143000.0,5600000.0,80888000.0,7811000.0,
Net Income Including Noncontrolling Interests,-1143000.0,5600000.0,80888000.0,7811000.0,
Net Income Continuous Operations,-1143000.0,5600000.0,80888000.0,7811000.0,
Pretax Income,-1143000.0,5600000.0,80888000.0,7811000.0,
Other Income Expense,,,,,538000.0
Special Income Charges,,,0.0,0.0,538000.0
Other Special Charges,,,,,-538000.0
Net Non Operating Interest Income Expense,236000.0,287000.0,69000.0,-1000.0,
Total Other Finance Cost,-236000.0,-287000.0,-69000.0,1000.0,
Interest Income Non Operating,236000.0,287000.0,69000.0,,11000.0
Operating Income,-1379000.0,5313000.0,80819000.0,7812000.0,
Operating Expense,1379000.0,1327000.0,1464000.0,1605000.0,
Selling General And Administration,1379000.0,1327000.0,1464000.0,1605000.0,
General And Administrative Expense,1379000.0,1327000.0,1464000.0,1605000.0,
Other Gand A,1379000.0,1327000.0,1464000.0,1605000.0,
Total Revenue,0.0,6640000.0,82283000.0,9417000.0,
Operating Revenue,0.0,6640000.0,82283000.0,9417000.0,
