Metric,Value
address1,601 Travis Street
address2,Floor 16
city,Houston
state,TX
zip,77002
country,United States
phone,713 483 6020
website,https://bpt.q4web.com/home/default.aspx
industry,Oil & Gas Midstream
industryKey,oil-gas-midstream
industryDisp,Oil & Gas Midstream
sector,Energy
sectorKey,energy
sectorDisp,Energy
longBusinessSummary,"BP Prudhoe Bay Royalty Trust operates as a grantor trust in the United States. It is involved in holding overriding royalty interest in the Prudhoe Bay oil field located on the North Slope of Alaska. The Prudhoe Bay field extends approximately 12 miles by 27 miles and contains approximately 150,000 gross productive acres. BP Prudhoe Bay Royalty Trust was incorporated in 1989 and is based in Houston, Texas."
companyOfficers,[]
irWebsite,http://www.hoovers.com/bp-prudhoe-bay-royalty-trust/--ID__44708--/free-co-factsheet.xhtml
executiveTeam,[]
maxAge,86400
priceHint,4
previousClose,0.514
open,0.5
dayLow,0.4901
dayHigh,0.5295
regularMarketPreviousClose,0.514
regularMarketOpen,0.5
regularMarketDayLow,0.4901
regularMarketDayHigh,0.5295
exDividendDate,1673568000
payoutRatio,0.0
fiveYearAvgDividendYield,22.29
beta,0.202
forwardPE,0.12581453
volume,98442
regularMarketVolume,98442
averageVolume,228256
averageVolume10days,440540
averageDailyVolume10Day,440540
bid,0.4902
ask,0.5141
bidSize,1
askSize,3
marketCap,10742799
fiftyTwoWeekLow,0.13
fiftyTwoWeekHigh,2.48
priceToSalesTrailing12Months,50.91374
fiftyDayAverage,0.5872
twoHundredDayAverage,0.75505
trailingAnnualDividendRate,0.0
trailingAnnualDividendYield,0.0
currency,USD
tradeable,False
enterpriseValue,7073800
profitMargins,0.0
sharesOutstanding,21400000
sharesShort,1876379
sharesShortPriorMonth,2028352
sharesShortPreviousMonthDate,1747267200
dateShortInterest,1749772800
sharesPercentSharesOut,0.0877
heldPercentInsiders,0.0
heldPercentInstitutions,0.0624
shortRatio,18.89
impliedSharesOutstanding,22749800
bookValue,0.144
priceToBook,3.4861112
lastFiscalYearEnd,1735603200
nextFiscalYearEnd,1767139200
mostRecentQuarter,1743379200
netIncomeToCommon,-1362000
trailingEps,-0.06
forwardEps,3.99
enterpriseToRevenue,33.525
52WeekChange,-0.90434784
SandP52WeekChange,0.12677538
lastDividendValue,0.29743
lastDividendDate,1673568000
quoteType,EQUITY
currentPrice,0.502
recommendationKey,none
totalCash,3669000
totalCashPerShare,0.171
totalDebt,0
quickRatio,6.24
currentRatio,6.24
totalRevenue,211000
revenuePerShare,0.01
returnOnAssets,-0.19569
returnOnEquity,-0.36051
grossProfits,211000
revenueGrowth,-0.373
grossMargins,1.0
ebitdaMargins,0.0
operatingMargins,-11.66667
financialCurrency,USD
symbol,BPT
language,en-US
region,US
typeDisp,Equity
quoteSourceName,Nasdaq Real Time Price
triggerable,True
customPriceAlertConfidence,HIGH
exchange,NYQ
messageBoardId,finmb_335236
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EDT
gmtOffSetMilliseconds,-14400000
market,us_market
esgPopulated,False
regularMarketChangePercent,-2.33464
regularMarketPrice,0.502
corporateActions,[]
regularMarketTime,1751313602
marketState,CLOSED
shortName,BP Prudhoe Bay Royalty Trust
longName,BP Prudhoe Bay Royalty Trust
hasPrePostMarketData,True
firstTradeDateMilliseconds,611933400000
regularMarketChange,-0.012
regularMarketDayRange,0.4901 - 0.5295
fullExchangeName,NYSE
averageDailyVolume3Month,228256
fiftyTwoWeekLowChange,0.37199998
fiftyTwoWeekLowChangePercent,2.8615384
fiftyTwoWeekRange,0.13 - 2.48
fiftyTwoWeekHighChange,-1.978
fiftyTwoWeekHighChangePercent,-0.79758066
fiftyTwoWeekChangePercent,-90.434784
dividendDate,1674432000
earningsTimestamp,1747252800
earningsTimestampStart,1754596800
earningsTimestampEnd,1754942400
isEarningsDateEstimate,True
epsTrailingTwelveMonths,-0.06
epsForward,3.99
fiftyDayAverageChange,-0.08520001
fiftyDayAverageChangePercent,-0.1450954
twoHundredDayAverageChange,-0.25305003
twoHundredDayAverageChangePercent,-0.33514342
sourceInterval,15
exchangeDataDelayedBy,0
cryptoTradeable,False
trailingPegRatio,
