,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Free Cash Flow,278000000.0,294000000.0,571000000.0,534000000.0,
Repurchase Of Capital Stock,0.0,-402000000.0,-404000000.0,-161000000.0,
Repayment Of Debt,,,,0.0,-600000000.0
Issuance Of Debt,439000000.0,0.0,,0.0,595000000.0
Issuance Of Capital Stock,0.0,1000000.0,2000000.0,4000000.0,
Capital Expenditure,-151000000.0,-212000000.0,-179000000.0,-165000000.0,
End Cash Position,708000000.0,362000000.0,961000000.0,1177000000.0,
Beginning Cash Position,362000000.0,961000000.0,1177000000.0,1216000000.0,
Effect Of Exchange Rate Changes,-4000000.0,-9000000.0,2000000.0,7000000.0,
Changes In Cash,350000000.0,-590000000.0,-218000000.0,-46000000.0,
Financing Cash Flow,48000000.0,-865000000.0,-821000000.0,-581000000.0,
Net Other Financing Charges,-2000000.0,,-6000000.0,-3000000.0,-5000000.0
Cash Dividends Paid,-152000000.0,-233000000.0,-203000000.0,-219000000.0,
Common Stock Dividend Paid,-152000000.0,-233000000.0,-203000000.0,-219000000.0,
Net Common Stock Issuance,0.0,-401000000.0,-402000000.0,-157000000.0,
Common Stock Payments,0.0,-402000000.0,-404000000.0,-161000000.0,
Common Stock Issuance,0.0,1000000.0,2000000.0,4000000.0,
Net Issuance Payments Of Debt,439000000.0,0.0,,0.0,-5000000.0
Net Long Term Debt Issuance,439000000.0,0.0,,0.0,-5000000.0
Long Term Debt Payments,,,,0.0,-600000000.0
Long Term Debt Issuance,439000000.0,0.0,,0.0,595000000.0
Investing Cash Flow,-127000000.0,-231000000.0,-147000000.0,-164000000.0,
Net Other Investing Changes,11000000.0,,,,
Net Business Purchase And Sale,0.0,-19000000.0,0.0,-7000000.0,
Purchase Of Business,0.0,-19000000.0,0.0,-7000000.0,
Net Intangibles Purchase And Sale,-29000000.0,-50000000.0,-43000000.0,-37000000.0,
Purchase Of Intangibles,-29000000.0,-50000000.0,-43000000.0,-37000000.0,
Net PPE Purchase And Sale,-109000000.0,-162000000.0,-104000000.0,-120000000.0,
Sale Of PPE,13000000.0,0.0,32000000.0,8000000.0,
Purchase Of PPE,-122000000.0,-162000000.0,-136000000.0,-128000000.0,
Operating Cash Flow,429000000.0,506000000.0,750000000.0,699000000.0,
Taxes Refund Paid,-43000000.0,-139000000.0,-140000000.0,-180000000.0,
Interest Received Cfo,21000000.0,32000000.0,18000000.0,2000000.0,
Interest Paid Cfo,-75000000.0,-52000000.0,-40000000.0,-32000000.0,
Change In Working Capital,75000000.0,-166000000.0,-76000000.0,54000000.0,
Change In Payable,-41000000.0,-77000000.0,-49000000.0,81000000.0,
Change In Inventory,80000000.0,-57000000.0,-10000000.0,-22000000.0,
Change In Receivables,36000000.0,-32000000.0,-17000000.0,-5000000.0,
Other Non Cash Items,48000000.0,31000000.0,8000000.0,14000000.0,
Stock Based Compensation,18000000.0,16000000.0,19000000.0,16000000.0,
Depreciation And Amortization,413000000.0,379000000.0,344000000.0,313000000.0,
Amortization Cash Flow,54000000.0,42000000.0,37000000.0,39000000.0,
Depreciation,359000000.0,337000000.0,307000000.0,274000000.0,
Gain Loss On Investment Securities,-8000000.0,5000000.0,-2000000.0,-4000000.0,
Gain Loss On Sale Of PPE,0.0,3000000.0,-19000000.0,-3000000.0,
Net Income From Continuing Operations,-66000000.0,383000000.0,634000000.0,511000000.0,
