,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,-7250000.0,0.0,5106000.0,669000.0,
Tax Rate For Calcs,0.25,0.29,0.222,0.223,
Normalized EBITDA,457000000.0,816000000.0,992000000.0,852000000.0,
Total Unusual Items,-29000000.0,0.0,23000000.0,3000000.0,
Total Unusual Items Excluding Goodwill,-29000000.0,0.0,23000000.0,3000000.0,
Net Income From Continuing Operation Net Minority Interest,-75000000.0,270000000.0,490000000.0,396000000.0,
Reconciled Depreciation,413000000.0,379000000.0,344000000.0,313000000.0,
Reconciled Cost Of Revenue,923000000.0,959000000.0,911000000.0,815000000.0,
EBITDA,428000000.0,816000000.0,1015000000.0,855000000.0,
EBIT,15000000.0,437000000.0,671000000.0,542000000.0,
Net Interest Income,-63000000.0,-35000000.0,-23000000.0,-31000000.0,
Interest Expense,81000000.0,54000000.0,37000000.0,31000000.0,
Interest Income,13000000.0,22000000.0,18000000.0,2000000.0,
Normalized Income,-53250000.0,270000000.0,472106000.0,393669000.0,
Net Income From Continuing And Discontinued Operation,-75000000.0,270000000.0,490000000.0,396000000.0,
Total Expenses,2435000000.0,2550000000.0,2459000000.0,2287000000.0,
Rent Expense Supplemental,109000000.0,141000000.0,312000000.0,144000000.0,
Total Operating Income As Reported,-3000000.0,418000000.0,657000000.0,543000000.0,
Diluted Average Shares,358400000.0,366200000.0,388000000.0,404800000.0,
Basic Average Shares,357500000.0,365000000.0,386100000.0,402500000.0,
Diluted EPS,-0.209,0.739,1.263,0.977,
Basic EPS,-0.209,0.741,1.269,0.982,
Diluted NI Availto Com Stockholders,-75000000.0,270000000.0,490000000.0,396000000.0,
Net Income Common Stockholders,-75000000.0,270000000.0,490000000.0,396000000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,-75000000.0,270000000.0,490000000.0,396000000.0,
Minority Interests,0.0,-1000000.0,-2000000.0,-1000000.0,
Net Income Including Noncontrolling Interests,-75000000.0,271000000.0,492000000.0,397000000.0,
Net Income Continuous Operations,-75000000.0,271000000.0,492000000.0,397000000.0,
Tax Provision,9000000.0,112000000.0,142000000.0,114000000.0,
Pretax Income,-66000000.0,383000000.0,634000000.0,511000000.0,
Special Income Charges,-29000000.0,0.0,23000000.0,3000000.0,
Other Special Charges,,,-32000000.0,-18000000.0,-81000000.0
Write Off,,0.0,-7000000.0,4000000.0,-52000000.0
Restructuring And Mergern Acquisition,29000000.0,0.0,16000000.0,11000000.0,
Net Non Operating Interest Income Expense,-63000000.0,-35000000.0,-23000000.0,-31000000.0,
Total Other Finance Cost,-5000000.0,3000000.0,4000000.0,2000000.0,
Interest Expense Non Operating,81000000.0,54000000.0,37000000.0,31000000.0,
Interest Income Non Operating,13000000.0,22000000.0,18000000.0,2000000.0,
Operating Income,26000000.0,418000000.0,635000000.0,539000000.0,
Operating Expense,1512000000.0,1591000000.0,1548000000.0,1472000000.0,
Depreciation And Amortization In Income Statement,409000000.0,376000000.0,,,
Amortization,54000000.0,42000000.0,,,
Depreciation Income Statement,355000000.0,334000000.0,,,
Selling General And Administration,1126000000.0,1228000000.0,1560000000.0,1482000000.0,
Selling And Marketing Expense,854000000.0,949000000.0,1207000000.0,1115000000.0,
General And Administrative Expense,272000000.0,279000000.0,353000000.0,367000000.0,
Gross Profit,1538000000.0,2009000000.0,2183000000.0,2011000000.0,
Cost Of Revenue,923000000.0,959000000.0,911000000.0,815000000.0,
Total Revenue,2461000000.0,2968000000.0,3094000000.0,2826000000.0,
Operating Revenue,2461000000.0,2968000000.0,3094000000.0,2826000000.0,
