,2025-02-28,2024-02-29,2023-02-28,2022-02-28,2021-02-28
Free Cash Flow,64900000.0,55671000.0,36788000.0,51432000.0,
Issuance Of Capital Stock,2789000.0,23000.0,0.0,0.0,
Capital Expenditure,-10067000.0,-1334000.0,-1363000.0,-617000.0,
End Cash Position,113076000.0,88836000.0,73019000.0,67118000.0,
Beginning Cash Position,88836000.0,73019000.0,67118000.0,20734000.0,
Changes In Cash,24240000.0,15817000.0,5901000.0,46384000.0,
Financing Cash Flow,-40660000.0,-36827000.0,-30887000.0,-5048000.0,
Cash Dividends Paid,-42843000.0,-36641000.0,-30654000.0,-4790000.0,
Common Stock Dividend Paid,-42843000.0,-36641000.0,-30654000.0,-4790000.0,
Net Common Stock Issuance,2789000.0,23000.0,0.0,0.0,
Common Stock Issuance,2789000.0,23000.0,0.0,0.0,
Investing Cash Flow,-10067000.0,-4361000.0,-1363000.0,-617000.0,
Net Business Purchase And Sale,0.0,-3027000.0,0.0,0.0,
Purchase Of Business,0.0,-3027000.0,0.0,0.0,
Net Intangibles Purchase And Sale,-3709000.0,0.0,,,
Purchase Of Intangibles,-3709000.0,0.0,,,
Net PPE Purchase And Sale,-6358000.0,-1334000.0,-1363000.0,-617000.0,
Purchase Of PPE,-6358000.0,-1334000.0,-1363000.0,-617000.0,
Operating Cash Flow,74967000.0,57005000.0,38151000.0,52049000.0,
Taxes Refund Paid,-18930000.0,-15109000.0,-10295000.0,-9138000.0,
Interest Received Cfo,8486000.0,5111000.0,0.0,0.0,
Interest Paid Cfo,-224000.0,-330000.0,-443000.0,-532000.0,
Change In Working Capital,11516000.0,2534000.0,-8665000.0,14378000.0,
Change In Other Current Assets,5794000.0,-4405000.0,9867000.0,3661000.0,
Change In Payable,49616000.0,46200000.0,14105000.0,60491000.0,
Change In Inventory,46000.0,-2000.0,38000.0,495000.0,
Change In Receivables,-43940000.0,-39259000.0,-32675000.0,-50269000.0,
Other Non Cash Items,-8195000.0,-4718000.0,491000.0,589000.0,
Stock Based Compensation,5049000.0,5708000.0,4188000.0,2563000.0,
Depreciation And Amortization,2644000.0,2379000.0,2480000.0,2608000.0,
Amortization Cash Flow,880000.0,880000.0,1306000.0,1611000.0,
Depreciation,1764000.0,1499000.0,1174000.0,997000.0,
Gain Loss On Sale Of PPE,,0.0,3000.0,15000.0,18000.0
Net Income From Continuing Operations,74613000.0,61596000.0,50392000.0,41566000.0,
