,2025-02-28,2024-02-29,2023-02-28,2022-02-28
Tax Effect Of Unusual Items,0.0,0.0,0.0,-30843.0
Tax Rate For Calcs,0.264994,0.239382,0.199,0.207
Normalized EBITDA,77548000.0,64368000.0,53363000.0,44912000.0
Total Unusual Items,,,-937000.0,-149000.0
Total Unusual Items Excluding Goodwill,,,-937000.0,-149000.0
Net Income From Continuing Operation Net Minority Interest,54841000.0,46851000.0,40421000.0,32854000.0
Reconciled Depreciation,2644000.0,2379000.0,2480000.0,2608000.0
Reconciled Cost Of Revenue,53880000.0,61243000.0,54848000.0,38475000.0
EBITDA,77548000.0,64368000.0,53363000.0,44763000.0
EBIT,74904000.0,61989000.0,50883000.0,42155000.0
Net Interest Income,8195000.0,4718000.0,-491000.0,-589000.0
Interest Expense,291000.0,393000.0,491000.0,589000.0
Interest Income,8486000.0,5111000.0,0.0,0.0
Normalized Income,54841000.0,46851000.0,40421000.0,32972157.0
Net Income From Continuing And Discontinued Operation,54841000.0,46851000.0,40421000.0,32854000.0
Total Expenses,150708000.0,150309000.0,133538000.0,103532000.0
Rent Expense Supplemental,348000.0,250000.0,25000.0,16000.0
Total Operating Income As Reported,66426000.0,56712000.0,50883000.0,42155000.0
Diluted Average Shares,249810895.0,248506930.0,248243017.0,244867663.0
Basic Average Shares,240750619.0,239693670.0,239482333.0,239482333.0
Diluted EPS,0.2195,0.1885,0.1628,0.1342
Basic EPS,0.2278,0.1955,0.1688,0.1372
Diluted NI Availto Com Stockholders,54841000.0,46851000.0,40421000.0,32854000.0
Net Income Common Stockholders,54841000.0,46851000.0,40421000.0,32854000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,54841000.0,46851000.0,40421000.0,32854000.0
Net Income Including Noncontrolling Interests,54841000.0,46851000.0,40421000.0,32854000.0
Net Income Continuous Operations,54841000.0,46851000.0,40421000.0,32854000.0
Tax Provision,19772000.0,14745000.0,9971000.0,8712000.0
Pretax Income,74613000.0,61596000.0,50392000.0,41566000.0
Special Income Charges,,,-937000.0,-149000.0
Write Off,,,937000.0,149000.0
Net Non Operating Interest Income Expense,8195000.0,4718000.0,-491000.0,-589000.0
Interest Expense Non Operating,291000.0,393000.0,491000.0,589000.0
Interest Income Non Operating,8486000.0,5111000.0,0.0,0.0
Operating Income,66426000.0,56712000.0,50883000.0,42304000.0
Operating Expense,96828000.0,89066000.0,78690000.0,65057000.0
Other Operating Expenses,-108000.0,1227000.0,937000.0,149000.0
Selling General And Administration,96936000.0,87839000.0,77753000.0,65057000.0
General And Administrative Expense,96936000.0,87839000.0,77753000.0,65057000.0
Gross Profit,163254000.0,145778000.0,129573000.0,107361000.0
Cost Of Revenue,53880000.0,61243000.0,54848000.0,38475000.0
Total Revenue,217134000.0,207021000.0,184421000.0,145836000.0
Operating Revenue,217134000.0,207021000.0,184421000.0,145836000.0
