Metric,Value
address1,Bytes House
address2,Randalls Way
city,Leatherhead
zip,KT22 7TW
country,United Kingdom
phone,44 1372 418 500
fax,44 1372 374 248
website,https://www.bytes.co.uk
industry,Software - Infrastructure
industryKey,software-infrastructure
industryDisp,Software - Infrastructure
sector,Technology
sectorKey,technology
sectorDisp,Technology
longBusinessSummary,"Bytes Technology Group plc offers software, security, AI, and cloud services in the United Kingdom, Europe, and internationally. The company sells servers, laptops, and other devices; various cloud-based and non-cloud-based licenses; and subscriptions and software assurance products. It also offers externally and internally training and consulting services; cyber security; digital workspace; hybrid infrastructure; public cloud; and software asset management. The company sells its products and services under the Bytes Software Services and Phoenix brands. It serves small- and medium-sized businesses, enterprises, and public sector organizations. The company was founded in 1982 and is headquartered in Leatherhead, the United Kingdom."
fullTimeEmployees,1245
companyOfficers,"[{'maxAge': 1, 'name': 'Ms. Sam  Mudd', 'age': 55, 'title': 'CEO & Executive Director', 'yearBorn': 1969, 'fiscalYear': 2025, 'totalPay': 787464, 'exercisedValue': 0, 'unexercisedValue': 577612}, {'maxAge': 1, 'name': 'Mr. Andrew John Holden', 'age': 57, 'title': 'CFO & Executive Director', 'yearBorn': 1967, 'fiscalYear': 2025, 'totalPay': 659542, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Paul  Emms', 'title': 'Director of Group Finance', 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Jack  Watson', 'age': 40, 'title': 'Managing Director of Bytes Software Services', 'yearBorn': 1984, 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Lisa  Prickett', 'title': 'Group Sustainability Manager', 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Clare  Metcalfe', 'age': 55, 'title': 'MD of Phoenix Software', 'yearBorn': 1969, 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Willem Karel Groenewald', 'age': 57, 'title': 'Company Secretary', 'yearBorn': 1967, 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}]"
compensationAsOfEpochDate,1767139200
executiveTeam,[]
maxAge,86400
priceHint,2
previousClose,349.8
open,349.6
dayLow,343.6
dayHigh,357.6
regularMarketPreviousClose,349.8
regularMarketOpen,349.6
regularMarketDayLow,343.6
regularMarketDayHigh,357.6
dividendRate,0.1
dividendYield,1.95
exDividendDate,1752105600
payoutRatio,0.41459998
beta,0.717
trailingPE,16.145454
forwardPE,0.14061758
volume,1438253
regularMarketVolume,1438253
averageVolume,752234
averageVolume10days,1744449
averageDailyVolume10Day,1744449
bid,356.2
ask,356.8
marketCap,861761344
fiftyTwoWeekLow,341.6
fiftyTwoWeekHigh,563.0
priceToSalesTrailing12Months,3.9687996
fiftyDayAverage,507.564
twoHundredDayAverage,469.616
trailingAnnualDividendRate,0.1
trailingAnnualDividendYield,0.00028587767
currency,GBp
tradeable,False
enterpriseValue,1174473984
profitMargins,0.25257
floatShares,217946235
sharesOutstanding,242612992
heldPercentInsiders,0.09765001
heldPercentInstitutions,0.69624
impliedSharesOutstanding,242612992
bookValue,0.153
priceToBook,2321.5688
lastFiscalYearEnd,1740700800
nextFiscalYearEnd,1772236800
mostRecentQuarter,1632960000
earningsQuarterlyGrowth,0.163
netIncomeToCommon,54841000
trailingEps,0.22
forwardEps,25.26
enterpriseToRevenue,5.409
enterpriseToEbitda,17.183
52WeekChange,-0.33916277
SandP52WeekChange,0.12677538
lastDividendValue,0.069
lastDividendDate,1752105600
quoteType,EQUITY
currentPrice,355.2
targetHighPrice,660.0
targetLowPrice,500.0
targetMeanPrice,606.8
targetMedianPrice,610.0
recommendationMean,1.4
recommendationKey,strong_buy
numberOfAnalystOpinions,10
totalCash,42854000
totalCashPerShare,0.181
ebitda,68350000
totalDebt,1269000
quickRatio,1.1
currentRatio,1.106
totalRevenue,217134000
debtToEquity,3.5
revenuePerShare,0.902
returnOnAssets,0.09945
returnOnEquity,0.62185
grossProfits,163254000
freeCashflow,49859376
operatingCashflow,74967000
earningsGrowth,0.112
revenueGrowth,0.136
grossMargins,0.75185996
ebitdaMargins,0.31478
operatingMargins,0.09217
financialCurrency,GBP
symbol,BYIT.L
language,en-US
region,US
typeDisp,Equity
quoteSourceName,Delayed Quote
triggerable,False
customPriceAlertConfidence,LOW
shortName,BYTES TECHNOLOGY GROUP PLC ORD 
marketState,CLOSED
corporateActions,"[{'header': 'Dividend', 'message': 'BYIT.L announced a cash dividend of 0.10 with an ex-date of Jul. 10, 2025', 'meta': {'eventType': 'DIVIDEND', 'dateEpochMs': 1752102000000, 'amount': '0.10'}}]"
regularMarketTime,1751643320
exchange,LSE
messageBoardId,finmb_692357013
exchangeTimezoneName,Europe/London
exchangeTimezoneShortName,BST
gmtOffSetMilliseconds,3600000
market,gb_market
esgPopulated,False
regularMarketChangePercent,1.5437464
regularMarketPrice,355.2
hasPrePostMarketData,False
fiftyDayAverageChange,-152.36398
fiftyDayAverageChangePercent,-0.30018675
twoHundredDayAverageChange,-114.415985
twoHundredDayAverageChangePercent,-0.24363732
sourceInterval,15
exchangeDataDelayedBy,15
averageAnalystRating,1.4 - Strong Buy
cryptoTradeable,False
firstTradeDateMilliseconds,1607673600000
regularMarketChange,5.4000244
regularMarketDayRange,343.6 - 357.6
fullExchangeName,LSE
averageDailyVolume3Month,752234
fiftyTwoWeekLowChange,13.600006
fiftyTwoWeekLowChangePercent,0.03981266
fiftyTwoWeekRange,341.6 - 563.0
fiftyTwoWeekHighChange,-207.79999
fiftyTwoWeekHighChangePercent,-0.3690941
fiftyTwoWeekChangePercent,-33.916275
earningsTimestamp,1747116009
earningsTimestampStart,1747116009
earningsTimestampEnd,1747116009
earningsCallTimestampStart,1747125000
earningsCallTimestampEnd,1747125000
isEarningsDateEstimate,False
epsTrailingTwelveMonths,0.22
epsForward,25.26
epsCurrentYear,0.24813
priceEpsCurrentYear,1431.5078
