Metric,Value
quoteType,ECNQUOTE
symbol,DRX
language,en-US
region,US
typeDisp,ECNQUOTE
quoteSourceName,Delayed Quote
triggerable,True
customPriceAlertConfidence,HIGH
hasPrePostMarketData,False
firstTradeDateMilliseconds,1735223400000
priceHint,2
corporateActions,[]
exchange,NMS
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EDT
gmtOffSetMilliseconds,-14400000
market,us_market
esgPopulated,False
marketState,CLOSED
longName,Roundhill Daily 2X Long China Dragons ETF
fullExchangeName,NasdaqGS
averageDailyVolume3Month,4600
averageDailyVolume10Day,4600
fiftyTwoWeekRange,25.0 - 25.0
fiftyTwoWeekLow,25.0
fiftyTwoWeekHigh,25.0
fiftyTwoWeekChangePercent,0.0
fiftyDayAverage,25.0
twoHundredDayAverage,25.0
sourceInterval,15
exchangeDataDelayedBy,0
tradeable,False
cryptoTradeable,False
trailingPegRatio,
