,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Free Cash Flow,40300000.0,36300000.0,30700000.0,24700000.0,
Repayment Of Debt,-33200000.0,-28900000.0,-44900000.0,-102300000.0,
Issuance Of Debt,37500000.0,79400000.0,61800000.0,94100000.0,
Issuance Of Capital Stock,,,0.0,53300000.0,100000.0
Capital Expenditure,-6100000.0,-4900000.0,-5600000.0,-6200000.0,
End Cash Position,43700000.0,31500000.0,43400000.0,36900000.0,
Beginning Cash Position,31500000.0,43400000.0,36900000.0,28200000.0,
Effect Of Exchange Rate Changes,-1000000.0,-2500000.0,-1700000.0,1100000.0,
Changes In Cash,13200000.0,-9400000.0,8200000.0,7600000.0,
Financing Cash Flow,-13900000.0,33200000.0,1200000.0,29300000.0,
Net Other Financing Charges,,,,-100000.0,
Interest Paid Cff,,,,,-600000.0
Cash Dividends Paid,-11700000.0,-11200000.0,-10500000.0,-9400000.0,
Common Stock Dividend Paid,-11700000.0,-11200000.0,-10500000.0,-9400000.0,
Net Common Stock Issuance,,,0.0,53300000.0,100000.0
Common Stock Issuance,,,0.0,53300000.0,100000.0
Net Issuance Payments Of Debt,4300000.0,50500000.0,16900000.0,-8200000.0,
Net Long Term Debt Issuance,4300000.0,50500000.0,16900000.0,-8200000.0,
Long Term Debt Payments,-33200000.0,-28900000.0,-44900000.0,-102300000.0,
Long Term Debt Issuance,37500000.0,79400000.0,61800000.0,94100000.0,
Investing Cash Flow,-19300000.0,-83800000.0,-29300000.0,-52600000.0,
Interest Received Cfi,3500000.0,3900000.0,1400000.0,400000.0,
Net Business Purchase And Sale,-16700000.0,-82800000.0,-25100000.0,-47200000.0,
Sale Of Business,13300000.0,0.0,0.0,37300000.0,
Purchase Of Business,-30000000.0,-82800000.0,-25100000.0,-84500000.0,
Net Intangibles Purchase And Sale,-700000.0,-100000.0,-200000.0,-800000.0,
Purchase Of Intangibles,-700000.0,-100000.0,-200000.0,-800000.0,
Net PPE Purchase And Sale,-5400000.0,-4800000.0,-5400000.0,-5000000.0,
Sale Of PPE,,,0.0,400000.0,300000.0
Purchase Of PPE,-5400000.0,-4800000.0,-5400000.0,-5400000.0,
Operating Cash Flow,46400000.0,41200000.0,36300000.0,30900000.0,
Taxes Refund Paid,-10600000.0,-12500000.0,-9000000.0,-7100000.0,
Interest Paid Cfo,-13500000.0,-12300000.0,-6800000.0,-4500000.0,
Change In Working Capital,1200000.0,400000.0,-5300000.0,-15800000.0,
Change In Payable,-10000000.0,-11100000.0,-1700000.0,26800000.0,
Change In Inventory,5400000.0,14500000.0,-8600000.0,-17700000.0,
Change In Receivables,5800000.0,-3000000.0,5000000.0,-24900000.0,
Other Non Cash Items,10400000.0,9000000.0,300000.0,4100000.0,
Stock Based Compensation,2000000.0,2600000.0,2200000.0,1300000.0,
Provisionand Write Offof Assets,100000.0,2600000.0,-200000.0,-300000.0,
Deferred Tax,7400000.0,6400000.0,7200000.0,10700000.0,
Depreciation And Amortization,28400000.0,27800000.0,26900000.0,25300000.0,
Amortization Cash Flow,16600000.0,16500000.0,16500000.0,14500000.0,
Depreciation,11800000.0,11300000.0,10400000.0,10800000.0,
Pension And Employee Benefit Expense,-1600000.0,-1200000.0,-900000.0,-1300000.0,
Gain Loss On Sale Of PPE,100000.0,200000.0,600000.0,-100000.0,
Gain Loss On Sale Of Business,-2100000.0,0.0,0.0,-6600000.0,
Net Income From Continuing Operations,24600000.0,15500000.0,21300000.0,25200000.0,
