,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.23,0.3,0.27,0.19,
Normalized EBITDA,74500000.0,62900000.0,63100000.0,46600000.0,
Net Income From Continuing Operation Net Minority Interest,24600000.0,15500000.0,21300000.0,9700000.0,
Reconciled Depreciation,28400000.0,27800000.0,26900000.0,25300000.0,
Reconciled Cost Of Revenue,241400000.0,260000000.0,279700000.0,233000000.0,
EBITDA,74500000.0,62900000.0,63100000.0,46600000.0,
EBIT,46100000.0,35100000.0,36200000.0,21300000.0,
Net Interest Income,-10400000.0,-9000000.0,-5500000.0,-3800000.0,
Interest Expense,14100000.0,12900000.0,7100000.0,4200000.0,
Interest Income,3700000.0,3900000.0,1600000.0,400000.0,
Normalized Income,24600000.0,15500000.0,21300000.0,9700000.0,
Net Income From Continuing And Discontinued Operation,24600000.0,15500000.0,21300000.0,25200000.0,
Total Expenses,380500000.0,405800000.0,414300000.0,358300000.0,
Total Operating Income As Reported,42400000.0,31200000.0,34600000.0,20900000.0,
Diluted Average Shares,98427535.0,98286368.0,98343316.0,95799357.0,
Basic Average Shares,96028934.0,95835775.0,95426255.0,93015684.0,
Diluted EPS,0.25,0.158,0.217,0.263,
Basic EPS,0.256,0.162,0.223,0.271,
Diluted NI Availto Com Stockholders,24600000.0,15500000.0,21300000.0,25200000.0,
Net Income Common Stockholders,24600000.0,15500000.0,21300000.0,25200000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,24600000.0,15500000.0,21300000.0,25200000.0,
Net Income Including Noncontrolling Interests,24600000.0,15500000.0,21300000.0,25200000.0,
Net Income Discontinuous Operations,,,0.0,15500000.0,2500000.0
Net Income Continuous Operations,24600000.0,15500000.0,21300000.0,9700000.0,
Tax Provision,7400000.0,6700000.0,7800000.0,7400000.0,
Pretax Income,32000000.0,22200000.0,29100000.0,17100000.0,
Net Non Operating Interest Income Expense,-10400000.0,-9000000.0,-5500000.0,-3800000.0,
Interest Expense Non Operating,14100000.0,12900000.0,7100000.0,4200000.0,
Interest Income Non Operating,3700000.0,3900000.0,1600000.0,400000.0,
Operating Income,42400000.0,31200000.0,34600000.0,20900000.0,
Operating Expense,139100000.0,145800000.0,134600000.0,358300000.0,
Other Operating Expenses,,,414300000.0,358300000.0,
Selling General And Administration,139100000.0,145800000.0,134600000.0,125300000.0,
Selling And Marketing Expense,40900000.0,41000000.0,45400000.0,37700000.0,
General And Administrative Expense,98200000.0,104800000.0,89200000.0,87600000.0,
Gross Profit,181500000.0,177000000.0,169200000.0,146200000.0,
Cost Of Revenue,241400000.0,260000000.0,279700000.0,233000000.0,
Total Revenue,422900000.0,437000000.0,448900000.0,379200000.0,
Operating Revenue,422900000.0,437000000.0,448900000.0,379200000.0,
