Metric,Value
phone,(414) 765-6620
longBusinessSummary,"The fund is an actively managed “fund of funds” that seeks to achieve its investment objective by investing in a dynamic portfolio of other unaffiliated registered investment companies, including mutual funds, index-based exchange-traded funds (“ETFs”), and actively managed ETFs, that provide exposure to equity markets and fixed income markets."
companyOfficers,[]
executiveTeam,[]
maxAge,86400
priceHint,2
previousClose,25.8977
open,25.92
dayLow,25.92
dayHigh,25.98
regularMarketPreviousClose,25.8977
regularMarketOpen,25.92
regularMarketDayLow,25.92
regularMarketDayHigh,25.98
trailingPE,16.691063
volume,15758
regularMarketVolume,15758
averageVolume,21836
averageVolume10days,23860
averageDailyVolume10Day,23860
bid,19.47
ask,32.28
bidSize,1
askSize,5
totalAssets,405489056
fiftyTwoWeekLow,22.8
fiftyTwoWeekHigh,25.98
fiftyDayAverage,25.12052
twoHundredDayAverage,24.85248
trailingAnnualDividendRate,0.0
trailingAnnualDividendYield,0.0
navPrice,25.3024
currency,USD
tradeable,False
category,Global Moderately Aggressive Allocation
beta3Year,0.0
fundFamily,Elm Partners Management LLC
fundInceptionDate,1739145600
legalType,Exchange Traded Fund
quoteType,ETF
symbol,ELM
language,en-US
region,US
typeDisp,ETF
quoteSourceName,Delayed Quote
triggerable,True
customPriceAlertConfidence,HIGH
fiftyDayAverageChange,0.8194809
fiftyDayAverageChangePercent,0.032621972
twoHundredDayAverageChange,1.0875206
twoHundredDayAverageChangePercent,0.043759037
netExpenseRatio,0.24
sourceInterval,15
exchangeDataDelayedBy,0
cryptoTradeable,False
hasPrePostMarketData,True
firstTradeDateMilliseconds,1739370600000
regularMarketChange,0.0423012
regularMarketDayRange,25.92 - 25.98
fullExchangeName,NYSEArca
averageDailyVolume3Month,21836
fiftyTwoWeekLowChange,3.1400013
fiftyTwoWeekLowChangePercent,0.13771936
fiftyTwoWeekRange,22.8 - 25.98
fiftyTwoWeekHighChange,-0.03999901
fiftyTwoWeekHighChangePercent,-0.0015396078
fiftyTwoWeekChangePercent,3.9013028
trailingThreeMonthReturns,0.64739
trailingThreeMonthNavReturns,0.64739
netAssets,405489056.0
epsTrailingTwelveMonths,1.5541251
shortName,Series Portfolios Trust Elm Mar
longName,Elm Market Navigator ETF
corporateActions,[]
regularMarketTime,1751561940
exchange,PCX
messageBoardId,finmb_1912982164
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EDT
gmtOffSetMilliseconds,-14400000
market,us_market
esgPopulated,False
regularMarketChangePercent,0.16334
regularMarketPrice,25.94
marketState,CLOSED
trailingPegRatio,
