,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,436548.0,775552.0,0.0,0.0,
Ordinary Shares Number,101819127.0,101480123.0,102112581.0,101897021.0,
Share Issued,102255675.0,102255675.0,102112581.0,101897021.0,
Total Debt,415100000.0,319600000.0,301300000.0,283200000.0,
Tangible Book Value,545600000.0,512600000.0,432500000.0,414300000.0,
Invested Capital,570500000.0,530900000.0,446000000.0,429200000.0,
Working Capital,-67300000.0,25400000.0,38900000.0,59200000.0,
Net Tangible Assets,545600000.0,512600000.0,432500000.0,414300000.0,
Capital Lease Obligations,415100000.0,319600000.0,301300000.0,283200000.0,
Common Stock Equity,570500000.0,530900000.0,446000000.0,429200000.0,
Total Capitalization,570500000.0,530900000.0,446000000.0,429200000.0,
Total Equity Gross Minority Interest,570500000.0,530900000.0,446000000.0,429200000.0,
Stockholders Equity,570500000.0,530900000.0,446000000.0,429200000.0,
Retained Earnings,543000000.0,503400000.0,420500000.0,406800000.0,
Additional Paid In Capital,25500000.0,25500000.0,23500000.0,20400000.0,
Capital Stock,2000000.0,2000000.0,2000000.0,2000000.0,
Common Stock,2000000.0,2000000.0,2000000.0,2000000.0,
Total Liabilities Net Minority Interest,749200000.0,598800000.0,528400000.0,459200000.0,
Total Non Current Liabilities Net Minority Interest,439000000.0,326300000.0,284300000.0,252300000.0,
Non Current Pension And Other Postretirement Benefit Plans,400000.0,,0.0,2400000.0,11900000.0
Non Current Deferred Revenue,1800000.0,2300000.0,2800000.0,3200000.0,
Non Current Deferred Taxes Liabilities,72600000.0,54700000.0,26300000.0,10000000.0,
Long Term Debt And Capital Lease Obligation,361300000.0,267100000.0,252500000.0,233900000.0,
Long Term Capital Lease Obligation,361300000.0,267100000.0,252500000.0,233900000.0,
Long Term Provisions,2900000.0,2200000.0,2700000.0,2800000.0,
Current Liabilities,310200000.0,272500000.0,244100000.0,206900000.0,
Current Debt And Capital Lease Obligation,53800000.0,52500000.0,48800000.0,49300000.0,
Current Capital Lease Obligation,53800000.0,52500000.0,48800000.0,49300000.0,
Current Provisions,3400000.0,4000000.0,3600000.0,4200000.0,
Payables,202900000.0,164000000.0,158300000.0,129500000.0,
Other Payable,63000000.0,48000000.0,46900000.0,46600000.0,
Total Tax Payable,19400000.0,16900000.0,8600000.0,8800000.0,
Accounts Payable,120500000.0,99100000.0,102800000.0,74100000.0,
Total Assets,1319700000.0,1129700000.0,974400000.0,888400000.0,
Total Non Current Assets,1076800000.0,831800000.0,691400000.0,622300000.0,
Defined Pension Benefit,0.0,6600000.0,6300000.0,0.0,
Goodwill And Other Intangible Assets,24900000.0,18300000.0,13500000.0,14900000.0,
Other Intangible Assets,24900000.0,18300000.0,13500000.0,14900000.0,
Net PPE,1051900000.0,806900000.0,671600000.0,607400000.0,
Accumulated Depreciation,-477400000.0,-443900000.0,-432100000.0,-396700000.0,
Gross PPE,1529300000.0,1250800000.0,1103700000.0,1004100000.0,
Construction In Progress,82200000.0,66800000.0,9700000.0,2800000.0,
Machinery Furniture Equipment,813600000.0,699600000.0,622100000.0,550200000.0,
Buildings And Improvements,377300000.0,292300000.0,278400000.0,260400000.0,
Land And Improvements,256200000.0,192100000.0,193500000.0,190700000.0,
Properties,0.0,0.0,0.0,0.0,
Current Assets,242900000.0,297900000.0,283000000.0,266100000.0,
Assets Held For Sale Current,,,0.0,1600000.0,0.0
Prepaid Assets,13600000.0,11000000.0,9600000.0,5700000.0,
Inventory,55200000.0,48800000.0,40600000.0,27900000.0,
Work In Process,16600000.0,17000000.0,16900000.0,12100000.0,
Raw Materials,38600000.0,31800000.0,23700000.0,15800000.0,
Other Receivables,13800000.0,9500000.0,9400000.0,7400000.0,
Taxes Receivable,,0.0,600000.0,400000.0,0.0
Accounts Receivable,35000000.0,33300000.0,31200000.0,24500000.0,
Cash Cash Equivalents And Short Term Investments,125300000.0,195300000.0,191600000.0,198600000.0,
Cash And Cash Equivalents,125300000.0,195300000.0,191600000.0,198600000.0,
