,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,70000000.0,112700000.0,148200000.0,231200000.0,
Repurchase Of Capital Stock,-5000000.0,-5000000.0,-11000000.0,-10000000.0,
Repayment Of Debt,,,,0.0,-150000000.0
Issuance Of Debt,,,,0.0,150000000.0
Issuance Of Capital Stock,4700000.0,3600000.0,3100000.0,4600000.0,
Capital Expenditure,-240900000.0,-198100000.0,-103300000.0,-54300000.0,
End Cash Position,125300000.0,195300000.0,191600000.0,198600000.0,
Beginning Cash Position,195300000.0,191600000.0,198600000.0,36800000.0,
Changes In Cash,-70000000.0,3700000.0,-7000000.0,161800000.0,
Financing Cash Flow,-163800000.0,-115900000.0,-159100000.0,-69700000.0,
Cash Dividends Paid,-106800000.0,-60800000.0,-98500000.0,-15300000.0,
Common Stock Dividend Paid,-106800000.0,-60800000.0,-98500000.0,,0.0
Net Common Stock Issuance,-300000.0,-1400000.0,-7900000.0,-5400000.0,
Common Stock Payments,-5000000.0,-5000000.0,-11000000.0,-10000000.0,
Common Stock Issuance,4700000.0,3600000.0,3100000.0,4600000.0,
Net Issuance Payments Of Debt,,,,0.0,0.0
Net Long Term Debt Issuance,,,,0.0,0.0
Long Term Debt Payments,,,,0.0,-150000000.0
Long Term Debt Issuance,,,,0.0,150000000.0
Investing Cash Flow,-217100000.0,-191200000.0,-99400000.0,-54000000.0,
Net Other Investing Changes,,,1600000.0,,
Interest Received Cfi,7700000.0,6100000.0,1400000.0,0.0,
Net Intangibles Purchase And Sale,-10900000.0,-8600000.0,-3300000.0,-3800000.0,
Purchase Of Intangibles,-10900000.0,-8600000.0,-3300000.0,-3800000.0,
Net PPE Purchase And Sale,-213900000.0,-188700000.0,-99100000.0,-50200000.0,
Sale Of PPE,16100000.0,800000.0,900000.0,300000.0,
Purchase Of PPE,-230000000.0,-189500000.0,-100000000.0,-50500000.0,
Operating Cash Flow,310900000.0,310800000.0,251500000.0,285500000.0,
Taxes Refund Paid,-27700000.0,-11900000.0,-13300000.0,-19200000.0,
Interest Paid Cfo,-14000000.0,-10300000.0,-7500000.0,-7400000.0,
Change In Working Capital,10500000.0,5700000.0,-3000000.0,52400000.0,
Change In Other Current Liabilities,,,-8000000.0,-2500000.0,0.0
Change In Payable,24900000.0,18000000.0,30800000.0,58900000.0,
Change In Inventory,-6400000.0,-8200000.0,-12700000.0,-5400000.0,
Change In Receivables,-8100000.0,-3600000.0,-12400000.0,1800000.0,
Other Non Cash Items,5000000.0,3500000.0,5700000.0,7100000.0,
Stock Based Compensation,4500000.0,4600000.0,3600000.0,2200000.0,
Deferred Tax,50500000.0,45800000.0,28000000.0,28100000.0,
Depreciation And Amortization,140000000.0,125000000.0,115500000.0,107400000.0,
Amortization Cash Flow,4200000.0,3900000.0,4700000.0,4500000.0,
Depreciation,135800000.0,121100000.0,110800000.0,102900000.0,
Gain Loss On Sale Of PPE,-11800000.0,2000000.0,1000000.0,900000.0,
Net Income From Continuing Operations,153400000.0,142500000.0,120300000.0,117500000.0,
