,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,3496800.0,5005800.0,0.0,0.0
Tax Rate For Calcs,0.248,0.243,0.189,0.193
Normalized EBITDA,343700000.0,303000000.0,271300000.0,260500000.0
Total Unusual Items,14100000.0,20600000.0,,
Total Unusual Items Excluding Goodwill,14100000.0,20600000.0,,
Net Income From Continuing Operation Net Minority Interest,153400000.0,142500000.0,120300000.0,117500000.0
Reconciled Depreciation,140000000.0,125000000.0,115500000.0,107400000.0
Reconciled Cost Of Revenue,770800000.0,710500000.0,574500000.0,447700000.0
EBITDA,357800000.0,323600000.0,271300000.0,260500000.0
EBIT,217800000.0,198600000.0,155800000.0,153100000.0
Net Interest Income,-5400000.0,-3900000.0,-6200000.0,-7500000.0
Interest Expense,13900000.0,10300000.0,7500000.0,7500000.0
Interest Income,8500000.0,6400000.0,1300000.0,0.0
Normalized Income,142796800.0,126905800.0,120300000.0,117500000.0
Net Income From Continuing And Discontinued Operation,153400000.0,142500000.0,120300000.0,117500000.0
Total Expenses,1819100000.0,1637900000.0,1358400000.0,1076500000.0
Total Operating Income As Reported,209400000.0,192300000.0,154400000.0,153200000.0
Diluted Average Shares,102558244.0,102296465.0,102334882.0,102749884.0
Basic Average Shares,101775428.0,101318712.0,101485660.0,101488573.0
Diluted EPS,1.496,1.392,1.175,1.143
Basic EPS,1.507,1.406,1.185,1.157
Diluted NI Availto Com Stockholders,153400000.0,142500000.0,120300000.0,117500000.0
Net Income Common Stockholders,153400000.0,142500000.0,120300000.0,117500000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,153400000.0,142500000.0,120300000.0,117500000.0
Net Income Including Noncontrolling Interests,153400000.0,142500000.0,120300000.0,117500000.0
Net Income Continuous Operations,153400000.0,142500000.0,120300000.0,117500000.0
Tax Provision,50500000.0,45800000.0,28000000.0,28100000.0
Pretax Income,203900000.0,188300000.0,148300000.0,145600000.0
Special Income Charges,14100000.0,20600000.0,,
Other Special Charges,-14100000.0,-20600000.0,,
Net Non Operating Interest Income Expense,-5400000.0,-3900000.0,-6200000.0,-7500000.0
Interest Expense Non Operating,13900000.0,10300000.0,7500000.0,7500000.0
Interest Income Non Operating,8500000.0,6400000.0,1300000.0,0.0
Operating Income,195300000.0,171700000.0,154400000.0,153200000.0
Operating Expense,1048300000.0,927400000.0,783900000.0,628800000.0
Selling General And Administration,1048300000.0,927400000.0,783900000.0,628800000.0
Selling And Marketing Expense,950400000.0,844500000.0,713200000.0,567600000.0
General And Administrative Expense,97900000.0,82900000.0,70700000.0,61200000.0
Gross Profit,1243600000.0,1099100000.0,938300000.0,782000000.0
Cost Of Revenue,770800000.0,710500000.0,574500000.0,447700000.0
Total Revenue,2014400000.0,1809600000.0,1512800000.0,1229700000.0
Operating Revenue,2014400000.0,1809600000.0,1512800000.0,1229700000.0
