,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,43800000.0,-49500000.0,-196700000.0,-134600000.0,
Repayment Of Debt,-809300000.0,-401800000.0,-341000000.0,0.0,
Issuance Of Debt,869000000.0,489600000.0,280600000.0,367600000.0,
Issuance Of Capital Stock,,,0.0,138500000.0,0.0
Capital Expenditure,-154500000.0,-196700000.0,-247800000.0,-170500000.0,
End Cash Position,161000000.0,106600000.0,119600000.0,528900000.0,
Beginning Cash Position,106600000.0,119600000.0,528900000.0,428700000.0,
Effect Of Exchange Rate Changes,1300000.0,-7600000.0,-4300000.0,-2100000.0,
Changes In Cash,53100000.0,-5400000.0,-405000000.0,102300000.0,
Financing Cash Flow,4500000.0,43200000.0,-74600000.0,474000000.0,
Net Other Financing Charges,,,11800000.0,,
Net Common Stock Issuance,,,0.0,138500000.0,0.0
Common Stock Issuance,,,0.0,138500000.0,0.0
Net Issuance Payments Of Debt,59700000.0,87800000.0,-60400000.0,367600000.0,
Net Long Term Debt Issuance,59700000.0,87800000.0,-60400000.0,367600000.0,
Long Term Debt Payments,-809300000.0,-401800000.0,-341000000.0,0.0,
Long Term Debt Issuance,869000000.0,489600000.0,280600000.0,367600000.0,
Investing Cash Flow,-149700000.0,-195800000.0,-381500000.0,-407600000.0,
Net Other Investing Changes,,,,500000.0,1000000.0
Interest Received Cfi,3200000.0,900000.0,1800000.0,600000.0,
Net Business Purchase And Sale,,0.0,-135600000.0,-238200000.0,-1600000.0
Purchase Of Business,,0.0,-135600000.0,-238200000.0,-1600000.0
Net Intangibles Purchase And Sale,-10100000.0,-4800000.0,-3400000.0,-2000000.0,
Purchase Of Intangibles,-10100000.0,-4800000.0,-3400000.0,-2000000.0,
Net PPE Purchase And Sale,-142800000.0,-191900000.0,-244300000.0,-168000000.0,
Sale Of PPE,1600000.0,,100000.0,500000.0,
Purchase Of PPE,-144400000.0,-191900000.0,-244400000.0,-168500000.0,
Operating Cash Flow,198300000.0,147200000.0,51100000.0,35900000.0,
Taxes Refund Paid,-33200000.0,-20900000.0,-20300000.0,-48300000.0,
Interest Paid Cfo,-165700000.0,-150400000.0,-121800000.0,-111700000.0,
Change In Working Capital,-21200000.0,-47200000.0,-70500000.0,-25400000.0,
Change In Payable,5400000.0,49100000.0,13800000.0,-1100000.0,
Change In Prepaid Assets,14300000.0,-5100000.0,-2000000.0,-4600000.0,
Change In Inventory,1400000.0,-3100000.0,-3300000.0,-1600000.0,
Change In Receivables,-42300000.0,-88100000.0,-79000000.0,-18100000.0,
Other Non Cash Items,176600000.0,174000000.0,139200000.0,128800000.0,
Stock Based Compensation,4700000.0,3700000.0,4500000.0,2000000.0,
Depreciation And Amortization,166200000.0,219000000.0,178500000.0,159800000.0,
Amortization Cash Flow,27000000.0,26100000.0,12600000.0,2300000.0,
Depreciation,139200000.0,192900000.0,165900000.0,157500000.0,
Gain Loss On Investment Securities,-200000.0,-1800000.0,51400000.0,28000000.0,
Net Foreign Currency Exchange Gain Loss,21700000.0,86100000.0,52200000.0,21600000.0,
Gain Loss On Sale Of PPE,5200000.0,-3100000.0,400000.0,500000.0,
Net Income From Continuing Operations,44200000.0,-112200000.0,-162500000.0,-119400000.0,
