,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-155656.108597,-10695.187166,-14364000.0,-9462000.0,
Tax Rate For Calcs,0.38914,0.003565,0.19,0.19,
Normalized EBITDA,402700000.0,285000000.0,232500000.0,219700000.0,
Total Unusual Items,-400000.0,-3000000.0,-75600000.0,-49800000.0,
Total Unusual Items Excluding Goodwill,-400000.0,-3000000.0,-75600000.0,-49800000.0,
Net Income From Continuing Operation Net Minority Interest,33500000.0,-100100000.0,-171500000.0,-156200000.0,
Reconciled Depreciation,166200000.0,219000000.0,178500000.0,159800000.0,
Reconciled Cost Of Revenue,408900000.0,450400000.0,365900000.0,295300000.0,
EBITDA,402300000.0,282000000.0,156900000.0,169900000.0,
EBIT,236100000.0,63000000.0,-21600000.0,10100000.0,
Net Interest Income,-188500000.0,-173900000.0,-139100000.0,-128800000.0,
Interest Expense,191900000.0,175200000.0,140900000.0,129500000.0,
Interest Income,3400000.0,1300000.0,1800000.0,700000.0,
Normalized Income,33744343.891403,-97110695.187166,-110264000.0,-115862000.0,
Net Income From Continuing And Discontinued Operation,33500000.0,-100100000.0,-171500000.0,-156200000.0,
Total Expenses,537200000.0,570200000.0,456200000.0,368300000.0,
Total Operating Income As Reported,242300000.0,146100000.0,80300000.0,59000000.0,
Diluted Average Shares,1180034376.0,1167779956.0,1072.0,1109094051.0,
Basic Average Shares,1050040649.0,1048501270.0,1072.0,1024306006.0,
Diluted EPS,0.03,-0.1,-0.16,-0.15,
Basic EPS,0.03,-0.1,-0.16,-0.15,
Diluted NI Availto Com Stockholders,33500000.0,-100100000.0,-171500000.0,-156200000.0,
Net Income Common Stockholders,33500000.0,-100100000.0,-171500000.0,-156200000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,33500000.0,-100100000.0,-171500000.0,-156200000.0,
Minority Interests,6500000.0,11700000.0,-100000.0,0.0,
Net Income Including Noncontrolling Interests,27000000.0,-111800000.0,-171400000.0,-156200000.0,
Net Income Continuous Operations,27000000.0,-111800000.0,-171400000.0,-156200000.0,
Tax Provision,17200000.0,-400000.0,8900000.0,36800000.0,
Pretax Income,44200000.0,-112200000.0,-162500000.0,-119400000.0,
Special Income Charges,-600000.0,-4800000.0,-24200000.0,-21800000.0,
Other Special Charges,600000.0,4800000.0,24200000.0,21800000.0,
Restructuring And Mergern Acquisition,,,,19300000.0,8800000.0
Net Non Operating Interest Income Expense,-188500000.0,-173900000.0,-139100000.0,-128800000.0,
Interest Expense Non Operating,191900000.0,175200000.0,140900000.0,129500000.0,
Interest Income Non Operating,3400000.0,1300000.0,1800000.0,700000.0,
Operating Income,254800000.0,150800000.0,104500000.0,80800000.0,
Operating Expense,128300000.0,119800000.0,90300000.0,73000000.0,
Depreciation And Amortization In Income Statement,34800000.0,33400000.0,20300000.0,14700000.0,
Depreciation Income Statement,34800000.0,33400000.0,20300000.0,14700000.0,
Selling General And Administration,93500000.0,86400000.0,70000000.0,58300000.0,
General And Administrative Expense,93500000.0,86400000.0,70000000.0,58300000.0,
Gross Profit,383100000.0,270600000.0,194800000.0,153800000.0,
Cost Of Revenue,408900000.0,450400000.0,365900000.0,295300000.0,
Total Revenue,792000000.0,721000000.0,560700000.0,449100000.0,
Operating Revenue,792000000.0,721000000.0,560700000.0,449100000.0,
