,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,,0.0,,,
Ordinary Shares Number,124836283.0,123821111.0,123241173.0,120639161.0,
Share Issued,124836283.0,123821111.0,123241173.0,120639161.0,
Total Debt,8408000.0,10514000.0,12633000.0,11184000.0,
Tangible Book Value,267330000.0,211811000.0,183279000.0,183743000.0,
Invested Capital,485596000.0,429616000.0,397179000.0,386132000.0,
Working Capital,264091000.0,207560000.0,177465000.0,182003000.0,
Net Tangible Assets,267330000.0,211811000.0,183279000.0,183743000.0,
Capital Lease Obligations,8408000.0,10514000.0,12633000.0,11184000.0,
Common Stock Equity,485596000.0,429616000.0,397179000.0,386132000.0,
Total Capitalization,485596000.0,429616000.0,397179000.0,386132000.0,
Total Equity Gross Minority Interest,485596000.0,429616000.0,397179000.0,386132000.0,
Stockholders Equity,485596000.0,429616000.0,397179000.0,386132000.0,
Gains Losses Not Affecting Retained Earnings,-233000.0,87000.0,-22000.0,168000.0,
Other Equity Adjustments,-233000.0,87000.0,-22000.0,168000.0,
Treasury Stock,,0.0,0.0,0.0,579000.0
Retained Earnings,95913000.0,51744000.0,29422000.0,29935000.0,
Additional Paid In Capital,389904000.0,377773000.0,367767000.0,356017000.0,
Capital Stock,12000.0,12000.0,12000.0,12000.0,
Common Stock,12000.0,12000.0,12000.0,12000.0,
Preferred Stock,,0.0,0.0,0.0,0.0
Total Liabilities Net Minority Interest,90651000.0,75247000.0,64360000.0,86810000.0,
Total Non Current Liabilities Net Minority Interest,9101000.0,12459000.0,12864000.0,12377000.0,
Non Current Deferred Liabilities,2783000.0,3798000.0,3506000.0,5031000.0,
Non Current Deferred Revenue,2783000.0,2731000.0,2826000.0,1713000.0,
Non Current Deferred Taxes Liabilities,0.0,1067000.0,680000.0,3318000.0,
Long Term Debt And Capital Lease Obligation,6318000.0,8661000.0,9358000.0,7346000.0,
Long Term Capital Lease Obligation,6318000.0,8661000.0,9358000.0,7346000.0,
Current Liabilities,81550000.0,62788000.0,51496000.0,74433000.0,
Other Current Liabilities,,,,33443000.0,
Current Deferred Liabilities,2937000.0,4089000.0,4358000.0,2173000.0,
Current Deferred Revenue,2937000.0,4089000.0,4358000.0,2173000.0,
Current Debt And Capital Lease Obligation,2090000.0,1853000.0,3275000.0,3838000.0,
Current Capital Lease Obligation,2090000.0,1853000.0,3275000.0,3838000.0,
Pensionand Other Post Retirement Benefit Plans Current,,,,,6474000.0
Payables And Accrued Expenses,76523000.0,56846000.0,43863000.0,34979000.0,
Current Accrued Expenses,26462000.0,21301000.0,13996000.0,10109000.0,
Payables,50061000.0,35545000.0,29867000.0,24870000.0,
Total Tax Payable,190000.0,363000.0,635000.0,122000.0,
Income Tax Payable,190000.0,363000.0,635000.0,122000.0,
Accounts Payable,49871000.0,35182000.0,29232000.0,24748000.0,
Total Assets,576247000.0,504863000.0,461539000.0,472942000.0,
Total Non Current Assets,230606000.0,234515000.0,232578000.0,216506000.0,
Other Non Current Assets,3015000.0,5031000.0,7178000.0,4207000.0,
Non Current Deferred Assets,367000.0,94000.0,116000.0,163000.0,
Non Current Deferred Taxes Assets,367000.0,94000.0,116000.0,163000.0,
Goodwill And Other Intangible Assets,218266000.0,217805000.0,213900000.0,202389000.0,
Other Intangible Assets,86451000.0,85945000.0,82049000.0,72976000.0,
Goodwill,131815000.0,131860000.0,131851000.0,129413000.0,
Net PPE,8958000.0,11585000.0,11384000.0,9747000.0,
Accumulated Depreciation,-7120000.0,-6612000.0,-5744000.0,-4791000.0,
Gross PPE,16078000.0,18197000.0,17128000.0,14538000.0,
Leases,375000.0,396000.0,419000.0,445000.0,
Other Properties,7801000.0,10027000.0,9561000.0,7703000.0,
Machinery Furniture Equipment,7902000.0,7774000.0,7148000.0,6390000.0,
Properties,0.0,0.0,0.0,0.0,
Current Assets,345641000.0,270348000.0,228961000.0,256436000.0,
Other Current Assets,13058000.0,10505000.0,9994000.0,8184000.0,
Restricted Cash,3511000.0,3834000.0,2351000.0,33443000.0,
Prepaid Assets,,,,8184000.0,3117000.0
Receivables,123172000.0,76648000.0,69282000.0,46423000.0,
Taxes Receivable,3356000.0,259000.0,1493000.0,2488000.0,
Accounts Receivable,119816000.0,76389000.0,67789000.0,43935000.0,
Allowance For Doubtful Accounts Receivable,-257000.0,-435000.0,-370000.0,-102000.0,
Gross Accounts Receivable,120073000.0,76824000.0,68159000.0,44037000.0,
Cash Cash Equivalents And Short Term Investments,205900000.0,179361000.0,147334000.0,168386000.0,
Cash And Cash Equivalents,205900000.0,179361000.0,147334000.0,168386000.0,
