,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,27058000.0,34529000.0,-11433000.0,-916000.0,
Repurchase Of Capital Stock,,0.0,0.0,-23013000.0,0.0
Repayment Of Debt,0.0,-102000.0,-268000.0,-272000.0,
Issuance Of Debt,,0.0,0.0,813000.0,0.0
Issuance Of Capital Stock,,0.0,0.0,274595000.0,0.0
Capital Expenditure,-36576000.0,-34299000.0,-31300000.0,-20409000.0,
Income Tax Paid Supplemental Data,14404000.0,1398000.0,672000.0,2487000.0,
End Cash Position,209411000.0,183195000.0,149685000.0,201829000.0,
Beginning Cash Position,183195000.0,149685000.0,201829000.0,46666000.0,
Effect Of Exchange Rate Changes,-450000.0,176000.0,-168000.0,-8000.0,
Changes In Cash,26666000.0,33334000.0,-51976000.0,155171000.0,
Financing Cash Flow,-207000.0,-1195000.0,-37283000.0,213487000.0,
Cash Flow From Continuing Financing Activities,-207000.0,-1195000.0,-37283000.0,213487000.0,
Net Other Financing Charges,-545000.0,-1709000.0,-38505000.0,-4539000.0,
Proceeds From Stock Option Exercised,338000.0,616000.0,1490000.0,315000.0,
Cash Dividends Paid,,0.0,0.0,-34412000.0,0.0
Preferred Stock Dividend Paid,,0.0,0.0,-34412000.0,0.0
Net Preferred Stock Issuance,,0.0,0.0,-23013000.0,0.0
Preferred Stock Payments,,0.0,0.0,-23013000.0,0.0
Preferred Stock Issuance,,,,0.0,0.0
Net Common Stock Issuance,,0.0,0.0,274595000.0,0.0
Common Stock Issuance,,0.0,0.0,274595000.0,0.0
Net Issuance Payments Of Debt,0.0,-102000.0,-268000.0,541000.0,
Net Long Term Debt Issuance,0.0,-102000.0,-268000.0,541000.0,
Long Term Debt Payments,0.0,-102000.0,-268000.0,-272000.0,
Long Term Debt Issuance,,0.0,0.0,813000.0,0.0
Investing Cash Flow,-36761000.0,-34299000.0,-34560000.0,-77809000.0,
Cash Flow From Continuing Investing Activities,-36761000.0,-34299000.0,-34560000.0,-77809000.0,
Net Investment Purchase And Sale,-185000.0,0.0,0.0,,
Sale Of Investment,3506000.0,0.0,0.0,,
Purchase Of Investment,-3691000.0,0.0,0.0,,
Net Business Purchase And Sale,0.0,0.0,-3260000.0,-57400000.0,
Purchase Of Business,0.0,0.0,-3260000.0,-57400000.0,
Net Intangibles Purchase And Sale,0.0,0.0,-280000.0,-130000.0,
Purchase Of Intangibles,0.0,0.0,-280000.0,-130000.0,
Net PPE Purchase And Sale,-457000.0,-600000.0,-1257000.0,-979000.0,
Purchase Of PPE,-457000.0,-600000.0,-1257000.0,-979000.0,
Capital Expenditure Reported,-36119000.0,-33699000.0,-29763000.0,-19300000.0,
Operating Cash Flow,63634000.0,68828000.0,19867000.0,19493000.0,
Cash Flow From Continuing Operating Activities,63634000.0,68828000.0,19867000.0,19493000.0,
Change In Working Capital,-35962000.0,429000.0,-12130000.0,-8850000.0,
Change In Other Working Capital,-1097000.0,-361000.0,3299000.0,474000.0,
Change In Other Current Liabilities,-2253000.0,-1817000.0,-1832000.0,-2443000.0,
Change In Payables And Accrued Expense,20984000.0,12305000.0,8166000.0,7336000.0,
Change In Accrued Expense,7159000.0,6288000.0,3400000.0,-44000.0,
Change In Payable,13825000.0,6017000.0,4766000.0,7380000.0,
Change In Account Payable,13825000.0,6017000.0,4766000.0,7380000.0,
Change In Prepaid Assets,-3417000.0,-1184000.0,1211000.0,1346000.0,
Change In Receivables,-50179000.0,-8514000.0,-22974000.0,-15563000.0,
Changes In Account Receivables,-46921000.0,-9472000.0,-24518000.0,-14736000.0,
Other Non Cash Items,5933000.0,4788000.0,4193000.0,3166000.0,
Stock Based Compensation,10990000.0,9390000.0,6736000.0,3136000.0,
Provisionand Write Offof Assets,3369000.0,886000.0,499000.0,106000.0,
Deferred Tax,-1349000.0,413000.0,-2981000.0,-660000.0,
Deferred Income Tax,-1349000.0,413000.0,-2981000.0,-660000.0,
Depreciation Amortization Depletion,36484000.0,30600000.0,24063000.0,13295000.0,
Depreciation And Amortization,36484000.0,30600000.0,24063000.0,13295000.0,
Net Income From Continuing Operations,44169000.0,22322000.0,-513000.0,9300000.0,
