,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,-104.0,
Tax Rate For Calcs,0.181,0.112,0.21,0.104,
Normalized EBITDA,81341000.0,48693000.0,21087000.0,23669000.0,
Total Unusual Items,,12000.0,5000.0,-1000.0,-116000.0
Total Unusual Items Excluding Goodwill,,12000.0,5000.0,-1000.0,-116000.0
Net Income From Continuing Operation Net Minority Interest,44169000.0,22322000.0,-513000.0,9300000.0,
Reconciled Depreciation,36484000.0,30600000.0,24063000.0,13295000.0,
Reconciled Cost Of Revenue,633575000.0,432148000.0,347323000.0,274144000.0,
EBITDA,81341000.0,48693000.0,21087000.0,23668000.0,
EBIT,44857000.0,18093000.0,-2976000.0,10373000.0,
Net Interest Income,8742000.0,7019000.0,1663000.0,-6000.0,
Interest Expense,,,,6000.0,
Interest Income,8742000.0,7019000.0,1663000.0,,52000.0
Normalized Income,44169000.0,22322000.0,-513000.0,9300896.0,
Net Income From Continuing And Discontinued Operation,44169000.0,22322000.0,-513000.0,9300000.0,
Total Expenses,826888000.0,596397000.0,499977000.0,385151000.0,
Total Operating Income As Reported,44857000.0,18093000.0,-2976000.0,10373000.0,
Diluted Average Shares,127714622.0,125071829.0,122099437.0,118821925.0,
Basic Average Shares,124372031.0,123511608.0,122099437.0,112763261.0,
Diluted EPS,0.35,0.18,-0.004201,0.06,
Basic EPS,0.36,0.18,-0.004201,0.06,
Diluted NI Availto Com Stockholders,44169000.0,22322000.0,-513000.0,7042000.0,
Net Income Common Stockholders,44169000.0,22322000.0,-513000.0,7042000.0,
Preferred Stock Dividends,,,,2258000.0,5186000.0
Net Income,44169000.0,22322000.0,-513000.0,9300000.0,
Net Income Including Noncontrolling Interests,44169000.0,22322000.0,-513000.0,9300000.0,
Net Income Continuous Operations,44169000.0,22322000.0,-513000.0,9300000.0,
Tax Provision,9775000.0,2802000.0,-795000.0,1066000.0,
Pretax Income,53944000.0,25124000.0,-1308000.0,10366000.0,
Other Income Expense,345000.0,12000.0,5000.0,-1000.0,
Other Non Operating Income Expenses,345000.0,12000.0,5000.0,,
Gain On Sale Of Security,,12000.0,5000.0,-1000.0,-116000.0
Net Non Operating Interest Income Expense,8742000.0,7019000.0,1663000.0,-6000.0,
Total Other Finance Cost,,-7019000.0,-1663000.0,6000.0,-52000.0
Interest Expense Non Operating,,,,6000.0,
Interest Income Non Operating,8742000.0,7019000.0,1663000.0,,52000.0
Operating Income,44857000.0,18093000.0,-2976000.0,10373000.0,
Operating Expense,193313000.0,164249000.0,152654000.0,111007000.0,
Research And Development,51334000.0,44248000.0,41220000.0,34122000.0,
Selling General And Administration,141979000.0,120001000.0,111434000.0,76885000.0,
Selling And Marketing Expense,105052000.0,83996000.0,73295000.0,43917000.0,
General And Administrative Expense,36927000.0,36005000.0,38139000.0,32968000.0,
Other Gand A,36927000.0,36005000.0,38139000.0,32968000.0,
Gross Profit,238170000.0,182342000.0,149678000.0,121380000.0,
Cost Of Revenue,633575000.0,432148000.0,347323000.0,274144000.0,
Total Revenue,871745000.0,614490000.0,497001000.0,395524000.0,
Operating Revenue,861736000.0,606595000.0,490377000.0,390703000.0,
