,2024-06-30,2023-06-30,2022-06-30,2021-06-30
Treasury Shares Number,,0.0,,
Ordinary Shares Number,468429541.0,468429541.0,468429541.0,468429541.0
Share Issued,468429541.0,468429541.0,468429541.0,468429541.0
Net Debt,,14600000.0,,54600000.0
Total Debt,197300000.0,232700000.0,259700000.0,324000000.0
Tangible Book Value,-107400000.0,-131200000.0,-72400000.0,-143300000.0
Invested Capital,382900000.0,389300000.0,499200000.0,478400000.0
Working Capital,-108200000.0,-142900000.0,-80100000.0,-117600000.0
Net Tangible Assets,-107400000.0,-131200000.0,-72400000.0,-143300000.0
Capital Lease Obligations,153400000.0,169000000.0,181700000.0,206900000.0
Common Stock Equity,339000000.0,325600000.0,421200000.0,361300000.0
Total Capitalization,368100000.0,325600000.0,465300000.0,439000000.0
Total Equity Gross Minority Interest,339000000.0,325900000.0,421100000.0,361200000.0
Minority Interest,0.0,300000.0,-100000.0,-100000.0
Stockholders Equity,339000000.0,325600000.0,421200000.0,361300000.0
Other Equity Interest,,300000.0,-100000.0,-100000.0
Retained Earnings,71000000.0,57200000.0,152600000.0,92600000.0
Additional Paid In Capital,189100000.0,189100000.0,189100000.0,189100000.0
Capital Stock,65000000.0,65000000.0,65000000.0,65000000.0
Common Stock,65000000.0,65000000.0,65000000.0,65000000.0
Total Liabilities Net Minority Interest,393500000.0,410300000.0,431400000.0,496900000.0
Total Non Current Liabilities Net Minority Interest,189300000.0,163100000.0,215200000.0,280500000.0
Other Non Current Liabilities,,-300000.0,100000.0,100000.0
Non Current Pension And Other Postretirement Benefit Plans,3400000.0,3400000.0,3600000.0,3800000.0
Non Current Deferred Taxes Liabilities,2800000.0,1500000.0,20500000.0,18300000.0
Long Term Debt And Capital Lease Obligation,149900000.0,126800000.0,185400000.0,242400000.0
Long Term Capital Lease Obligation,120800000.0,126800000.0,141300000.0,164700000.0
Long Term Debt,29100000.0,0.0,44100000.0,77700000.0
Long Term Provisions,33200000.0,31700000.0,5600000.0,16000000.0
Current Liabilities,204200000.0,247200000.0,216200000.0,216400000.0
Current Debt And Capital Lease Obligation,47400000.0,105900000.0,74300000.0,81600000.0
Current Capital Lease Obligation,32600000.0,42200000.0,40400000.0,42200000.0
Current Debt,14800000.0,63700000.0,33900000.0,39400000.0
Current Provisions,3600000.0,7300000.0,6900000.0,5400000.0
Payables,95200000.0,90500000.0,135000000.0,89500000.0
Other Payable,31200000.0,39800000.0,32500000.0,38000000.0
Total Tax Payable,41100000.0,37300000.0,4200000.0,25800000.0
Accounts Payable,22900000.0,13400000.0,130800000.0,25700000.0
Total Assets,732500000.0,736200000.0,852500000.0,858100000.0
Total Non Current Assets,636500000.0,631900000.0,716400000.0,759300000.0
Non Current Deferred Taxes Assets,8300000.0,8100000.0,1800000.0,3600000.0
Long Term Equity Investment,0.0,0.0,0.0,0.0
Investmentsin Subsidiariesat Cost,0.0,0.0,0.0,0.0
Goodwill And Other Intangible Assets,446400000.0,456800000.0,493600000.0,504600000.0
Other Intangible Assets,226100000.0,236500000.0,273300000.0,286400000.0
Goodwill,220300000.0,220300000.0,220300000.0,218200000.0
Net PPE,176600000.0,161600000.0,214700000.0,246000000.0
Accumulated Depreciation,-737500000.0,-705900000.0,-599700000.0,-525600000.0
Gross PPE,914100000.0,867500000.0,814400000.0,771600000.0
Machinery Furniture Equipment,534500000.0,497800000.0,487800000.0,467400000.0
Buildings And Improvements,344100000.0,334200000.0,290500000.0,194400000.0
Land And Improvements,35500000.0,35500000.0,36100000.0,109800000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,96000000.0,104300000.0,136100000.0,98800000.0
Other Current Assets,,,,800000.0
Assets Held For Sale Current,300000.0,0.0,0.0,
Restricted Cash,9700000.0,8900000.0,8000000.0,7100000.0
Prepaid Assets,7000000.0,15200000.0,23700000.0,7000000.0
Inventory,2000000.0,2200000.0,2300000.0,2000000.0
Finished Goods,2000000.0,2200000.0,2300000.0,2000000.0
Other Receivables,10800000.0,12500000.0,34200000.0,6200000.0
Taxes Receivable,8500000.0,15000000.0,8200000.0,10100000.0
Cash Cash Equivalents And Short Term Investments,56400000.0,49100000.0,91400000.0,62500000.0
Cash And Cash Equivalents,56400000.0,49100000.0,91400000.0,62500000.0
Cash Equivalents,3600000.0,1900000.0,20000000.0,10000000.0
Cash Financial,52800000.0,47200000.0,67700000.0,52500000.0
