,2024-06-30,2023-06-30,2022-06-30,2021-06-30
Free Cash Flow,66500000.0,20100000.0,113200000.0,-53800000.0
Repayment Of Debt,-226300000.0,-38500000.0,-40600000.0,-19700000.0
Issuance Of Debt,205400000.0,22000000.0,0.0,11000000.0
Issuance Of Capital Stock,,,0.0,68100000.0
Capital Expenditure,-46700000.0,-44100000.0,-40600000.0,-22200000.0
End Cash Position,62400000.0,56500000.0,95700000.0,69600000.0
Beginning Cash Position,56500000.0,91300000.0,68700000.0,71100000.0
Effect Of Exchange Rate Changes,100000.0,-100000.0,-100000.0,-500000.0
Changes In Cash,5800000.0,-34700000.0,27100000.0,-1000000.0
Financing Cash Flow,-59900000.0,-54400000.0,-94300000.0,27600000.0
Net Common Stock Issuance,,,0.0,68100000.0
Common Stock Issuance,,,0.0,68100000.0
Net Issuance Payments Of Debt,-20900000.0,-16500000.0,-40600000.0,-8700000.0
Net Short Term Debt Issuance,-6500000.0,18000000.0,-11000000.0,11000000.0
Short Term Debt Payments,-181900000.0,-4000000.0,-11000000.0,
Short Term Debt Issuance,175400000.0,22000000.0,,11000000.0
Net Long Term Debt Issuance,-14400000.0,-34500000.0,-29600000.0,-19700000.0
Long Term Debt Payments,-44400000.0,-34500000.0,-29600000.0,-19700000.0
Long Term Debt Issuance,30000000.0,0.0,0.0,
Investing Cash Flow,-47500000.0,-44500000.0,-32400000.0,3000000.0
Net Business Purchase And Sale,-800000.0,-400000.0,8200000.0,25200000.0
Sale Of Business,,0.0,8800000.0,25200000.0
Purchase Of Business,-800000.0,-400000.0,-600000.0,0.0
Net Intangibles Purchase And Sale,-16100000.0,-13100000.0,-14500000.0,-15900000.0
Purchase Of Intangibles,-16100000.0,-13100000.0,-14500000.0,-15900000.0
Net PPE Purchase And Sale,-30600000.0,-31000000.0,-26100000.0,-6300000.0
Purchase Of PPE,-30600000.0,-31000000.0,-26100000.0,-6300000.0
Operating Cash Flow,113200000.0,64200000.0,153800000.0,-31600000.0
Taxes Refund Paid,2400000.0,-3200000.0,-9900000.0,-1400000.0
Interest Received Cfo,600000.0,300000.0,5800000.0,100000.0
Interest Paid Cfo,-4400000.0,-4900000.0,-12100000.0,-15000000.0
Change In Working Capital,27000000.0,200000.0,-6200000.0,-9300000.0
Change In Payable,5700000.0,-11900000.0,12500000.0,-14000000.0
Change In Inventory,200000.0,200000.0,-300000.0,-100000.0
Change In Receivables,21100000.0,11900000.0,-18400000.0,4800000.0
Other Non Cash Items,12900000.0,-9800000.0,-74200000.0,-15200000.0
Stock Based Compensation,1200000.0,1100000.0,-300000.0,-200000.0
Provisionand Write Offof Assets,0.0,-3700000.0,,
Deferred Tax,6300000.0,600000.0,6400000.0,-10100000.0
Depreciation And Amortization,54300000.0,68700000.0,79100000.0,83000000.0
Amortization Cash Flow,6600000.0,8600000.0,11700000.0,11800000.0
Depreciation,47700000.0,60100000.0,67400000.0,71200000.0
Gain Loss On Investment Securities,,200000.0,,
Gain Loss On Sale Of PPE,0.0,200000.0,,
Gain Loss On Sale Of Business,800000.0,7700000.0,4700000.0,2100000.0
Net Income From Continuing Operations,12200000.0,-95800000.0,64900000.0,-72000000.0
