,2024-06-30,2023-06-30,2022-06-30,2021-06-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,5432000.0
Tax Rate For Calcs,0.225806,0.221,0.227,0.097
Normalized EBITDA,80800000.0,-42700000.0,163300000.0,-68500000.0
Total Unusual Items,,109200000.0,71700000.0,56000000.0
Total Unusual Items Excluding Goodwill,,109200000.0,71700000.0,56000000.0
Net Income From Continuing Operation Net Minority Interest,12300000.0,-96500000.0,56100000.0,-96900000.0
Reconciled Depreciation,54300000.0,68700000.0,79100000.0,83000000.0
Reconciled Cost Of Revenue,425800000.0,521300000.0,412300000.0,305400000.0
EBITDA,80800000.0,-42700000.0,163300000.0,-12500000.0
EBIT,26500000.0,-111400000.0,84200000.0,-95500000.0
Net Interest Income,-13800000.0,-12400000.0,-7800000.0,-13900000.0
Interest Expense,11000000.0,11900000.0,11200000.0,11800000.0
Interest Income,700000.0,800000.0,5700000.0,100000.0
Normalized Income,12300000.0,-96500000.0,56100000.0,-147468000.0
Net Income From Continuing And Discontinued Operation,12500000.0,-96200000.0,64900000.0,-72000000.0
Total Expenses,705300000.0,792300000.0,563200000.0,478500000.0
Rent Expense Supplemental,,0.0,0.0,100000.0
Total Operating Income As Reported,29400000.0,-110400000.0,80800000.0,-92900000.0
Diluted Average Shares,468400000.0,468400000.0,468400000.0,437300000.0
Basic Average Shares,468400000.0,468400000.0,468400000.0,437300000.0
Diluted EPS,0.027,-0.205,0.142,-0.165
Basic EPS,0.027,-0.205,0.142,-0.165
Diluted NI Availto Com Stockholders,12500000.0,-96200000.0,64900000.0,-72000000.0
Net Income Common Stockholders,12500000.0,-96200000.0,64900000.0,-72000000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,12500000.0,-96200000.0,64900000.0,-72000000.0
Minority Interests,-300000.0,400000.0,0.0,-100000.0
Net Income Including Noncontrolling Interests,12200000.0,-95800000.0,64900000.0,-72000000.0
Net Income Discontinuous Operations,200000.0,300000.0,8800000.0,24900000.0
Net Income Continuous Operations,12000000.0,-96100000.0,56100000.0,-96900000.0
Tax Provision,3500000.0,-27200000.0,16900000.0,-10400000.0
Pretax Income,15500000.0,-123300000.0,73000000.0,-107300000.0
Special Income Charges,,109200000.0,71700000.0,56000000.0
Other Special Charges,,-109200000.0,-71700000.0,-56000000.0
Restructuring And Mergern Acquisition,,,,7900000.0
Net Non Operating Interest Income Expense,-13800000.0,-12400000.0,-7800000.0,-13900000.0
Total Other Finance Cost,3500000.0,1300000.0,2300000.0,2200000.0
Interest Expense Non Operating,11000000.0,11900000.0,11200000.0,11800000.0
Interest Income Non Operating,700000.0,800000.0,5700000.0,100000.0
Operating Income,29400000.0,-110400000.0,80800000.0,-148900000.0
Operating Expense,279500000.0,271000000.0,150900000.0,173100000.0
Other Operating Expenses,279500000.0,274700000.0,242800000.0,173100000.0
Depreciation And Amortization In Income Statement,,,,11800000.0
Amortization,,,,11800000.0
Depreciation Income Statement,,,,0.0
Gross Profit,308900000.0,160600000.0,231700000.0,24200000.0
Cost Of Revenue,425800000.0,521300000.0,412300000.0,305400000.0
Total Revenue,734700000.0,681900000.0,644000000.0,329600000.0
Operating Revenue,734700000.0,681900000.0,644000000.0,329600000.0
