Metric,Value
address1,TOR
address2,Saint-Cloud Way
city,Maidenhead
zip,SL6 8BN
country,United Kingdom
phone,44 16 2850 4000
website,https://www.rank.com
industry,Gambling
industryKey,gambling
industryDisp,Gambling
sector,Consumer Cyclical
sectorKey,consumer-cyclical
sectorDisp,Consumer Cyclical
longBusinessSummary,"The Rank Group Plc, together with its subsidiaries, engages in provision of gaming services in Great Britain, Spain, and India. The company operates through Grosvenor Venues, Mecca Venues, Digital, and Enracha Venues segments. It also offers casino table games, including roulette, blackjack, baccarat, and poker, as well as electronic roulette, and slots machine games; and community games, such as bingo, slot machine games, food and drink, and live entertainment. In addition, the company operates digital channels, including live casino; social and bingo clubs. Further, it offers support services to interactive gaming; and property and marketing services; processes credit transfers; operates parking for social and bingo clubs; and develops and maintains online gaming software, as well as operates YoBingo, a digital bingo brand, as well as various other digital brands. The Rank Group Plc was formerly known as Megastorm Public Limited Company and changed its name to The Rank Group Plc in July 1996. The company was founded in 1937 and is based in Maidenhead, the United Kingdom. The Rank Group Plc is a subsidiary of Guoco Group Limited."
fullTimeEmployees,7600
companyOfficers,"[{'maxAge': 1, 'name': ""Mr. John Patrick O'Reilly"", 'age': 64, 'title': 'CEO & Executive Director', 'yearBorn': 1960, 'fiscalYear': 2024, 'totalPay': 1123770, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Richard David Harris', 'age': 41, 'title': 'CFO & Executive Director', 'yearBorn': 1983, 'fiscalYear': 2024, 'totalPay': 698299, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Jon  Martin', 'title': 'Chief Operating Officer', 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Jonathan  Plumb', 'title': 'Chief Information Officer', 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Lesly  Hughes', 'title': 'Head of Communications and Head of PR', 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Hazel  Boyle', 'title': 'Chief People Officer', 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Sarah  Powell', 'title': 'Director of ESG & Treasury', 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Andy  Crump', 'age': 49, 'title': 'Mecca Venues Managing Director', 'yearBorn': 1975, 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Enric  Monton', 'title': 'Rank International Managing Director', 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Mark  Harper', 'title': 'Grosvenor Venues Managing Director', 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}]"
auditRisk,3
boardRisk,6
compensationRisk,6
shareHolderRightsRisk,8
overallRisk,5
governanceEpochDate,1748736000
compensationAsOfEpochDate,1735603200
irWebsite,http://www.rank.com/investors/index.jsp
executiveTeam,[]
maxAge,86400
priceHint,2
previousClose,137.4
open,139.8
dayLow,136.4
dayHigh,139.8
regularMarketPreviousClose,137.4
regularMarketOpen,139.8
regularMarketDayLow,136.4
regularMarketDayHigh,139.8
dividendRate,0.01
dividendYield,0.98
exDividendDate,1739404800
payoutRatio,0.1232
fiveYearAvgDividendYield,3.88
beta,2.366
trailingPE,19.742857
forwardPE,0.15758266
volume,217237
regularMarketVolume,217237
averageVolume,509704
averageVolume10days,348814
averageDailyVolume10Day,348814
bid,138.0
ask,138.6
bidSize,0
askSize,0
marketCap,647370240
fiftyTwoWeekLow,63.6
fiftyTwoWeekHigh,143.4
priceToSalesTrailing12Months,0.8365037
fiftyDayAverage,118.042
twoHundredDayAverage,93.228
trailingAnnualDividendRate,0.015
trailingAnnualDividendYield,0.00010917031
currency,GBp
tradeable,False
enterpriseValue,733672000
profitMargins,0.041869998
floatShares,185106996
sharesOutstanding,468430016
heldPercentInsiders,0.6088
heldPercentInstitutions,0.30536
impliedSharesOutstanding,468430016
bookValue,0.778
priceToBook,177.63496
lastFiscalYearEnd,1719705600
nextFiscalYearEnd,1751241600
mostRecentQuarter,1735603200
earningsQuarterlyGrowth,2.211
netIncomeToCommon,32200000
trailingEps,0.07
forwardEps,8.77
lastSplitFactor,18:25
lastSplitDate,1174867200
enterpriseToRevenue,0.948
enterpriseToEbitda,9.914
52WeekChange,1.0028985
SandP52WeekChange,0.12677538
lastDividendValue,0.0065
lastDividendDate,1739404800
quoteType,EQUITY
currentPrice,138.2
targetHighPrice,160.0
targetLowPrice,127.0
targetMeanPrice,142.333
targetMedianPrice,140.0
recommendationKey,none
numberOfAnalystOpinions,3
totalCash,72600000
totalCashPerShare,0.155
ebitda,74000000
totalDebt,183300000
quickRatio,0.53
currentRatio,0.542
totalRevenue,773900032
debtToEquity,50.316
revenuePerShare,1.652
returnOnAssets,0.044650003
returnOnEquity,0.09177
grossProfits,334900000
freeCashflow,42912500
operatingCashflow,101900000
earningsGrowth,2.247
revenueGrowth,0.108
grossMargins,0.43273997
ebitdaMargins,0.09562001
operatingMargins,0.0784
financialCurrency,GBP
symbol,RNK.L
language,en-US
region,US
typeDisp,Equity
quoteSourceName,Delayed Quote
triggerable,False
customPriceAlertConfidence,LOW
fiftyDayAverageChange,20.157997
fiftyDayAverageChangePercent,0.1707697
twoHundredDayAverageChange,44.972
twoHundredDayAverageChangePercent,0.48238727
sourceInterval,15
exchangeDataDelayedBy,15
cryptoTradeable,False
hasPrePostMarketData,False
firstTradeDateMilliseconds,583743600000
regularMarketChange,0.80000305
regularMarketDayRange,136.4 - 139.8
fullExchangeName,LSE
averageDailyVolume3Month,509704
fiftyTwoWeekLowChange,74.6
fiftyTwoWeekLowChangePercent,1.172956
fiftyTwoWeekRange,63.6 - 143.4
fiftyTwoWeekHighChange,-5.199997
fiftyTwoWeekHighChangePercent,-0.036262184
fiftyTwoWeekChangePercent,100.28985
earningsTimestamp,1755185400
earningsTimestampStart,1755073800
earningsTimestampEnd,1755505800
earningsCallTimestampStart,1738229400
earningsCallTimestampEnd,1738229400
isEarningsDateEstimate,True
epsTrailingTwelveMonths,0.07
epsForward,8.77
epsCurrentYear,0.08036
priceEpsCurrentYear,1719.761
shortName,RANK GROUP PLC ORD 13 8/9P
longName,The Rank Group Plc
corporateActions,[]
regularMarketTime,1751643305
exchange,LSE
messageBoardId,finmb_387255
exchangeTimezoneName,Europe/London
exchangeTimezoneShortName,BST
gmtOffSetMilliseconds,3600000
market,gb_market
esgPopulated,False
regularMarketChangePercent,0.58224386
regularMarketPrice,138.2
marketState,CLOSED
trailingPegRatio,
