,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Treasury Shares Number,155226.0,,,
Ordinary Shares Number,193260489.0,185669950.0,185669950.0,185669950.0
Share Issued,193415715.0,185669950.0,185669950.0,185669950.0
Total Debt,6200000.0,7100000.0,1622000.0,2116000.0
Tangible Book Value,137200000.0,100600000.0,71616000.0,69714000.0
Invested Capital,210400000.0,159200000.0,107151000.0,95521000.0
Working Capital,147100000.0,109300000.0,79240000.0,72641000.0
Net Tangible Assets,137200000.0,100600000.0,71616000.0,69714000.0
Capital Lease Obligations,6200000.0,7100000.0,1622000.0,2116000.0
Common Stock Equity,210400000.0,159200000.0,107151000.0,95521000.0
Total Capitalization,210400000.0,159200000.0,107151000.0,95521000.0
Total Equity Gross Minority Interest,210400000.0,159200000.0,107151000.0,95521000.0
Stockholders Equity,210400000.0,159200000.0,107151000.0,95521000.0
Other Equity Interest,2700000.0,1300000.0,1306000.0,1717000.0
Retained Earnings,396400000.0,92500000.0,60914000.0,48892000.0
Additional Paid In Capital,32400000.0,65400000.0,44931000.0,44912000.0
Capital Stock,800000.0,0.0,0.0,0.0
Common Stock,800000.0,0.0,0.0,0.0
Total Liabilities Net Minority Interest,121000000.0,106100000.0,40251000.0,31263000.0
Total Non Current Liabilities Net Minority Interest,22800000.0,23200000.0,12732000.0,8165000.0
Other Non Current Liabilities,,6425000.0,3700000.0,
Tradeand Other Payables Non Current,1300000.0,4200000.0,,
Non Current Deferred Revenue,4700000.0,2200000.0,,
Non Current Deferred Taxes Liabilities,10100000.0,10200000.0,7673000.0,6214000.0
Long Term Debt And Capital Lease Obligation,4800000.0,5800000.0,1359000.0,1951000.0
Long Term Capital Lease Obligation,4800000.0,5800000.0,1359000.0,1951000.0
Long Term Provisions,1900000.0,800000.0,,
Current Liabilities,98200000.0,82900000.0,27519000.0,23098000.0
Other Current Liabilities,4400000.0,8200000.0,1739000.0,2658000.0
Current Debt And Capital Lease Obligation,1400000.0,1300000.0,263000.0,165000.0
Current Capital Lease Obligation,1400000.0,1300000.0,263000.0,165000.0
Current Provisions,700000.0,400000.0,,
Payables,84100000.0,64300000.0,21733000.0,16933000.0
Other Payable,,3382000.0,1815000.0,80000.0
Total Tax Payable,1000000.0,1900000.0,1914000.0,1676000.0
Accounts Payable,83100000.0,62400000.0,18004000.0,15177000.0
Total Assets,331400000.0,265300000.0,147402000.0,126784000.0
Total Non Current Assets,86100000.0,73100000.0,40643000.0,31045000.0
Other Non Current Assets,,2698000.0,,
Non Current Prepaid Assets,2000000.0,2700000.0,,
Non Current Deferred Taxes Assets,300000.0,0.0,,
Goodwill And Other Intangible Assets,73200000.0,58600000.0,35535000.0,25807000.0
Other Intangible Assets,73200000.0,58600000.0,35535000.0,25807000.0
Net PPE,10600000.0,11800000.0,5108000.0,5238000.0
Accumulated Depreciation,-10700000.0,-7900000.0,-5732000.0,-3755000.0
Gross PPE,21300000.0,19700000.0,10840000.0,8993000.0
Other Properties,,6849000.0,1487000.0,1779000.0
Machinery Furniture Equipment,13000000.0,11300000.0,9026000.0,6887000.0
Buildings And Improvements,8300000.0,8400000.0,327000.0,327000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,245300000.0,192200000.0,106759000.0,95739000.0
Other Current Assets,,-200000.0,,
Prepaid Assets,3600000.0,2600000.0,3039000.0,4588000.0
Inventory,156700000.0,108100000.0,47889000.0,40576000.0
Finished Goods,63800000.0,40700000.0,11430000.0,14894000.0
Raw Materials,92900000.0,67400000.0,36459000.0,25682000.0
Other Receivables,700000.0,700000.0,1840000.0,1058000.0
Taxes Receivable,7500000.0,8400000.0,0.0,0.0
Accounts Receivable,31000000.0,30400000.0,21148000.0,15088000.0
Allowance For Doubtful Accounts Receivable,0.0,100000.0,0.0,0.0
Gross Accounts Receivable,31000000.0,30300000.0,21148000.0,15088000.0
Cash Cash Equivalents And Short Term Investments,45800000.0,42200000.0,32843000.0,34429000.0
Cash And Cash Equivalents,45800000.0,42200000.0,32843000.0,34429000.0
Cash Equivalents,40000000.0,35700000.0,,
Cash Financial,5800000.0,6500000.0,,
