,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,-26300000.0,-2000000.0,3594000.0,-6870000.0
Repayment Of Debt,,0.0,0.0,-15154000.0
Issuance Of Debt,,0.0,0.0,15190000.0
Issuance Of Capital Stock,40800000.0,15100000.0,19000.0,44894000.0
Capital Expenditure,-23100000.0,-23100000.0,-10745000.0,-7380000.0
End Cash Position,45800000.0,42200000.0,32843000.0,34429000.0
Beginning Cash Position,42200000.0,32800000.0,34429000.0,1055000.0
Effect Of Exchange Rate Changes,100000.0,100000.0,319000.0,-5000.0
Changes In Cash,3500000.0,9300000.0,-1905000.0,33379000.0
Financing Cash Flow,29800000.0,14000000.0,-5499000.0,40249000.0
Net Other Financing Charges,,1443000.0,49000.0,
Interest Paid Cff,-1200000.0,-800000.0,-220000.0,-315000.0
Cash Dividends Paid,,,-5045000.0,-4041000.0
Net Common Stock Issuance,40800000.0,15100000.0,19000.0,44894000.0
Common Stock Issuance,40800000.0,15100000.0,19000.0,44894000.0
Net Issuance Payments Of Debt,,0.0,0.0,36000.0
Net Long Term Debt Issuance,,0.0,0.0,36000.0
Long Term Debt Payments,,0.0,0.0,-15154000.0
Long Term Debt Issuance,,0.0,0.0,15190000.0
Investing Cash Flow,-23100000.0,-25800000.0,-10745000.0,-7380000.0
Net Other Investing Changes,,-2700000.0,,
Net Intangibles Purchase And Sale,-20900000.0,-19200000.0,-1589000.0,0.0
Purchase Of Intangibles,-20900000.0,-19200000.0,-1589000.0,0.0
Net PPE Purchase And Sale,-2200000.0,-3900000.0,-2139000.0,-2796000.0
Purchase Of PPE,-2200000.0,-3900000.0,-2139000.0,-2796000.0
Capital Expenditure Reported,,-14410000.0,-7017000.0,-4584000.0
Operating Cash Flow,-3200000.0,21100000.0,14339000.0,510000.0
Taxes Refund Paid,-4200000.0,-4700000.0,0.0,0.0
Interest Received Cfo,1100000.0,1400000.0,,
Change In Working Capital,-34300000.0,-19300000.0,-9655000.0,-23237000.0
Change In Other Current Assets,,-2698000.0,,
Change In Payable,13000000.0,54100000.0,2951000.0,4902000.0
Change In Inventory,-51100000.0,-60200000.0,-7313000.0,-21660000.0
Change In Receivables,3500000.0,-13600000.0,-5293000.0,-6479000.0
Other Non Cash Items,700000.0,200000.0,-20000.0,292000.0
Stock Based Compensation,6000000.0,0.0,-411000.0,1204000.0
Deferred Tax,-800000.0,-500000.0,-490000.0,0.0
Depreciation And Amortization,10700000.0,6200000.0,5148000.0,3809000.0
Amortization Cash Flow,,3017000.0,2879000.0,2113000.0
Depreciation,10700000.0,6200000.0,2269000.0,1696000.0
Gain Loss On Investment Securities,,237000.0,,
Net Foreign Currency Exchange Gain Loss,,-140000.0,-321000.0,-31000.0
Gain Loss On Sale Of PPE,0.0,200000.0,,
Net Income From Continuing Operations,17600000.0,37600000.0,20088000.0,18473000.0
