,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,-818404.907975,0.0,0.0,0.0
Tax Rate For Calcs,0.282209,0.173,0.150388,0.19607
Normalized EBITDA,32300000.0,45200000.0,25456000.0,22597000.0
Total Unusual Items,-2900000.0,0.0,,
Total Unusual Items Excluding Goodwill,-2900000.0,0.0,,
Net Income From Continuing Operation Net Minority Interest,11700000.0,31600000.0,17067000.0,14851000.0
Reconciled Depreciation,10700000.0,6200000.0,5148000.0,3809000.0
Reconciled Cost Of Revenue,196300000.0,199800000.0,145579000.0,98670000.0
EBITDA,29400000.0,45200000.0,25456000.0,22597000.0
EBIT,18700000.0,39000000.0,20308000.0,18788000.0
Net Interest Income,-1300000.0,600000.0,-171000.0,-315000.0
Interest Expense,2400000.0,800000.0,220000.0,315000.0
Interest Income,1100000.0,1400000.0,49000.0,0.0
Normalized Income,13781595.092025,31600000.0,17067000.0,14851000.0
Net Income From Continuing And Discontinued Operation,11700000.0,31600000.0,17067000.0,14851000.0
Total Expenses,239000000.0,228200000.0,168624000.0,121550000.0
Total Operating Income As Reported,17600000.0,37600000.0,20068000.0,18765000.0
Diluted Average Shares,188699825.0,193415715.0,193415715.0,193415715.0
Basic Average Shares,180514195.0,193415715.0,193415715.0,193415715.0
Diluted EPS,0.062,0.163379,0.08824,0.076783
Basic EPS,0.0648,0.163379,0.08824,0.076783
Diluted NI Availto Com Stockholders,11700000.0,31600000.0,17067000.0,14851000.0
Net Income Common Stockholders,11700000.0,31600000.0,17067000.0,14851000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,11700000.0,31600000.0,17067000.0,14851000.0
Net Income Including Noncontrolling Interests,11700000.0,31600000.0,17067000.0,14851000.0
Net Income Continuous Operations,11700000.0,31600000.0,17067000.0,14851000.0
Tax Provision,4600000.0,6600000.0,3021000.0,3622000.0
Pretax Income,16300000.0,38200000.0,20088000.0,18473000.0
Special Income Charges,-2900000.0,0.0,,
Other Special Charges,2900000.0,,,
Net Non Operating Interest Income Expense,-1300000.0,600000.0,-171000.0,-315000.0
Interest Expense Non Operating,2400000.0,800000.0,220000.0,315000.0
Interest Income Non Operating,1100000.0,1400000.0,49000.0,0.0
Operating Income,20500000.0,37600000.0,19235000.0,19037000.0
Operating Expense,42700000.0,28400000.0,23045000.0,22880000.0
Depreciation And Amortization In Income Statement,4400000.0,3200000.0,,
Depreciation Income Statement,4400000.0,3200000.0,,
Research And Development,17900000.0,10600000.0,9251000.0,11124000.0
Selling General And Administration,7100000.0,6700000.0,13794000.0,11793000.0
General And Administrative Expense,7100000.0,6700000.0,13794000.0,11793000.0
Gross Profit,63200000.0,66000000.0,42280000.0,41917000.0
Cost Of Revenue,196300000.0,199800000.0,145579000.0,98670000.0
Total Revenue,259500000.0,265800000.0,187859000.0,140587000.0
Operating Revenue,259500000.0,265800000.0,187859000.0,140587000.0
