Metric,Value
address1,194 Cambridge Science Park
address2,Milton Road
city,Cambridge
zip,CB4 0AB
country,United Kingdom
website,https://www.raspberrypi.com
industry,Electronic Components
industryKey,electronic-components
industryDisp,Electronic Components
sector,Technology
sectorKey,technology
sectorDisp,Technology
longBusinessSummary,"Raspberry Pi Holdings plc designs and develops single-board computers, compute module, and semiconductors in the United Kingdom, Europe, the United States, Asia Pacific, and internationally. The company offers computers and microcontrollers, cameras and displays, add-on boards, power supplies and cables, cases, and peripherals. It also provides Raspberry Pi Connect, a secure remote access solution for Raspberry Pi OS which allows to connect to your Raspberry Pi desktop from any browser; Raspberry Pi Desktop for any PC or Apple Mac computer; Raspberry Pi Imager, which installs Raspberry Pi OS and other operating systems to a microSD card and OS software products; and Raspberry Pi OS, a supported operating system for organizations. In addition, the company offers Raspberry Pi Press, which produces magazines and books, as well as the Raspberry Pi Store. The company serves resellers and original equipment manufacturers; and industrial and embedded applications, enthusiasts, and educators. Raspberry Pi Holdings plc was incorporated in 2012 and is headquartered in Cambridge, the United Kingdom."
fullTimeEmployees,132
companyOfficers,"[{'maxAge': 1, 'name': 'Dr. Eben Christopher Upton CBE', 'age': 46, 'title': 'Founder, CEO & Director', 'yearBorn': 1978, 'fiscalYear': 2024, 'totalPay': 441569, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Richard David Boult', 'age': 59, 'title': 'CFO, Secretary & Director', 'yearBorn': 1965, 'fiscalYear': 2024, 'totalPay': 340450, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Carol  Copland', 'age': 50, 'title': 'General Counsel & Company Secretary', 'yearBorn': 1974, 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Helen  Lynn', 'title': 'Director of Communications', 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Mike  Buffham', 'age': 63, 'title': 'Chief Commercial Officer', 'yearBorn': 1961, 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Dr. Gordon Scott Hollingworth', 'age': 53, 'title': 'Chief Technical Officer of Software', 'yearBorn': 1971, 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. James Robert Adams', 'age': 44, 'title': 'Chief Technical Officer of Hardware', 'yearBorn': 1980, 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}]"
auditRisk,10
boardRisk,7
compensationRisk,7
shareHolderRightsRisk,10
overallRisk,8
governanceEpochDate,1748736000
compensationAsOfEpochDate,1735603200
executiveTeam,[]
maxAge,86400
priceHint,2
previousClose,470.0
open,469.8
dayLow,459.62
dayHigh,484.6
regularMarketPreviousClose,470.0
regularMarketOpen,469.8
regularMarketDayLow,459.62
regularMarketDayHigh,484.6
payoutRatio,0.0
trailingPE,96.520004
forwardPE,43.87273
volume,182634
regularMarketVolume,182634
averageVolume,287143
averageVolume10days,194159
averageDailyVolume10Day,194159
bid,480.2
ask,482.0
marketCap,932672768
fiftyTwoWeekLow,316.2
fiftyTwoWeekHigh,780.0
priceToSalesTrailing12Months,3.5941148
fiftyDayAverage,480.882
twoHundredDayAverage,495.5915
trailingAnnualDividendRate,0.0
trailingAnnualDividendYield,0.0
currency,GBp
tradeable,False
enterpriseValue,843149312
profitMargins,0.045089997
floatShares,73457354
sharesOutstanding,193260000
heldPercentInsiders,0.71307
heldPercentInstitutions,0.19483
impliedSharesOutstanding,195044992
bookValue,1.088
priceToBook,443.56616
lastFiscalYearEnd,1735603200
nextFiscalYearEnd,1767139200
mostRecentQuarter,1735603200
earningsQuarterlyGrowth,-0.823
netIncomeToCommon,11700000
trailingEps,0.05
forwardEps,0.11
enterpriseToRevenue,3.249
enterpriseToEbitda,28.389
52WeekChange,0.17135918
SandP52WeekChange,0.12677538
quoteType,EQUITY
currentPrice,482.6
targetHighPrice,647.43726
targetLowPrice,437.05356
targetMeanPrice,544.7898
targetMedianPrice,549.87854
recommendationKey,none
numberOfAnalystOpinions,3
totalCash,45800000
totalCashPerShare,0.237
ebitda,29700000
totalDebt,6200000
quickRatio,0.866
currentRatio,2.498
totalRevenue,259500000
debtToEquity,2.947
revenuePerShare,1.438
returnOnAssets,0.04315
returnOnEquity,0.06331
grossProfits,63200000
freeCashflow,-28575000
operatingCashflow,-3200000
earningsGrowth,-0.842
revenueGrowth,-0.346
grossMargins,0.24355
ebitdaMargins,0.11445
operatingMargins,0.06147
financialCurrency,USD
symbol,RPI.L
language,en-US
region,US
typeDisp,Equity
quoteSourceName,Delayed Quote
triggerable,False
customPriceAlertConfidence,LOW
shortName,RASPBERRY PI HOLDINGS PLC ORD 0
marketState,CLOSED
corporateActions,[]
regularMarketTime,1751643303
exchange,LSE
messageBoardId,finmb_271153436
exchangeTimezoneName,Europe/London
exchangeTimezoneShortName,BST
gmtOffSetMilliseconds,3600000
market,gb_market
esgPopulated,False
regularMarketChangePercent,2.6808524
regularMarketPrice,482.6
hasPrePostMarketData,False
fiftyDayAverageChange,1.7180176
fiftyDayAverageChangePercent,0.0035726386
twoHundredDayAverageChange,-12.991486
twoHundredDayAverageChangePercent,-0.026214102
sourceInterval,15
exchangeDataDelayedBy,15
cryptoTradeable,False
firstTradeDateMilliseconds,1718089200000
regularMarketChange,12.600006
regularMarketDayRange,459.62 - 484.6
fullExchangeName,LSE
averageDailyVolume3Month,287143
fiftyTwoWeekLowChange,166.4
fiftyTwoWeekLowChangePercent,0.5262492
fiftyTwoWeekRange,316.2 - 780.0
fiftyTwoWeekHighChange,-297.4
fiftyTwoWeekHighChangePercent,-0.38128203
fiftyTwoWeekChangePercent,17.135918
earningsTimestampStart,1743591540
earningsTimestampEnd,1743591540
earningsCallTimestampStart,1743582600
earningsCallTimestampEnd,1743582600
isEarningsDateEstimate,False
epsTrailingTwelveMonths,0.05
epsForward,0.11
epsCurrentYear,0.12729
priceEpsCurrentYear,3791.3428
longName,Raspberry Pi Holdings plc
trailingPegRatio,
