,2024-07-31,2023-07-31,2022-07-31,2021-07-31,2020-07-31
Treasury Shares Number,579582.0,579582.0,0.0,,0.0
Ordinary Shares Number,199184879.0,198975500.0,199354076.0,199041810.0,
Share Issued,199764461.0,199555082.0,199354076.0,199041810.0,
Total Debt,10358000.0,9761000.0,6666000.0,8302000.0,
Tangible Book Value,286429000.0,244290000.0,203122000.0,173942000.0,
Invested Capital,298037000.0,251445000.0,211100000.0,179144000.0,
Working Capital,281216000.0,230035000.0,190752000.0,161348000.0,
Net Tangible Assets,286429000.0,244290000.0,203122000.0,173942000.0,
Capital Lease Obligations,10358000.0,9761000.0,6666000.0,8302000.0,
Common Stock Equity,298037000.0,251445000.0,211100000.0,179144000.0,
Total Capitalization,298037000.0,251445000.0,211100000.0,179144000.0,
Total Equity Gross Minority Interest,298037000.0,251445000.0,211100000.0,179144000.0,
Stockholders Equity,298037000.0,251445000.0,211100000.0,179144000.0,
Treasury Stock,,0.0,0.0,0.0,
Retained Earnings,290505000.0,243807000.0,202459000.0,174065000.0,
Additional Paid In Capital,4979000.0,4979000.0,4979000.0,4979000.0,
Capital Stock,100000.0,100000.0,100000.0,100000.0,
Common Stock,100000.0,100000.0,100000.0,100000.0,
Total Liabilities Net Minority Interest,482712000.0,396277000.0,460958000.0,318215000.0,
Total Non Current Liabilities Net Minority Interest,17256000.0,10059000.0,7570000.0,9330000.0,
Non Current Deferred Revenue,9151000.0,3032000.0,3620000.0,3626000.0,
Long Term Debt And Capital Lease Obligation,8105000.0,7027000.0,3950000.0,5704000.0,
Long Term Capital Lease Obligation,8105000.0,7027000.0,3950000.0,5704000.0,
Current Liabilities,465456000.0,386218000.0,453388000.0,308885000.0,
Current Debt And Capital Lease Obligation,2253000.0,2734000.0,2716000.0,2598000.0,
Current Capital Lease Obligation,2253000.0,2734000.0,2716000.0,2598000.0,
Payables,309304000.0,269411000.0,303847000.0,232683000.0,
Other Payable,285000.0,799000.0,,,
Total Tax Payable,18150000.0,13705000.0,23078000.0,12378000.0,
Accounts Payable,290869000.0,254907000.0,280769000.0,220305000.0,
Total Assets,780749000.0,647722000.0,672058000.0,497359000.0,
Total Non Current Assets,34077000.0,31469000.0,27918000.0,27126000.0,
Other Non Current Assets,,,,-1000.0,
Non Current Deferred Taxes Assets,2571000.0,2997000.0,2508000.0,3149000.0,
Goodwill And Other Intangible Assets,11608000.0,7155000.0,7978000.0,5202000.0,
Other Intangible Assets,11608000.0,7155000.0,7978000.0,5202000.0,
Net PPE,19898000.0,21317000.0,17432000.0,18776000.0,
Accumulated Depreciation,-11391000.0,-8863000.0,-6397000.0,-4023000.0,
Gross PPE,31289000.0,30180000.0,23829000.0,22799000.0,
Machinery Furniture Equipment,8790000.0,8368000.0,6958000.0,5165000.0,
Buildings And Improvements,19126000.0,18995000.0,14222000.0,14985000.0,
Land And Improvements,3373000.0,2817000.0,2649000.0,2649000.0,
Properties,0.0,0.0,0.0,0.0,
Current Assets,746672000.0,616253000.0,644140000.0,470233000.0,
Current Deferred Assets,26188000.0,14270000.0,8010000.0,10768000.0,
Prepaid Assets,6982000.0,6344000.0,4338000.0,3584000.0,
Inventory,2916000.0,3591000.0,5104000.0,38411000.0,
Finished Goods,2916000.0,3591000.0,5104000.0,38411000.0,
Other Receivables,50766000.0,43778000.0,36726000.0,18671000.0,
Taxes Receivable,,0.0,296000.0,432000.0,636000.0
Accounts Receivable,501366000.0,425649000.0,492350000.0,296643000.0,
Allowance For Doubtful Accounts Receivable,-3122000.0,-3920000.0,-4958000.0,-3415000.0,
Gross Accounts Receivable,504488000.0,429569000.0,497308000.0,300058000.0,
Cash Cash Equivalents And Short Term Investments,158454000.0,122621000.0,97316000.0,101724000.0,
Cash And Cash Equivalents,158454000.0,122621000.0,97316000.0,101724000.0,
Cash Financial,158454000.0,122621000.0,97316000.0,101724000.0,
