,2024-07-31,2023-07-31,2022-07-31,2021-07-31,2020-07-31
Free Cash Flow,108476000.0,101557000.0,78420000.0,84788000.0,
Repurchase Of Capital Stock,,,,,-1000.0
Issuance Of Capital Stock,0.0,0.0,0.0,0.0,
Capital Expenditure,-7132000.0,-3245000.0,-5224000.0,-6464000.0,
End Cash Position,158454000.0,122621000.0,97316000.0,101724000.0,
Beginning Cash Position,122621000.0,97316000.0,101724000.0,80139000.0,
Effect Of Exchange Rate Changes,-1000.0,-204000.0,3562000.0,0.0,
Changes In Cash,35834000.0,25509000.0,-7970000.0,21585000.0,
Financing Cash Flow,-78420000.0,-77219000.0,-86642000.0,-63231000.0,
Interest Paid Cff,-443000.0,-205000.0,-253000.0,-291000.0,
Cash Dividends Paid,-76048000.0,-74175000.0,-84020000.0,-60815000.0,
Common Stock Dividend Paid,-76048000.0,-74175000.0,-84020000.0,-60815000.0,
Net Common Stock Issuance,0.0,0.0,0.0,0.0,
Common Stock Payments,,,,,-1000.0
Common Stock Issuance,0.0,0.0,0.0,0.0,
Investing Cash Flow,-1354000.0,-2074000.0,-4972000.0,-6436000.0,
Interest Received Cfi,5778000.0,1171000.0,252000.0,28000.0,
Net Intangibles Purchase And Sale,-6017000.0,-701000.0,-3334000.0,-4199000.0,
Purchase Of Intangibles,-6017000.0,-701000.0,-3334000.0,-4199000.0,
Net PPE Purchase And Sale,-1115000.0,-2544000.0,-1890000.0,-2265000.0,
Purchase Of PPE,-1115000.0,-2544000.0,-1890000.0,-2265000.0,
Operating Cash Flow,115608000.0,104802000.0,83644000.0,91252000.0,
Taxes Refund Paid,-39226000.0,-29793000.0,-25344000.0,-22545000.0,
Dividend Paid Cfo,-98000.0,-66000.0,-215000.0,-196000.0,
Change In Working Capital,-9368000.0,-15685000.0,-34008000.0,-12658000.0,
Change In Payable,85218000.0,-68581000.0,144379000.0,29553000.0,
Change In Inventory,675000.0,1513000.0,33307000.0,-26667000.0,
Change In Receivables,-95261000.0,51383000.0,-211694000.0,-15544000.0,
Stock Based Compensation,3612000.0,3330000.0,2541000.0,2267000.0,
Depreciation And Amortization,6624000.0,6118000.0,4525000.0,4892000.0,
Amortization Cash Flow,1564000.0,1525000.0,558000.0,297000.0,
Depreciation,5060000.0,4593000.0,3967000.0,4595000.0,
Gain Loss On Sale Of PPE,,0.0,0.0,76000.0,146000.0
Net Income From Continuing Operations,154064000.0,140898000.0,136145000.0,119416000.0,
