,2024-07-31,2023-07-31,2022-07-31,2021-07-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.25317,0.21,0.189,0.192
Normalized EBITDA,166466000.0,148187000.0,140922000.0,124336000.0
Net Income From Continuing Operation Net Minority Interest,119044000.0,112029000.0,110405000.0,96185000.0
Reconciled Depreciation,6624000.0,6118000.0,4525000.0,4892000.0
Reconciled Cost Of Revenue,544880000.0,611466000.0,750736000.0,507691000.0
EBITDA,166466000.0,148187000.0,140922000.0,124336000.0
EBIT,159842000.0,142069000.0,136397000.0,119444000.0
Net Interest Income,5335000.0,966000.0,-1000.0,-449000.0
Interest Expense,443000.0,205000.0,253000.0,477000.0
Interest Income,5778000.0,1171000.0,252000.0,28000.0
Normalized Income,119044000.0,112029000.0,110405000.0,96185000.0
Net Income From Continuing And Discontinued Operation,119044000.0,112029000.0,110405000.0,96185000.0
Total Expenses,808569000.0,844402000.0,941801000.0,664633000.0
Rent Expense Supplemental,57000.0,83000.0,32000.0,102000.0
Total Operating Income As Reported,154064000.0,140898000.0,136145000.0,119416000.0
Diluted Average Shares,200516000.0,200516000.0,199632000.0,199443000.0
Basic Average Shares,199490000.0,199490000.0,198976000.0,198559000.0
Diluted EPS,0.594,0.56,0.553,0.482
Basic EPS,0.597,0.562,0.555,0.484
Diluted NI Availto Com Stockholders,119044000.0,112029000.0,110405000.0,96185000.0
Net Income Common Stockholders,119044000.0,112029000.0,110405000.0,96185000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,119044000.0,112029000.0,110405000.0,96185000.0
Net Income Including Noncontrolling Interests,119044000.0,112029000.0,110405000.0,96185000.0
Net Income Continuous Operations,119044000.0,112029000.0,110405000.0,96185000.0
Tax Provision,40355000.0,29835000.0,25739000.0,22782000.0
Pretax Income,159399000.0,141864000.0,136144000.0,118967000.0
Net Non Operating Interest Income Expense,5335000.0,966000.0,-1000.0,-449000.0
Interest Expense Non Operating,443000.0,205000.0,253000.0,477000.0
Interest Income Non Operating,5778000.0,1171000.0,252000.0,28000.0
Operating Income,154064000.0,140898000.0,136145000.0,119416000.0
Operating Expense,263689000.0,232936000.0,191065000.0,156942000.0
Selling General And Administration,263689000.0,232936000.0,191065000.0,156942000.0
General And Administrative Expense,263689000.0,232936000.0,191065000.0,156942000.0
Gross Profit,417753000.0,373834000.0,327210000.0,276358000.0
Cost Of Revenue,544880000.0,611466000.0,750736000.0,507691000.0
Total Revenue,962633000.0,985300000.0,1077946000.0,784049000.0
Operating Revenue,962633000.0,985300000.0,1077946000.0,784049000.0
