Metric,Value
address1,Solar House
address2,Fieldhouse Lane
city,Marlow
zip,SL7 1LW
country,United Kingdom
phone,44 1628 403 403
website,https://www.softcat.com
industry,Electronics & Computer Distribution
industryKey,electronics-computer-distribution
industryDisp,Electronics & Computer Distribution
sector,Technology
sectorKey,technology
sectorDisp,Technology
longBusinessSummary,"Softcat plc operates as a value-added IT reseller and IT infrastructure solutions provider in the United Kingdom. The company advices, procures, designs, implements, and manages technology, such as software licensing, workplace technology, networking, security, and cloud and datacenter for businesses and public sector organizations. It also offers public cloud, collaboration, networking and connectivity, data centre and private cloud, devices, and financial solution services. In addition, the company provides Softcat intelligence services, lifecycle solutions, modern management, security, software licensing, supply chain operation, and virtual desktop and application, as well as IT service provider. Softcat plc was incorporated in 1987 and is headquartered in Marlow, the United Kingdom."
fullTimeEmployees,2509
companyOfficers,"[{'maxAge': 1, 'name': 'Mr. Graham L. Charlton', 'age': 47, 'title': 'CEO & Executive Director', 'yearBorn': 1977, 'fiscalYear': 2024, 'totalPay': 1261400, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Dr. Kathryn Isabel Mecklenburgh', 'age': 51, 'title': 'CFO & Executive Director', 'yearBorn': 1973, 'fiscalYear': 2024, 'totalPay': 821600, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Anna  Pulisciano', 'title': 'Operations Director', 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Mark  Forster', 'title': 'Chief Technology Officer', 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Keith  Monk', 'title': 'Interim Chief Information Officer', 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Debra  Coady', 'title': 'Legal Director & General Counsel', 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Rebecca  Monk', 'title': 'Chief People Officer', 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Richard Wyn Griffith', 'title': 'Chief Commercial Officer', 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Anthony  Cowen', 'title': 'Chief Revenue Officer', 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Luke  Thomas', 'title': 'Company Secretary', 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}]"
auditRisk,4
boardRisk,6
compensationRisk,1
shareHolderRightsRisk,10
overallRisk,3
governanceEpochDate,1748736000
compensationAsOfEpochDate,1735603200
executiveTeam,[]
maxAge,86400
priceHint,2
previousClose,1636.0
open,1670.0
dayLow,1630.0
dayHigh,1680.8472
regularMarketPreviousClose,1636.0
regularMarketOpen,1670.0
regularMarketDayLow,1630.0
regularMarketDayHigh,1680.8472
dividendRate,0.27
dividendYield,1.57
exDividendDate,1744243200
payoutRatio,0.42560002
fiveYearAvgDividendYield,1.5
beta,0.753
trailingPE,26.725805
forwardPE,0.30885366
volume,358295
regularMarketVolume,358295
averageVolume,322181
averageVolume10days,417549
averageDailyVolume10Day,417549
bid,1658.0
ask,1660.0
bidSize,0
askSize,0
marketCap,3303925248
fiftyTwoWeekLow,1427.0
fiftyTwoWeekHigh,1960.0
priceToSalesTrailing12Months,3.1736012
fiftyDayAverage,1774.22
twoHundredDayAverage,1624.59
trailingAnnualDividendRate,0.27
trailingAnnualDividendYield,0.00016503668
currency,GBp
tradeable,False
enterpriseValue,3314817024
profitMargins,0.12044
floatShares,132100520
sharesOutstanding,199392000
heldPercentInsiders,0.38021
heldPercentInstitutions,0.41877
impliedSharesOutstanding,212168992
bookValue,1.407
priceToBook,1177.6831
lastFiscalYearEnd,1722384000
nextFiscalYearEnd,1753920000
mostRecentQuarter,1738281600
earningsQuarterlyGrowth,0.124
netIncomeToCommon,125384000
trailingEps,0.62
forwardEps,53.65
enterpriseToRevenue,3.184
enterpriseToEbitda,20.245
52WeekChange,0.012217522
SandP52WeekChange,0.12677538
lastDividendValue,0.089
lastDividendDate,1744243200
quoteType,EQUITY
currentPrice,1657.0
targetHighPrice,2135.0
targetLowPrice,1385.0
targetMeanPrice,1779.615
targetMedianPrice,1800.0
recommendationMean,2.53846
recommendationKey,hold
numberOfAnalystOpinions,13
totalCash,141044992
totalCashPerShare,0.707
ebitda,163736992
totalDebt,28335000
quickRatio,1.404
currentRatio,1.511
totalRevenue,1041065024
debtToEquity,10.087
revenuePerShare,5.216
returnOnAssets,0.13616
returnOnEquity,0.47627997
grossProfits,441444000
freeCashflow,92385000
operatingCashflow,129739000
earningsGrowth,0.122
revenueGrowth,0.168
grossMargins,0.42403
ebitdaMargins,0.15728
operatingMargins,0.13501
financialCurrency,GBP
symbol,SCT.L
language,en-US
region,US
typeDisp,Equity
quoteSourceName,Delayed Quote
triggerable,False
customPriceAlertConfidence,LOW
shortName,SOFTCAT PLC
marketState,CLOSED
corporateActions,[]
regularMarketTime,1751643311
exchange,LSE
messageBoardId,finmb_6495276
exchangeTimezoneName,Europe/London
exchangeTimezoneShortName,BST
gmtOffSetMilliseconds,3600000
market,gb_market
esgPopulated,False
regularMarketChangePercent,1.2836186
regularMarketPrice,1657.0
hasPrePostMarketData,False
fiftyDayAverageChange,-117.21997
fiftyDayAverageChangePercent,-0.066068456
twoHundredDayAverageChange,32.410034
twoHundredDayAverageChangePercent,0.01994967
sourceInterval,15
exchangeDataDelayedBy,15
averageAnalystRating,2.5 - Hold
cryptoTradeable,False
firstTradeDateMilliseconds,1447401600000
regularMarketChange,21.0
regularMarketDayRange,1630.0 - 1680.8472
fullExchangeName,LSE
averageDailyVolume3Month,322181
fiftyTwoWeekLowChange,230.0
fiftyTwoWeekLowChangePercent,0.16117729
fiftyTwoWeekRange,1427.0 - 1960.0
fiftyTwoWeekHighChange,-303.0
fiftyTwoWeekHighChangePercent,-0.15459184
fiftyTwoWeekChangePercent,1.2217522
earningsTimestampStart,1742367607
earningsTimestampEnd,1742367607
earningsCallTimestampStart,1742376600
earningsCallTimestampEnd,1742376600
isEarningsDateEstimate,False
epsTrailingTwelveMonths,0.62
epsForward,53.65
epsCurrentYear,0.66956
priceEpsCurrentYear,2474.7595
longName,Softcat plc
trailingPegRatio,
