,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,5604193.0,4179843.0,4652268.0,4767106.0,
Ordinary Shares Number,98842021.0,101580350.0,104490821.0,110832894.0,
Share Issued,104446214.0,105760193.0,109143089.0,115600000.0,
Net Debt,549000000.0,,,,
Total Debt,731400000.0,62700000.0,65200000.0,65900000.0,
Tangible Book Value,-128200000.0,583300000.0,646700000.0,460800000.0,
Invested Capital,2035300000.0,1315900000.0,1437000000.0,1261300000.0,
Working Capital,326600000.0,375900000.0,447500000.0,294300000.0,
Net Tangible Assets,-128200000.0,583300000.0,646700000.0,460800000.0,
Capital Lease Obligations,76700000.0,62700000.0,65100000.0,65900000.0,
Common Stock Equity,1380600000.0,1315900000.0,1436900000.0,1261300000.0,
Total Capitalization,2022000000.0,1315900000.0,1436900000.0,1261300000.0,
Total Equity Gross Minority Interest,1380600000.0,1315900000.0,1436900000.0,1261300000.0,
Minority Interest,0.0,0.0,,,
Stockholders Equity,1380600000.0,1315900000.0,1436900000.0,1261300000.0,
Retained Earnings,1138400000.0,1030000000.0,1113000000.0,957600000.0,
Additional Paid In Capital,232700000.0,232600000.0,232400000.0,232100000.0,
Capital Stock,5200000.0,5300000.0,5500000.0,5800000.0,
Common Stock,5200000.0,5300000.0,5500000.0,5800000.0,
Total Liabilities Net Minority Interest,1178700000.0,501800000.0,511100000.0,506800000.0,
Total Non Current Liabilities Net Minority Interest,783300000.0,79000000.0,93100000.0,113100000.0,
Other Non Current Liabilities,13700000.0,,,400000.0,400000.0
Derivative Product Liabilities,800000.0,100000.0,200000.0,0.0,
Non Current Pension And Other Postretirement Benefit Plans,11100000.0,11600000.0,8900000.0,22300000.0,
Non Current Accrued Expenses,10800000.0,11100000.0,9900000.0,10000000.0,
Tradeand Other Payables Non Current,,15100000.0,13800000.0,10000000.0,14400000.0
Non Current Deferred Revenue,3100000.0,4000000.0,3900000.0,3400000.0,
Non Current Deferred Taxes Liabilities,44600000.0,1300000.0,15600000.0,23000000.0,
Long Term Debt And Capital Lease Obligation,696000000.0,48300000.0,50200000.0,49300000.0,
Long Term Capital Lease Obligation,54600000.0,48300000.0,50200000.0,49300000.0,
Long Term Debt,641400000.0,0.0,,,104500000.0
Long Term Provisions,3200000.0,2600000.0,4400000.0,4700000.0,
Current Liabilities,395400000.0,422800000.0,418000000.0,393700000.0,
Other Current Liabilities,15800000.0,10600000.0,3300000.0,1100000.0,
Current Debt And Capital Lease Obligation,35400000.0,14400000.0,15000000.0,16600000.0,
Current Capital Lease Obligation,22100000.0,14400000.0,14900000.0,16600000.0,
Current Debt,13300000.0,0.0,100000.0,0.0,
Current Provisions,21900000.0,8500000.0,12800000.0,17600000.0,
Payables,82900000.0,93300000.0,123700000.0,131200000.0,
Other Payable,17800000.0,10300000.0,19700000.0,25900000.0,
Total Tax Payable,15000000.0,40200000.0,41200000.0,45600000.0,
Accounts Payable,50100000.0,42800000.0,62800000.0,59700000.0,
Total Assets,2559300000.0,1817700000.0,1948000000.0,1768100000.0,
Total Non Current Assets,1837300000.0,1019000000.0,1082500000.0,1080100000.0,
Other Non Current Assets,,,,100000.0,
Defined Pension Benefit,3800000.0,2400000.0,0.0,,
Non Current Prepaid Assets,6100000.0,3700000.0,,,
Non Current Deferred Taxes Assets,22200000.0,26600000.0,16200000.0,21200000.0,
Financial Assets,900000.0,400000.0,400000.0,0.0,
Investmentin Financial Assets,42800000.0,46000000.0,48200000.0,47300000.0,
Held To Maturity Securities,19800000.0,21700000.0,18900000.0,23000000.0,
Available For Sale Securities,23000000.0,24300000.0,29300000.0,24300000.0,
Financial Assets Designatedas Fair Value Through Profitor Loss Total,,,,,38300000.0
Long Term Equity Investment,10300000.0,10800000.0,2900000.0,0.0,
Investmentsin Associatesat Cost,10300000.0,10800000.0,2900000.0,0.0,
Goodwill And Other Intangible Assets,1508800000.0,732600000.0,790200000.0,800500000.0,
Other Intangible Assets,421300000.0,167100000.0,184100000.0,169100000.0,
Goodwill,1087500000.0,565500000.0,606100000.0,631400000.0,
Net PPE,242400000.0,194300000.0,220400000.0,211000000.0,
Accumulated Depreciation,-194800000.0,-185300000.0,-213200000.0,-203200000.0,
Gross PPE,437200000.0,379600000.0,433600000.0,414200000.0,
Other Properties,142800000.0,119300000.0,139100000.0,131100000.0,
Machinery Furniture Equipment,201100000.0,179400000.0,213500000.0,203400000.0,
Buildings And Improvements,93300000.0,80900000.0,81000000.0,79700000.0,
Properties,0.0,0.0,0.0,0.0,
Current Assets,722000000.0,798700000.0,865500000.0,688000000.0,
Hedging Assets Current,1900000.0,5800000.0,1300000.0,300000.0,
Assets Held For Sale Current,0.0,97500000.0,1700000.0,10400000.0,
Prepaid Assets,32100000.0,27600000.0,28800000.0,29100000.0,
Inventory,250200000.0,231800000.0,263300000.0,187900000.0,
Finished Goods,52300000.0,78000000.0,85200000.0,73200000.0,
Work In Process,48500000.0,43500000.0,49000000.0,38200000.0,
Raw Materials,149400000.0,110300000.0,129100000.0,76500000.0,
Other Receivables,18700000.0,18600000.0,23200000.0,27800000.0,
Taxes Receivable,27700000.0,39400000.0,35800000.0,24300000.0,
Accounts Receivable,285700000.0,239500000.0,283300000.0,240400000.0,
Allowance For Doubtful Accounts Receivable,-8000000.0,-7500000.0,-5300000.0,-6100000.0,
Gross Accounts Receivable,293700000.0,247000000.0,288600000.0,246500000.0,
Cash Cash Equivalents And Short Term Investments,105700000.0,138500000.0,228100000.0,167800000.0,
Cash And Cash Equivalents,105700000.0,138500000.0,228100000.0,167800000.0,
