,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,41500000.0,170500000.0,75100000.0,124100000.0,
Repurchase Of Capital Stock,-96700000.0,-114900000.0,-191000000.0,-201300000.0,
Repayment Of Debt,-347400000.0,-100000.0,-326800000.0,-169800000.0,
Issuance Of Debt,993700000.0,0.0,326200000.0,70000000.0,
Issuance Of Capital Stock,500000.0,600000.0,200000.0,300000.0,
Capital Expenditure,-51700000.0,-24700000.0,-44900000.0,-35300000.0,
End Cash Position,105700000.0,138800000.0,228100000.0,167800000.0,
Beginning Cash Position,138800000.0,228100000.0,167800000.0,210900000.0,
Effect Of Exchange Rate Changes,-17400000.0,-3600000.0,9900000.0,-6300000.0,
Changes In Cash,-15700000.0,-85700000.0,50400000.0,-36800000.0,
Financing Cash Flow,439100000.0,-210700000.0,-287800000.0,-398000000.0,
Net Other Financing Charges,,,,,3000000.0
Interest Paid Cff,-15300000.0,-1200000.0,-3900000.0,-5200000.0,
Cash Dividends Paid,-80500000.0,-79700000.0,-78600000.0,-79000000.0,
Common Stock Dividend Paid,-80500000.0,-79700000.0,-78600000.0,-79000000.0,
Net Common Stock Issuance,-96200000.0,-114300000.0,-190800000.0,-201000000.0,
Common Stock Payments,-96700000.0,-114900000.0,-191000000.0,-201300000.0,
Common Stock Issuance,500000.0,600000.0,200000.0,300000.0,
Net Issuance Payments Of Debt,646300000.0,-100000.0,-600000.0,-99800000.0,
Net Long Term Debt Issuance,646300000.0,-100000.0,-600000.0,-99800000.0,
Long Term Debt Payments,-347400000.0,-100000.0,-326800000.0,-169800000.0,
Long Term Debt Issuance,993700000.0,0.0,326200000.0,70000000.0,
Investing Cash Flow,-548000000.0,-70200000.0,218200000.0,201800000.0,
Net Other Investing Changes,,,,100000.0,200000.0
Interest Received Cfi,7100000.0,5400000.0,1900000.0,500000.0,
Net Investment Purchase And Sale,,,,,-15200000.0
Purchase Of Investment,,,,,-15200000.0
Net Business Purchase And Sale,-505500000.0,-54000000.0,247800000.0,236500000.0,
Sale Of Business,225700000.0,3300000.0,365400000.0,372000000.0,
Purchase Of Business,-731200000.0,-57300000.0,-117600000.0,-135500000.0,
Net PPE Purchase And Sale,-49600000.0,-21600000.0,-31500000.0,-35300000.0,
Sale Of PPE,2100000.0,3100000.0,13400000.0,0.0,
Purchase Of PPE,-51700000.0,-24700000.0,-44900000.0,-35300000.0,
Operating Cash Flow,93200000.0,195200000.0,120000000.0,159400000.0,
Taxes Refund Paid,-45300000.0,-50300000.0,-46800000.0,-32200000.0,
Change In Working Capital,-24800000.0,-20900000.0,-89700000.0,-21700000.0,
Change In Payable,-27500000.0,-33000000.0,40900000.0,50300000.0,
Change In Inventory,24000000.0,1500000.0,-75600000.0,-30300000.0,
Change In Receivables,-26700000.0,16000000.0,-47900000.0,-40200000.0,
Other Non Cash Items,600000.0,600000.0,18300000.0,-7200000.0,
Stock Based Compensation,8100000.0,13100000.0,10400000.0,7800000.0,
Deferred Tax,69500000.0,40200000.0,56800000.0,41700000.0,
Depreciation And Amortization,61000000.0,57700000.0,61100000.0,50300000.0,
Amortization Cash Flow,29300000.0,24900000.0,26300000.0,23900000.0,
Depreciation,31700000.0,32800000.0,34800000.0,26400000.0,
Gain Loss On Investment Securities,1900000.0,-2800000.0,4100000.0,,-23200000.0
Gain Loss On Sale Of PPE,-1200000.0,-500000.0,-1500000.0,100000.0,
Gain Loss On Sale Of Business,-210200000.0,12600000.0,-294200000.0,-226500000.0,
Net Income From Continuing Operations,233200000.0,145400000.0,401500000.0,346900000.0,
