,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,47825735.051206,-2122629.310345,-4452800.0,48697500.0,
Tax Rate For Calcs,0.2296,0.216595,0.242,0.215,
Normalized EBITDA,173200000.0,257200000.0,235600000.0,203000000.0,
Total Unusual Items,208300000.0,-9800000.0,-18400000.0,226500000.0,
Total Unusual Items Excluding Goodwill,208300000.0,-9800000.0,-18400000.0,226500000.0,
Net Income From Continuing Operation Net Minority Interest,233200000.0,145400000.0,114800000.0,335600000.0,
Reconciled Depreciation,61000000.0,57700000.0,61100000.0,50300000.0,
Reconciled Cost Of Revenue,582800000.0,611100000.0,576600000.0,487500000.0,
EBITDA,381500000.0,247400000.0,217200000.0,429500000.0,
EBIT,320500000.0,189700000.0,156100000.0,379200000.0,
Net Interest Income,-2800000.0,6900000.0,-2700000.0,7400000.0,
Interest Expense,17800000.0,4100000.0,4600000.0,5400000.0,
Interest Income,7100000.0,5300000.0,1900000.0,5600000.0,
Normalized Income,72725735.051206,153077370.689655,128747200.0,157797500.0,
Net Income From Continuing And Discontinued Operation,233200000.0,145400000.0,401500000.0,346900000.0,
Total Expenses,1201100000.0,1260600000.0,1154800000.0,1023100000.0,
Rent Expense Supplemental,,100000.0,100000.0,0.0,300000.0
Total Operating Income As Reported,97600000.0,188600000.0,172600000.0,139900000.0,
Diluted Average Shares,101100000.0,104300000.0,108300000.0,114100000.0,
Basic Average Shares,100200000.0,103600000.0,107600000.0,113700000.0,
Diluted EPS,2.311,1.394,3.707,3.04,
Basic EPS,2.331,1.403,3.731,3.051,
Diluted NI Availto Com Stockholders,233200000.0,145400000.0,401500000.0,346900000.0,
Net Income Common Stockholders,233200000.0,145400000.0,401500000.0,346900000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,233200000.0,145400000.0,401500000.0,346900000.0,
Minority Interests,-400000.0,0.0,,,
Net Income Including Noncontrolling Interests,233200000.0,145400000.0,401500000.0,346900000.0,
Net Income Discontinuous Operations,,0.0,286700000.0,11300000.0,
Net Income Continuous Operations,233200000.0,145400000.0,114800000.0,335600000.0,
Tax Provision,69500000.0,40200000.0,36700000.0,38200000.0,
Pretax Income,302700000.0,185600000.0,151500000.0,373800000.0,
Special Income Charges,210200000.0,-12600000.0,-14300000.0,226500000.0,
Other Special Charges,-210200000.0,12600000.0,14300000.0,-226500000.0,
Write Off,,,,,0.0
Net Non Operating Interest Income Expense,-2800000.0,6900000.0,-2700000.0,7400000.0,
Total Other Finance Cost,-7900000.0,-5700000.0,,-7200000.0,300000.0
Interest Expense Non Operating,17800000.0,4100000.0,4600000.0,5400000.0,
Interest Income Non Operating,7100000.0,5300000.0,1900000.0,5600000.0,
Operating Income,97600000.0,188600000.0,172600000.0,139900000.0,
Operating Expense,618300000.0,649500000.0,578200000.0,535600000.0,
Other Operating Expenses,112300000.0,126900000.0,114100000.0,92600000.0,
Selling General And Administration,506000000.0,522600000.0,464100000.0,443000000.0,
Selling And Marketing Expense,215700000.0,249600000.0,233000000.0,222200000.0,
General And Administrative Expense,290300000.0,273000000.0,231100000.0,220800000.0,
Gross Profit,715900000.0,838100000.0,750800000.0,675500000.0,
Cost Of Revenue,582800000.0,611100000.0,576600000.0,487500000.0,
Total Revenue,1298700000.0,1449200000.0,1327400000.0,1163000000.0,
Operating Revenue,1298700000.0,1449200000.0,1327400000.0,1163000000.0,
