,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Treasury Shares Number,1385343.0,482276.0,482276.0,482276.0
Ordinary Shares Number,78631186.0,79455145.0,79025856.0,78754292.0
Share Issued,80016529.0,79937421.0,79508132.0,79236568.0
Net Debt,118680000.0,,69568000.0,64320000.0
Total Debt,180330000.0,90380000.0,99981000.0,96472000.0
Tangible Book Value,93104000.0,84475000.0,50324000.0,46875000.0
Invested Capital,409140000.0,320429000.0,305699000.0,302201000.0
Working Capital,183826000.0,94140000.0,83092000.0,72010000.0
Net Tangible Assets,93104000.0,84475000.0,50324000.0,46875000.0
Capital Lease Obligations,3821000.0,659000.0,766000.0,7096000.0
Common Stock Equity,232631000.0,230708000.0,206484000.0,212825000.0
Total Capitalization,409140000.0,320429000.0,305699000.0,302201000.0
Total Equity Gross Minority Interest,232631000.0,230708000.0,205573000.0,212378000.0
Minority Interest,,0.0,-911000.0,-447000.0
Stockholders Equity,232631000.0,230708000.0,206484000.0,212825000.0
Other Equity Interest,-1150000.0,-1150000.0,-1150000.0,-1150000.0
Treasury Stock,15688000.0,5502000.0,5502000.0,5502000.0
Retained Earnings,93802000.0,82598000.0,61935000.0,70306000.0
Additional Paid In Capital,151660000.0,150759000.0,147219000.0,145201000.0
Capital Stock,4007000.0,4003000.0,3982000.0,3970000.0
Common Stock,4007000.0,4003000.0,3982000.0,3970000.0
Total Liabilities Net Minority Interest,418760000.0,564031000.0,260212000.0,250286000.0
Total Non Current Liabilities Net Minority Interest,181436000.0,91281000.0,101059000.0,97617000.0
Non Current Deferred Taxes Liabilities,1106000.0,901000.0,1078000.0,1145000.0
Long Term Debt And Capital Lease Obligation,180330000.0,90380000.0,99981000.0,96472000.0
Long Term Capital Lease Obligation,3821000.0,659000.0,766000.0,7096000.0
Long Term Debt,176509000.0,89721000.0,99215000.0,89376000.0
Current Liabilities,237324000.0,472750000.0,159153000.0,152669000.0
Current Provisions,11178000.0,,,
Payables,56016000.0,55396000.0,38109000.0,30374000.0
Total Tax Payable,11449000.0,16566000.0,9465000.0,7430000.0
Accounts Payable,44567000.0,38830000.0,28644000.0,22944000.0
Total Assets,651391000.0,794739000.0,465785000.0,462664000.0
Total Non Current Assets,230241000.0,227849000.0,223540000.0,237985000.0
Investment Properties,8049000.0,8271000.0,8345000.0,8575000.0
Goodwill And Other Intangible Assets,139527000.0,146233000.0,156160000.0,165950000.0
Other Intangible Assets,135785000.0,142491000.0,152418000.0,160626000.0
Goodwill,3742000.0,3742000.0,3742000.0,5324000.0
Net PPE,26773000.0,25816000.0,26180000.0,34865000.0
Accumulated Depreciation,-28836000.0,-25745000.0,-22217000.0,-23407000.0
Gross PPE,55609000.0,51561000.0,48397000.0,58272000.0
Machinery Furniture Equipment,23520000.0,23251000.0,19898000.0,25652000.0
Buildings And Improvements,631000.0,266000.0,266000.0,1420000.0
Land And Improvements,31458000.0,28044000.0,28233000.0,31200000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,421150000.0,566890000.0,242245000.0,224679000.0
Other Current Assets,,,1000.0,
Assets Held For Sale Current,,0.0,3838000.0,0.0
Current Deferred Assets,23411000.0,20912000.0,15151000.0,15702000.0
Prepaid Assets,9958000.0,16954000.0,4077000.0,4809000.0
Inventory,3749000.0,5698000.0,4152000.0,6325000.0
Other Receivables,238250000.0,275071000.0,152921000.0,144103000.0
Taxes Receivable,101000.0,3083000.0,0.0,726000.0
Accounts Receivable,86606000.0,50241000.0,31102000.0,26826000.0
Allowance For Doubtful Accounts Receivable,-43849000.0,-27631000.0,-17839000.0,-16520000.0
Gross Accounts Receivable,130455000.0,77872000.0,48941000.0,43346000.0
Cash Cash Equivalents And Short Term Investments,57829000.0,193804000.0,29647000.0,25056000.0
Cash And Cash Equivalents,57829000.0,193804000.0,29647000.0,25056000.0
Cash Financial,57829000.0,193804000.0,29647000.0,25056000.0
