,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Free Cash Flow,-144983000.0,225201000.0,41352000.0,33318000.0
Repurchase Of Capital Stock,-10186000.0,0.0,-2000.0,0.0
Repayment Of Debt,-95000000.0,-65000000.0,-55000000.0,-35000000.0
Issuance Of Debt,183550000.0,55000000.0,65000000.0,30000000.0
Issuance Of Capital Stock,905000.0,3561000.0,2032000.0,1206000.0
Capital Expenditure,-12496000.0,-11015000.0,-9943000.0,-10039000.0
End Cash Position,57829000.0,193804000.0,30359000.0,25056000.0
Beginning Cash Position,193804000.0,30359000.0,25056000.0,43611000.0
Changes In Cash,-135975000.0,163445000.0,5303000.0,-18555000.0
Financing Cash Flow,4663000.0,-62098000.0,-37752000.0,-52071000.0
Net Other Financing Charges,,,-2000.0,
Interest Paid Cff,-7221000.0,-4951000.0,-2868000.0,-2248000.0
Cash Dividends Paid,-64982000.0,-50601000.0,-44787000.0,-44708000.0
Common Stock Dividend Paid,-64982000.0,-50601000.0,-44787000.0,-44708000.0
Net Common Stock Issuance,-9281000.0,3561000.0,2032000.0,1206000.0
Common Stock Payments,-10186000.0,0.0,-2000.0,0.0
Common Stock Issuance,905000.0,3561000.0,2032000.0,1206000.0
Net Issuance Payments Of Debt,88550000.0,-10000000.0,10000000.0,-5000000.0
Net Long Term Debt Issuance,88550000.0,-10000000.0,10000000.0,-5000000.0
Long Term Debt Payments,-95000000.0,-65000000.0,-55000000.0,-35000000.0
Long Term Debt Issuance,183550000.0,55000000.0,65000000.0,30000000.0
Investing Cash Flow,-8151000.0,-10673000.0,-8240000.0,-9841000.0
Interest Received Cfi,3535000.0,847000.0,136000.0,98000.0
Dividends Received Cfi,0.0,0.0,0.0,0.0
Net Business Purchase And Sale,681000.0,-596000.0,0.0,
Sale Of Business,681000.0,0.0,,
Purchase Of Business,0.0,-596000.0,0.0,
Net Intangibles Purchase And Sale,-11614000.0,-7480000.0,-7747000.0,-7457000.0
Purchase Of Intangibles,-11614000.0,-7480000.0,-7747000.0,-7457000.0
Net PPE Purchase And Sale,-753000.0,-3444000.0,-629000.0,-2482000.0
Sale Of PPE,129000.0,91000.0,1567000.0,100000.0
Purchase Of PPE,-882000.0,-3535000.0,-2196000.0,-2582000.0
Operating Cash Flow,-132487000.0,236216000.0,51295000.0,43357000.0
Taxes Refund Paid,-26248000.0,-20605000.0,-11528000.0,-10945000.0
Change In Working Capital,-239750000.0,146282000.0,-10433000.0,-12453000.0
Change In Payable,-237460000.0,323974000.0,6144000.0,-4046000.0
Change In Inventory,1949000.0,-1546000.0,2173000.0,-1694000.0
Change In Receivables,-4239000.0,-176146000.0,-18750000.0,-6713000.0
Other Non Cash Items,6162000.0,4541000.0,3009000.0,2630000.0
Stock Based Compensation,5160000.0,2849000.0,960000.0,1377000.0
Depreciation And Amortization,21841000.0,21375000.0,20344000.0,19281000.0
Amortization Cash Flow,18280000.0,17407000.0,15786000.0,14550000.0
Depreciation,3561000.0,3968000.0,4558000.0,4731000.0
Gain Loss On Sale Of PPE,-129000.0,-85000.0,-940000.0,-47000.0
Gain Loss On Sale Of Business,0.0,-3595000.0,1139000.0,0.0
Net Income From Continuing Operations,100477000.0,85454000.0,47208000.0,43514000.0
