,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,-8998616.0,-5066160.0,-3688419.0,-2825676.0
Tax Rate For Calcs,0.293,0.202,0.259,0.252
Normalized EBITDA,162285000.0,136958000.0,82682000.0,75898000.0
Total Unusual Items,-30712000.0,-25080000.0,-12705000.0,-11213000.0
Total Unusual Items Excluding Goodwill,-30712000.0,-25080000.0,-14241000.0,-11213000.0
Net Income From Continuing Operation Net Minority Interest,71037000.0,68426000.0,35467000.0,32577000.0
Reconciled Depreciation,21841000.0,21375000.0,20344000.0,19281000.0
Reconciled Cost Of Revenue,1683921000.0,2168964000.0,778958000.0,688104000.0
EBITDA,131573000.0,111878000.0,69977000.0,64685000.0
EBIT,109732000.0,90503000.0,49633000.0,45404000.0
Net Interest Income,-5773000.0,-4035000.0,-2573000.0,-2274000.0
Interest Expense,9255000.0,5049000.0,2425000.0,1890000.0
Interest Income,3482000.0,1016000.0,136000.0,84000.0
Normalized Income,92750384.0,88439840.0,47555581.0,40964324.0
Net Income From Continuing And Discontinued Operation,71037000.0,68426000.0,35467000.0,32577000.0
Total Expenses,1902169000.0,2360591000.0,903411000.0,804203000.0
Total Operating Income As Reported,106250000.0,85894000.0,50920000.0,45788000.0
Diluted Average Shares,,80269000.0,78887000.0,78706000.0
Basic Average Shares,,79049000.0,78601000.0,78433000.0
Diluted EPS,,0.852,0.45,0.414
Basic EPS,,0.866,0.451,0.415
Diluted NI Availto Com Stockholders,71037000.0,68426000.0,35467000.0,32577000.0
Net Income Common Stockholders,71037000.0,68426000.0,35467000.0,32577000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,71037000.0,68426000.0,35467000.0,32577000.0
Minority Interests,0.0,265000.0,464000.0,18000.0
Net Income Including Noncontrolling Interests,71037000.0,68161000.0,35003000.0,32559000.0
Net Income Continuous Operations,71037000.0,68161000.0,35003000.0,32559000.0
Tax Provision,29440000.0,17293000.0,12205000.0,10955000.0
Pretax Income,100477000.0,85454000.0,47208000.0,43514000.0
Special Income Charges,-30712000.0,-25080000.0,-14241000.0,-11213000.0
Other Special Charges,,-3595000.0,1139000.0,
Write Off,30712000.0,28675000.0,11566000.0,11213000.0
Net Non Operating Interest Income Expense,-5773000.0,-4035000.0,-2573000.0,-2274000.0
Total Other Finance Cost,,2000.0,284000.0,468000.0
Interest Expense Non Operating,9255000.0,5049000.0,2425000.0,1890000.0
Interest Income Non Operating,3482000.0,1016000.0,136000.0,84000.0
Operating Income,136962000.0,114569000.0,64022000.0,57001000.0
Operating Expense,218248000.0,191627000.0,124453000.0,116099000.0
Depreciation And Amortization In Income Statement,11228000.0,11228000.0,11228000.0,11228000.0
Amortization,11228000.0,11228000.0,11228000.0,11228000.0
Depreciation Income Statement,0.0,0.0,0.0,0.0
Selling General And Administration,203237000.0,178706000.0,114109000.0,104669000.0
Selling And Marketing Expense,51294000.0,49692000.0,29686000.0,27849000.0
General And Administrative Expense,151943000.0,129014000.0,84423000.0,76820000.0
Gross Profit,355210000.0,306196000.0,188475000.0,173100000.0
Cost Of Revenue,1683921000.0,2168964000.0,778958000.0,688104000.0
Total Revenue,2039131000.0,2475160000.0,967433000.0,861204000.0
Operating Revenue,2039131000.0,2475160000.0,967433000.0,861204000.0
