,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Free Cash Flow,15500000.0,-19000000.0,18700000.0,26900000.0,
Repurchase Of Capital Stock,,,0.0,-300000.0,0.0
Repayment Of Debt,-355500000.0,-211000000.0,-150000000.0,-173500000.0,
Issuance Of Debt,341500000.0,156000000.0,286000000.0,25000000.0,
Issuance Of Capital Stock,,,,0.0,100000.0
Capital Expenditure,-61100000.0,-72900000.0,-60100000.0,-31000000.0,
End Cash Position,32700000.0,11600000.0,18500000.0,49000000.0,
Beginning Cash Position,11600000.0,18500000.0,49000000.0,191000000.0,
Changes In Cash,21100000.0,-6900000.0,-30500000.0,-142000000.0,
Financing Cash Flow,-72000000.0,-106700000.0,90900000.0,-209100000.0,
Net Other Financing Charges,-400000.0,-200000.0,,-15700000.0,
Interest Paid Cff,,,,-17700000.0,-2000000.0
Cash Dividends Paid,-56300000.0,-50700000.0,-43500000.0,-43300000.0,
Common Stock Dividend Paid,-56300000.0,-50700000.0,-43500000.0,-43300000.0,
Net Common Stock Issuance,,,0.0,-300000.0,100000.0
Common Stock Payments,,,0.0,-300000.0,0.0
Common Stock Issuance,,,,0.0,100000.0
Net Issuance Payments Of Debt,-14000000.0,-55000000.0,136000000.0,-148500000.0,
Net Long Term Debt Issuance,-14000000.0,-55000000.0,136000000.0,-148500000.0,
Long Term Debt Payments,-355500000.0,-211000000.0,-150000000.0,-173500000.0,
Long Term Debt Issuance,341500000.0,156000000.0,286000000.0,25000000.0,
Investing Cash Flow,16500000.0,45900000.0,-200200000.0,9200000.0,
Net Other Investing Changes,41100000.0,96500000.0,37200000.0,4500000.0,
Net Investment Purchase And Sale,,,0.0,6800000.0,0.0
Sale Of Investment,,,0.0,6800000.0,0.0
Net Investment Properties Purchase And Sale,36500000.0,22300000.0,-177300000.0,28900000.0,
Sale Of Investment Properties,36500000.0,22300000.0,7100000.0,117300000.0,
Purchase Of Investment Properties,,0.0,-184400000.0,-88400000.0,0.0
Net Business Purchase And Sale,,,41400000.0,0.0,
Sale Of Business,,,41400000.0,0.0,
Net Intangibles Purchase And Sale,-400000.0,-800000.0,-800000.0,-500000.0,
Purchase Of Intangibles,-400000.0,-800000.0,-800000.0,-500000.0,
Net PPE Purchase And Sale,-1800000.0,-400000.0,-3100000.0,-700000.0,
Purchase Of PPE,-1800000.0,-400000.0,-3100000.0,-700000.0,
Capital Expenditure Reported,-58900000.0,-71700000.0,-56200000.0,-29800000.0,
Operating Cash Flow,76600000.0,53900000.0,78800000.0,57900000.0,
Taxes Refund Paid,,,,0.0,-600000.0
Interest Paid Cfo,-28500000.0,-33800000.0,-31700000.0,-22600000.0,
Change In Working Capital,3600000.0,-19100000.0,11200000.0,8800000.0,
Change In Payable,-2100000.0,-16200000.0,17600000.0,7400000.0,
Change In Receivables,5700000.0,-2900000.0,-6400000.0,1400000.0,
Other Non Cash Items,33300000.0,36400000.0,39300000.0,19900000.0,
Stock Based Compensation,2700000.0,3300000.0,1400000.0,1600000.0,
Depreciation And Amortization,2300000.0,2300000.0,2300000.0,2700000.0,
Amortization Cash Flow,900000.0,600000.0,700000.0,900000.0,
Depreciation,1400000.0,1700000.0,1600000.0,1800000.0,
Gain Loss On Investment Securities,57400000.0,253500000.0,88700000.0,-76500000.0,
Net Income From Continuing Operations,5400000.0,-192800000.0,-37500000.0,124000000.0,
