,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,0.0,-1025000.0,-45600.0,483.870968,
Tax Rate For Calcs,0.0,0.25,0.008,0.000806,
Normalized EBITDA,38900000.0,-153000000.0,3100000.0,145500000.0,
Total Unusual Items,-400000.0,-4100000.0,-5700000.0,600000.0,
Total Unusual Items Excluding Goodwill,-400000.0,-4100000.0,-5700000.0,600000.0,
Net Income From Continuing Operation Net Minority Interest,5400000.0,-192500000.0,-37800000.0,123900000.0,
Reconciled Depreciation,2300000.0,2300000.0,2300000.0,2700000.0,
Reconciled Cost Of Revenue,63100000.0,58100000.0,57600000.0,46200000.0,
EBITDA,38500000.0,-157100000.0,-2600000.0,146100000.0,
EBIT,36200000.0,-159400000.0,-4900000.0,143400000.0,
Net Interest Income,-32000000.0,-34900000.0,-34400000.0,-20500000.0,
Interest Expense,30800000.0,33400000.0,32600000.0,19400000.0,
Interest Income,600000.0,200000.0,200000.0,0.0,
Normalized Income,5800000.0,-189425000.0,-32145600.0,123300483.870968,
Net Income From Continuing And Discontinued Operation,5400000.0,-192500000.0,-37800000.0,123900000.0,
Total Expenses,86400000.0,83400000.0,79100000.0,65500000.0,
Rent Expense Supplemental,6700000.0,4900000.0,,,
Total Operating Income As Reported,37400000.0,-157900000.0,-2500000.0,144500000.0,
Diluted Average Shares,193768135.0,193214850.0,191599673.0,181982196.0,
Basic Average Shares,191997294.0,191676994.0,190470363.0,180983916.0,
Diluted EPS,0.028,-1.004,-0.199,0.681,
Basic EPS,0.028,-1.004,-0.199,0.685,
Diluted NI Availto Com Stockholders,5400000.0,-192500000.0,-37800000.0,123900000.0,
Net Income Common Stockholders,5400000.0,-192500000.0,-37800000.0,123900000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,5400000.0,-192500000.0,-37800000.0,123900000.0,
Net Income Including Noncontrolling Interests,5400000.0,-192500000.0,-37800000.0,123900000.0,
Net Income Continuous Operations,5400000.0,-193100000.0,-37200000.0,123900000.0,
Tax Provision,0.0,300000.0,-300000.0,100000.0,
Pretax Income,5400000.0,-192800000.0,-37500000.0,124000000.0,
Other Non Operating Income Expenses,-3600000.0,-1200000.0,-3800000.0,,-200000.0
Special Income Charges,-400000.0,-4100000.0,-5700000.0,600000.0,
Other Special Charges,,,600000.0,-600000.0,16400000.0
Impairment Of Capital Assets,400000.0,4100000.0,5100000.0,0.0,
Restructuring And Mergern Acquisition,,0.0,100000.0,0.0,200000.0
Net Non Operating Interest Income Expense,-32000000.0,-34900000.0,-34400000.0,-20500000.0,
Total Other Finance Cost,1800000.0,1700000.0,2000000.0,1100000.0,
Interest Expense Non Operating,30800000.0,33400000.0,32600000.0,19400000.0,
Interest Income Non Operating,600000.0,200000.0,200000.0,0.0,
Operating Income,98800000.0,100900000.0,95100000.0,67400000.0,
Operating Expense,23300000.0,25300000.0,21500000.0,19300000.0,
Selling General And Administration,6900000.0,7200000.0,6700000.0,7000000.0,
General And Administrative Expense,6900000.0,7200000.0,6700000.0,7000000.0,
Gross Profit,122100000.0,126200000.0,116600000.0,86700000.0,
Cost Of Revenue,63100000.0,58100000.0,57600000.0,46200000.0,
Total Revenue,185200000.0,184300000.0,174200000.0,132900000.0,
Operating Revenue,185200000.0,184300000.0,174200000.0,132900000.0,
