Metric,Value
address1,"Canterbury Court, Kennington Park"
address2,"Business Centre, 1-3 Brixton Road"
city,London
zip,SW9 6DE
country,United Kingdom
phone,44 20 7138 3300
fax,44 20 7247 0157
website,https://www.workspace.co.uk
industry,REIT - Office
industryKey,reit-office
industryDisp,REIT - Office
sector,Real Estate
sectorKey,real-estate
sectorDisp,Real Estate
longBusinessSummary,"Workspace is London's leading owner and operator of flexible workspace, currently managing 4.3 million sq. ft. of sustainable space at 67 locations in London and the South East. We are home to some 4,000 of London's fastest growing and established brands from a diverse range of sectors. Our purpose, to give businesses the freedom to grow, is based on the belief that in the right space, teams can achieve more. That in environments they tailor themselves, free from constraint and compromise, teams are best able to collaborate, build their culture and realise their potential. We have a unique combination of a highly effective and scalable operating platform, a portfolio of distinctive properties, and an ownership model that allows us to offer true flexibility. We provide customers with blank canvas space to create a home for their business, alongside leases that give them the freedom to easily scale up and down within our well-connected, extensive portfolio. We are inherently sustainable  we invest across the capital, breathing new life into old buildings and creating hubs of economic activity that help flatten London's working map. We work closely with our local communities to ensure we make a positive and lasting environmental and social impact, creating value over the long term. Workspace was established in 1987, has been listed on the London Stock Exchange since 1993, is a FTSE 250 listed Real Estate Investment Trust (REIT) and a member of the European Public Real Estate Association (EPRA). Workspace is a registered trademark of Workspace Group PLC, London, UK."
fullTimeEmployees,322
