,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,33965520.0,72518525.0,147900908.0,72544916.0,
Ordinary Shares Number,1627666607.0,1751952368.0,1975184223.0,2047989265.0,
Share Issued,1661632127.0,1824272257.0,2121791060.0,2119769461.0,
Net Debt,1311000000.0,638000000.0,3062000000.0,5120000000.0,
Total Debt,4995000000.0,4917000000.0,6674000000.0,11981000000.0,
Tangible Book Value,8612000000.0,8922000000.0,10338000000.0,12796000000.0,
Invested Capital,13966000000.0,14138000000.0,17222000000.0,25362000000.0,
Net Tangible Assets,8612000000.0,8922000000.0,10338000000.0,12796000000.0,
Capital Lease Obligations,216000000.0,205000000.0,210000000.0,252000000.0,
Common Stock Equity,9187000000.0,9426000000.0,10758000000.0,13381000000.0,
Total Capitalization,13929000000.0,14106000000.0,17222000000.0,25362000000.0,
Total Equity Gross Minority Interest,9313000000.0,9554000000.0,10935000000.0,13577000000.0,
Minority Interest,126000000.0,129000000.0,176000000.0,196000000.0,
Stockholders Equity,9187000000.0,9426000000.0,10758000000.0,13381000000.0,
Other Equity Interest,1971000000.0,1952000000.0,1943000000.0,2363000000.0,
Gains Losses Not Affecting Retained Earnings,-3827000000.0,-4397000000.0,-5459000000.0,4567000000.0,
Other Equity Adjustments,951000000.0,379000000.0,669000000.0,1425000000.0,
Fixed Assets Revaluation Reserve,-3706000000.0,-3770000000.0,-4563000000.0,32000000.0,
Minimum Pension Liabilities,-1072000000.0,-1006000000.0,-1565000000.0,-2199000000.0,
Unrealized Gain Loss,,,-5516000000.0,5309000000.0,6248000000.0
Treasury Stock,398000000.0,346000000.0,668000000.0,273000000.0,
Retained Earnings,4347000000.0,5099000000.0,7770000000.0,12166000000.0,
Additional Paid In Capital,6853000000.0,6853000000.0,6853000000.0,7033000000.0,
Capital Stock,241000000.0,265000000.0,319000000.0,11018000000.0,
Common Stock,241000000.0,265000000.0,319000000.0,11018000000.0,
Total Liabilities Net Minority Interest,318077000000.0,292027000000.0,369776000000.0,445983000000.0,
Derivative Product Liabilities,2435000000.0,2479000000.0,5175000000.0,7138000000.0,
Employee Benefits,576000000.0,669000000.0,496000000.0,3944000000.0,
Non Current Deferred Liabilities,70000000.0,63000000.0,37000000.0,15000000.0,
Non Current Deferred Revenue,6000000.0,6000000.0,7000000.0,7000000.0,
Non Current Deferred Taxes Liabilities,64000000.0,57000000.0,30000000.0,8000000.0,
Long Term Debt And Capital Lease Obligation,4958000000.0,4885000000.0,6674000000.0,11981000000.0,
Long Term Capital Lease Obligation,216000000.0,205000000.0,210000000.0,252000000.0,
Long Term Debt,4742000000.0,4680000000.0,6464000000.0,11981000000.0,
Long Term Provisions,98000000.0,83000000.0,100000000.0,193000000.0,
Current Debt And Capital Lease Obligation,37000000.0,32000000.0,,0.0,72000000.0
Current Debt,37000000.0,32000000.0,,0.0,72000000.0
Other Current Borrowings,37000000.0,32000000.0,,,
Commercial Paper,,,,0.0,72000000.0
Payables And Accrued Expenses,3825000000.0,4101000000.0,4397000000.0,537000000.0,
Current Accrued Expenses,332000000.0,328000000.0,372000000.0,537000000.0,
Interest Payable,35000000.0,47000000.0,129000000.0,251000000.0,
Payables,3493000000.0,3773000000.0,4025000000.0,5785000000.0,
Other Payable,2112000000.0,1599000000.0,2828000000.0,2556000000.0,
Total Tax Payable,61000000.0,60000000.0,59000000.0,149000000.0,
Income Tax Payable,61000000.0,60000000.0,59000000.0,149000000.0,
Accounts Payable,1320000000.0,2114000000.0,1138000000.0,3080000000.0,
Total Assets,327390000000.0,301581000000.0,380711000000.0,459560000000.0,
Defined Pension Benefit,110000000.0,103000000.0,87000000.0,119000000.0,
Investments And Advances,297827000000.0,270229000000.0,255854000000.0,3004000000.0,
Long Term Equity Investment,4625000000.0,4336000000.0,1595000000.0,3004000000.0,
Investments In Other Ventures Under Equity Method,4625000000.0,4336000000.0,1595000000.0,3004000000.0,
Goodwill And Other Intangible Assets,575000000.0,504000000.0,420000000.0,585000000.0,
Other Intangible Assets,230000000.0,213000000.0,104000000.0,941000000.0,
Goodwill,345000000.0,291000000.0,316000000.0,392000000.0,
Net PPE,400000000.0,433000000.0,158000000.0,199000000.0,
Receivables,3830000000.0,3567000000.0,7857000000.0,5622000000.0,
Accounts Receivable,3830000000.0,3567000000.0,7857000000.0,5622000000.0,
Cash Cash Equivalents And Short Term Investments,58184000000.0,54438000000.0,57626000000.0,6861000000.0,
Other Short Term Investments,54716000000.0,50364000000.0,54224000000.0,101366000000.0,
Cash And Cash Equivalents,3468000000.0,4074000000.0,3402000000.0,6861000000.0,
