,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,696000000.0,748000000.0,2574000000.0,-1908000000.0,
Repurchase Of Capital Stock,-925000000.0,-1072000000.0,-597000000.0,-231000000.0,
Repayment Of Debt,-946000000.0,-4269000000.0,-4135000000.0,-3059000000.0,
Issuance Of Debt,700000000.0,2670000000.0,3569000000.0,3914000000.0,
Issuance Of Capital Stock,,,,0.0,0.0
Capital Expenditure,-66000000.0,-116000000.0,-98000000.0,-112000000.0,
End Cash Position,3469000000.0,4074000000.0,8486000000.0,6889000000.0,
Beginning Cash Position,4074000000.0,8486000000.0,6861000000.0,8372000000.0,
Effect Of Exchange Rate Changes,88000000.0,-38000000.0,55000000.0,67000000.0,
Changes In Cash,-693000000.0,-4373000000.0,1571000000.0,-1550000000.0,
Financing Cash Flow,-1755000000.0,-3241000000.0,-1834000000.0,300000000.0,
Cash Flow From Continuing Financing Activities,-1755000000.0,-3241000000.0,-1833000000.0,300000000.0,
Net Other Financing Charges,-63000000.0,-76000000.0,-504000000.0,-203000000.0,
Cash Dividends Paid,-521000000.0,-494000000.0,-167000000.0,-121000000.0,
Common Stock Dividend Paid,-521000000.0,-494000000.0,-167000000.0,-121000000.0,
Net Common Stock Issuance,-925000000.0,-1072000000.0,-597000000.0,-231000000.0,
Common Stock Payments,-925000000.0,-1072000000.0,-597000000.0,-231000000.0,
Common Stock Issuance,,,,0.0,0.0
Net Issuance Payments Of Debt,-246000000.0,-1599000000.0,-566000000.0,855000000.0,
Net Long Term Debt Issuance,-246000000.0,-1599000000.0,-566000000.0,855000000.0,
Long Term Debt Payments,-946000000.0,-4269000000.0,-4135000000.0,-3059000000.0,
Long Term Debt Issuance,700000000.0,2670000000.0,3569000000.0,3914000000.0,
Investing Cash Flow,300000000.0,-1996000000.0,733000000.0,-54000000.0,
Cash Flow From Continuing Investing Activities,300000000.0,-1996000000.0,734000000.0,-53000000.0,
Net Other Investing Changes,-1000000.0,,-2000000.0,-1000000.0,-1000000.0
Dividends Received Cfi,340000000.0,310000000.0,137000000.0,95000000.0,
Net Business Purchase And Sale,7000000.0,-2239000000.0,687000000.0,-38000000.0,
Sale Of Business,56000000.0,12000000.0,789000000.0,59000000.0,
Purchase Of Business,-49000000.0,-2251000000.0,-102000000.0,-97000000.0,
Net Intangibles Purchase And Sale,-15000000.0,-48000000.0,-26000000.0,-36000000.0,
Sale Of Intangibles,0.0,3000000.0,0.0,0.0,
Purchase Of Intangibles,-15000000.0,-51000000.0,-26000000.0,-36000000.0,
Net PPE Purchase And Sale,-31000000.0,-19000000.0,-63000000.0,-74000000.0,
Sale Of PPE,20000000.0,46000000.0,9000000.0,2000000.0,
Purchase Of PPE,-51000000.0,-65000000.0,-72000000.0,-76000000.0,
Operating Cash Flow,762000000.0,864000000.0,2672000000.0,-1796000000.0,
Cash Flow From Continuing Operating Activities,761000000.0,862000000.0,2669000000.0,-1797000000.0,
Taxes Refund Paid,-80000000.0,-321000000.0,-38000000.0,21000000.0,
Change In Working Capital,10821000000.0,12217000000.0,-19098000000.0,7364000000.0,
Change In Payables And Accrued Expense,-586000000.0,-442000000.0,-752000000.0,-1008000000.0,
Change In Accrued Expense,-586000000.0,-442000000.0,-752000000.0,-1008000000.0,
Other Non Cash Items,10527000000.0,10349000000.0,-38353000000.0,13446000000.0,
Asset Impairment Charge,237000000.0,116000000.0,115000000.0,5000000.0,
Depreciation And Amortization,-31000000.0,-163000000.0,169000000.0,1167000000.0,
Operating Gains Losses,-21248000000.0,-20858000000.0,60028000000.0,-26093000000.0,
Earnings Losses From Equity Investments,-583000000.0,-318000000.0,-293000000.0,-377000000.0,
Gain Loss On Investment Securities,-20665000000.0,-20540000000.0,60321000000.0,-25716000000.0,
Net Income From Continuing Operations,660000000.0,-346000000.0,-25000000.0,2400000000.0,
