,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,-1305841.924399,
Tax Rate For Calcs,0.14,0.14,0.085852,0.081615,
Total Unusual Items,,,-68000000.0,-16000000.0,-284000000.0
Total Unusual Items Excluding Goodwill,,,-68000000.0,-16000000.0,-284000000.0
Net Income From Continuing Operation Net Minority Interest,688000000.0,-162000000.0,726000000.0,1020000000.0,
Reconciled Depreciation,-31000000.0,-163000000.0,169000000.0,1167000000.0,
EBIT,666000000.0,-384000000.0,834000000.0,1410000000.0,
Net Interest Income,-6000000.0,-7000000.0,-7000000.0,-246000000.0,
Interest Expense,6000000.0,7000000.0,7000000.0,246000000.0,
Interest Income,5796000000.0,5522000000.0,5174000000.0,4863000000.0,
Normalized Income,688000000.0,-162000000.0,726000000.0,1034694158.075601,
Net Income From Continuing And Discontinued Operation,688000000.0,-179000000.0,-570000000.0,1980000000.0,
Total Expenses,18862000000.0,20445000000.0,-22472000000.0,41386000000.0,
Diluted Average Shares,,2369000000.0,2546000000.0,2602000000.0,2605000000.0
Basic Average Shares,,2369000000.0,2546000000.0,2602000000.0,2605000000.0
Diluted EPS,,-0.12,-0.3,0.94,-0.09
Basic EPS,,-0.12,-0.3,0.94,-0.09
Diluted NI Availto Com Stockholders,611000000.0,-227000000.0,-606000000.0,1941000000.0,
Net Income Common Stockholders,611000000.0,-227000000.0,-606000000.0,1941000000.0,
Otherunder Preferred Stock Dividend,77000000.0,48000000.0,36000000.0,39000000.0,
Net Income,688000000.0,-179000000.0,-570000000.0,1980000000.0,
Minority Interests,12000000.0,20000000.0,-29000000.0,-50000000.0,
Net Income Including Noncontrolling Interests,676000000.0,-199000000.0,-540000000.0,2029000000.0,
Net Income Discontinuous Operations,0.0,-17000000.0,-1296000000.0,960000000.0,
Net Income Continuous Operations,676000000.0,-182000000.0,756000000.0,1069000000.0,
Tax Provision,-16000000.0,-209000000.0,71000000.0,95000000.0,
Pretax Income,660000000.0,-391000000.0,827000000.0,1164000000.0,
Other Income Expense,27000000.0,29000000.0,39000000.0,42000000.0,
Special Income Charges,,,-68000000.0,-16000000.0,-284000000.0
Write Off,,,68000000.0,16000000.0,284000000.0
Net Non Operating Interest Income Expense,-6000000.0,-7000000.0,-7000000.0,-246000000.0,
Interest Expense Non Operating,6000000.0,7000000.0,7000000.0,246000000.0,
Other Operating Expenses,-158000000.0,49000000.0,-341000000.0,-673000000.0,
Depreciation And Amortization In Income Statement,17000000.0,13000000.0,9000000.0,169000000.0,
Amortization,17000000.0,13000000.0,9000000.0,169000000.0,
Selling General And Administration,1983000000.0,1887000000.0,1728000000.0,2805000000.0,
General And Administrative Expense,1983000000.0,1887000000.0,1728000000.0,2805000000.0,
Other Gand A,785000000.0,780000000.0,669000000.0,1294000000.0,
Salaries And Wages,1198000000.0,1107000000.0,1059000000.0,1511000000.0,
Total Revenue,19519000000.0,20055000000.0,-21643000000.0,42546000000.0,
Operating Revenue,19519000000.0,20055000000.0,-21643000000.0,42546000000.0,
Loss Adjustment Expense,16630000000.0,17687000000.0,-24676000000.0,36720000000.0,
Net Policyholder Benefits And Claims,16630000000.0,17687000000.0,-24676000000.0,36720000000.0,
Policyholder Benefits Gross,17579000000.0,18595000000.0,-23866000000.0,40097000000.0,
Policyholder Benefits Ceded,949000000.0,908000000.0,810000000.0,3377000000.0,
