,2024-09-30,2023-09-30,2022-09-30,2021-09-30
Ordinary Shares Number,2048990.0,2048990.0,2048990.0,2048990.0
Share Issued,2048990.0,2048990.0,2048990.0,2048990.0
Tangible Book Value,367000.0,469000.0,657000.0,889000.0
Invested Capital,367000.0,469000.0,657000.0,889000.0
Working Capital,346000.0,415000.0,475000.0,470000.0
Net Tangible Assets,367000.0,469000.0,657000.0,889000.0
Common Stock Equity,367000.0,469000.0,657000.0,889000.0
Total Capitalization,367000.0,469000.0,657000.0,889000.0
Total Equity Gross Minority Interest,367000.0,469000.0,657000.0,889000.0
Stockholders Equity,367000.0,469000.0,657000.0,889000.0
Other Equity Interest,2594000.0,2594000.0,2594000.0,2594000.0
Retained Earnings,-7648000.0,-7557000.0,-7492000.0,-7497000.0
Additional Paid In Capital,5370000.0,5370000.0,5370000.0,5370000.0
Capital Stock,51000.0,51000.0,51000.0,51000.0
Common Stock,51000.0,51000.0,51000.0,51000.0
Total Liabilities Net Minority Interest,51000.0,63000.0,43000.0,40000.0
Total Non Current Liabilities Net Minority Interest,0.0,0.0,0.0,0.0
Current Liabilities,51000.0,63000.0,43000.0,40000.0
Other Current Liabilities,,1000.0,,
Payables,22000.0,35000.0,23000.0,22000.0
Other Payable,21000.0,21000.0,21000.0,21000.0
Accounts Payable,1000.0,14000.0,2000.0,1000.0
Total Assets,418000.0,532000.0,700000.0,929000.0
Total Non Current Assets,21000.0,54000.0,182000.0,419000.0
Investmentin Financial Assets,21000.0,54000.0,182000.0,419000.0
Available For Sale Securities,21000.0,54000.0,182000.0,419000.0
Current Assets,397000.0,478000.0,518000.0,510000.0
Other Receivables,23000.0,45000.0,21000.0,21000.0
Cash Cash Equivalents And Short Term Investments,374000.0,433000.0,497000.0,489000.0
Cash And Cash Equivalents,374000.0,433000.0,497000.0,489000.0
