,2024-09-30,2023-09-30,2022-09-30,2021-09-30
Free Cash Flow,-59000.0,-64000.0,8000.0,-77000.0
End Cash Position,374000.0,433000.0,497000.0,489000.0
Other Cash Adjustment Outside Changein Cash,,8000.0,-8000.0,
Beginning Cash Position,433000.0,489000.0,489000.0,186000.0
Changes In Cash,-59000.0,-64000.0,16000.0,303000.0
Investing Cash Flow,0.0,0.0,8000.0,380000.0
Net Other Investing Changes,,-64000.0,8000.0,
Net Investment Purchase And Sale,,,0.0,380000.0
Sale Of Investment,,,0.0,380000.0
Operating Cash Flow,-59000.0,-64000.0,8000.0,-77000.0
Change In Working Capital,10000.0,-4000.0,3000.0,10000.0
Change In Payable,-12000.0,20000.0,3000.0,7000.0
Change In Receivables,22000.0,-24000.0,0.0,3000.0
Gain Loss On Investment Securities,16000.0,,,
Net Foreign Currency Exchange Gain Loss,-16000.0,-1000.0,,
Net Income From Continuing Operations,-69000.0,-59000.0,5000.0,-87000.0
