,2024-09-30,2023-09-30,2022-09-30,2021-09-30,2020-09-30
Tax Effect Of Unusual Items,-237571400.0,-68285052.0,-91750284.0,-149330440.0,
Tax Rate For Calcs,0.242,0.198,0.237,0.305,
Normalized EBITDA,4353199000.0,3762208000.0,3490697000.0,3400327000.0,
Total Unusual Items,-981700000.0,-344874000.0,-387132000.0,-489608000.0,
Total Unusual Items Excluding Goodwill,-981700000.0,-344874000.0,-387132000.0,-489608000.0,
Net Income From Continuing Operation Net Minority Interest,1509120000.0,1745293000.0,1698820000.0,1539932000.0,
Reconciled Depreciation,1118842000.0,980848000.0,709835000.0,514786000.0,
Reconciled Cost Of Revenue,284021702000.0,253196974000.0,230274699000.0,207036001000.0,
EBITDA,3371499000.0,3417334000.0,3103565000.0,2910719000.0,
EBIT,2252657000.0,2436486000.0,2393730000.0,2395933000.0,
Net Interest Income,-156991000.0,-228931000.0,-210673000.0,-174074000.0,
Interest Expense,248682000.0,275650000.0,210673000.0,174074000.0,
Interest Income,91691000.0,46719000.0,21309000.0,8470000.0,
Normalized Income,2253248600.0,2021881948.0,1994201716.0,1880209560.0,
Net Income From Continuing And Discontinued Operation,1509120000.0,1745293000.0,1698820000.0,1539932000.0,
Total Expenses,290801650000.0,259487806000.0,235833496000.0,211145038000.0,
Total Operating Income As Reported,2175249000.0,2340731000.0,2366378000.0,2354197000.0,
Diluted Average Shares,200284000.0,204591000.0,211210000.0,208465000.0,
Basic Average Shares,198503000.0,202511000.0,208472000.0,205919000.0,
Diluted EPS,7.53,8.53,8.04,7.39,
Basic EPS,7.6,8.62,8.15,7.48,
Diluted NI Availto Com Stockholders,1509120000.0,1745293000.0,1698820000.0,1539932000.0,
Net Income Common Stockholders,1509120000.0,1745293000.0,1698820000.0,1539932000.0,
Net Income,1509120000.0,1745293000.0,1698820000.0,1539932000.0,
Minority Interests,-10153000.0,12717000.0,32280000.0,-4676000.0,
Net Income Including Noncontrolling Interests,1519273000.0,1732576000.0,1666540000.0,1544608000.0,
Net Income Continuous Operations,1519273000.0,1732576000.0,1666540000.0,1544608000.0,
Tax Provision,484702000.0,428260000.0,516517000.0,677251000.0,
Pretax Income,2003975000.0,2160836000.0,2183057000.0,2221859000.0,
Other Income Expense,-995983000.0,-295838000.0,-359780000.0,-447872000.0,
Other Non Operating Income Expenses,-14283000.0,49036000.0,27352000.0,41736000.0,
Special Income Charges,-981700000.0,-344874000.0,-387132000.0,-489608000.0,
Other Special Charges,227070000.0,-24693000.0,123191000.0,272623000.0,
Write Off,0.0,0.0,4946000.0,11324000.0,
Impairment Of Capital Assets,418000000.0,0.0,75936000.0,6373000.0,
Restructuring And Mergern Acquisition,336630000.0,369567000.0,183059000.0,199288000.0,
Earnings From Equity Interest,,,,,0.0
Net Non Operating Interest Income Expense,-156991000.0,-228931000.0,-210673000.0,-174074000.0,
Interest Expense Non Operating,248682000.0,275650000.0,210673000.0,174074000.0,
Interest Income Non Operating,91691000.0,46719000.0,21309000.0,8470000.0,
Operating Income,3156949000.0,2685605000.0,2753510000.0,2843805000.0,
Operating Expense,6753080000.0,6273888000.0,5542857000.0,4099423000.0,
Depreciation Amortization Depletion Income Statement,1091974000.0,963904000.0,693895000.0,505172000.0,
Depreciation And Amortization In Income Statement,1091974000.0,963904000.0,693895000.0,505172000.0,
Amortization,663474000.0,553563000.0,307300000.0,178348000.0,
Amortization Of Intangibles Income Statement,663474000.0,553563000.0,307300000.0,178348000.0,
Depreciation Income Statement,428500000.0,410341000.0,386595000.0,326824000.0,
Selling General And Administration,5661106000.0,5309984000.0,4848962000.0,3594251000.0,
Gross Profit,9910029000.0,8959493000.0,8296367000.0,6943228000.0,
Cost Of Revenue,284048570000.0,253213918000.0,230290639000.0,207045615000.0,
Total Revenue,293958599000.0,262173411000.0,238587006000.0,213988843000.0,
Operating Revenue,293958599000.0,262173411000.0,238587006000.0,213988843000.0,
