,2024-06-30,2023-06-30,2022-06-30,2021-06-30
Ordinary Shares Number,67389680.0,62312235.0,41659735.0,41659735.0
Share Issued,67389680.0,62312235.0,41659735.0,41659735.0
Net Debt,2850637.0,394033.0,,
Total Debt,2911753.0,805729.0,0.0,
Tangible Book Value,492018.0,2566401.0,808597.0,1470340.0
Invested Capital,3403771.0,3372130.0,808597.0,1470340.0
Working Capital,-4462841.0,-1656101.0,768770.0,1470340.0
Net Tangible Assets,492018.0,2566401.0,808597.0,1470340.0
Common Stock Equity,492018.0,2566401.0,808597.0,1470340.0
Total Capitalization,492018.0,2566401.0,808597.0,1470340.0
Total Equity Gross Minority Interest,-19290.0,2351353.0,808597.0,1470340.0
Minority Interest,-511308.0,-215048.0,0.0,
Stockholders Equity,492018.0,2566401.0,808597.0,1470340.0
Other Equity Interest,276459.0,271260.0,45838.0,45838.0
Retained Earnings,-6156442.0,-3666828.0,-1180854.0,-519111.0
Additional Paid In Capital,5981996.0,5606918.0,1735315.0,1735315.0
Capital Stock,336948.0,311561.0,208298.0,208298.0
Common Stock,336948.0,311561.0,208298.0,208298.0
Total Liabilities Net Minority Interest,4594181.0,2334069.0,110890.0,31055.0
Total Non Current Liabilities Net Minority Interest,-54.0,0.0,0.0,0.0
Current Liabilities,4594235.0,2334069.0,110890.0,31055.0
Other Current Liabilities,399734.0,585741.0,,
Current Debt And Capital Lease Obligation,2911753.0,805729.0,0.0,
Current Debt,2911753.0,805729.0,0.0,
Current Provisions,84136.0,84247.0,,
Payables,1198612.0,858352.0,110890.0,31055.0
Other Payable,213968.0,100749.0,32880.0,10889.0
Accounts Payable,984644.0,757603.0,78010.0,20166.0
Total Assets,4574891.0,4685422.0,919487.0,1501395.0
Total Non Current Assets,4443497.0,4007454.0,39827.0,0.0
Other Non Current Assets,2.0,,,
Net PPE,4443495.0,4007454.0,0.0,
Accumulated Depreciation,-81131.0,-28827.0,0.0,
Gross PPE,4524626.0,4036281.0,0.0,
Construction In Progress,170992.0,,,
Machinery Furniture Equipment,230214.0,230520.0,0.0,
Buildings And Improvements,31620.0,31663.0,0.0,
Properties,4091800.0,3774098.0,0.0,
Current Assets,131394.0,677968.0,879660.0,1501395.0
Other Current Assets,,,-1.0,
Prepaid Assets,5219.0,19934.0,9592.0,417.0
Other Receivables,30410.0,233414.0,10000.0,10000.0
Taxes Receivable,34649.0,12924.0,35817.0,7434.0
Cash Cash Equivalents And Short Term Investments,61116.0,411696.0,824251.0,1483544.0
Cash And Cash Equivalents,61116.0,411696.0,824251.0,1483544.0
Cash Financial,61116.0,411696.0,824251.0,1483544.0
