,2024-06-30,2023-06-30,2022-06-30,2021-06-30
Free Cash Flow,-2701252.0,-2482094.0,-593371.0,-419970.0
Repayment Of Debt,-80847.0,0.0,,
Issuance Of Debt,1956427.0,0.0,,
Issuance Of Capital Stock,547632.0,3630299.0,0.0,1849451.0
Capital Expenditure,-496006.0,-773341.0,,
End Cash Position,61116.0,411696.0,824251.0,1483544.0
Beginning Cash Position,411696.0,824251.0,1483544.0,62072.0
Effect Of Exchange Rate Changes,2057.0,-2406.0,-26095.0,-8009.0
Changes In Cash,-352637.0,-410149.0,-633198.0,1429481.0
Financing Cash Flow,2423212.0,3630299.0,0.0,1849451.0
Net Common Stock Issuance,547632.0,3630299.0,0.0,1849451.0
Common Stock Issuance,547632.0,3630299.0,0.0,1849451.0
Net Issuance Payments Of Debt,1875580.0,0.0,,
Net Short Term Debt Issuance,1875580.0,0.0,,
Short Term Debt Payments,-80847.0,0.0,,
Short Term Debt Issuance,1956427.0,0.0,,
Investing Cash Flow,-570603.0,-2331695.0,-39827.0,0.0
Net Other Investing Changes,,-1.0,,
Interest Received Cfi,,0.0,-2115.0,0.0
Net Investment Purchase And Sale,,0.0,-37712.0,0.0
Purchase Of Investment,,0.0,-37712.0,0.0
Net Business Purchase And Sale,-74597.0,-1558354.0,0.0,
Sale Of Business,0.0,24554.0,0.0,
Purchase Of Business,-74597.0,-1582908.0,0.0,
Net PPE Purchase And Sale,-496006.0,-773341.0,0.0,
Purchase Of PPE,-496006.0,-773341.0,0.0,
Operating Cash Flow,-2205246.0,-1708753.0,-593371.0,-419970.0
Change In Working Capital,351225.0,361685.0,42277.0,-80395.0
Change In Payable,356325.0,64648.0,79835.0,-62960.0
Change In Receivables,-5100.0,297037.0,-37558.0,-17435.0
Other Non Cash Items,169926.0,38993.0,,
Stock Based Compensation,0.0,225422.0,0.0,
Depreciation And Amortization,52607.0,30251.0,0.0,
Depreciation,52607.0,30251.0,,
Net Foreign Currency Exchange Gain Loss,6870.0,335122.0,26095.0,8009.0
Net Income From Continuing Operations,-2785874.0,-2700226.0,-661743.0,-347584.0
