,2024-06-30,2023-06-30,2022-06-30,2021-06-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.0,0.0,0.0,0.0
Normalized EBITDA,-2574585.0,-2630796.0,-459149.0,-110981.0
Total Unusual Items,,0.0,-202594.0,-122306.0
Total Unusual Items Excluding Goodwill,,0.0,-202594.0,-122306.0
Net Income From Continuing Operation Net Minority Interest,-2489614.0,-2485974.0,-661743.0,-347584.0
Reconciled Depreciation,52607.0,30251.0,0.0,
EBITDA,-2574585.0,-2630796.0,-661743.0,-233287.0
EBIT,-2627192.0,-2661047.0,-661743.0,-233287.0
Net Interest Income,-169926.0,-39179.0,2115.0,0.0
Interest Expense,158682.0,39179.0,0.0,
Interest Income,,0.0,2115.0,0.0
Normalized Income,-2489614.0,-2485974.0,-459149.0,-225278.0
Net Income From Continuing And Discontinued Operation,-2489614.0,-2485974.0,-661743.0,-347584.0
Total Expenses,2586818.0,2470605.0,487360.0,233287.0
Diluted Average Shares,,54520971.0,41659735.0,29456271.0
Basic Average Shares,,54520971.0,41659735.0,29456271.0
Diluted EPS,,-0.0495,-0.0159,-0.0118
Basic EPS,,-0.0495,-0.0159,-0.0118
Diluted NI Availto Com Stockholders,-2489614.0,-2485974.0,-661743.0,-347584.0
Net Income Common Stockholders,-2489614.0,-2485974.0,-661743.0,-347584.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,-2489614.0,-2485974.0,-661743.0,-347584.0
Minority Interests,296260.0,214252.0,0.0,
Net Income Including Noncontrolling Interests,-2785874.0,-2700226.0,-661743.0,-347584.0
Net Income Continuous Operations,-2785874.0,-2700226.0,-661743.0,-347584.0
Tax Provision,0.0,0.0,0.0,0.0
Pretax Income,-2785874.0,-2700226.0,-661743.0,-347584.0
Special Income Charges,,0.0,-202594.0,-122306.0
Other Special Charges,,,202594.0,122306.0
Net Non Operating Interest Income Expense,-169926.0,-39179.0,2115.0,0.0
Total Other Finance Cost,11244.0,,,
Interest Expense Non Operating,158682.0,39179.0,0.0,
Interest Income Non Operating,,0.0,2115.0,0.0
Operating Income,-2586818.0,-2470605.0,-487360.0,-233287.0
Operating Expense,2586818.0,2470605.0,487360.0,233287.0
Other Operating Expenses,345153.0,139274.0,53508.0,45860.0
Depreciation And Amortization In Income Statement,52607.0,30251.0,0.0,
Depreciation Income Statement,52607.0,30251.0,0.0,
Selling General And Administration,1807589.0,1803142.0,361360.0,130427.0
Selling And Marketing Expense,,,,45860.0
General And Administrative Expense,1807589.0,1803142.0,361360.0,130427.0
Total Revenue,0.0,0.0,0.0,0.0
Operating Revenue,0.0,0.0,0.0,0.0
