Metric,Value
address1,The Broadgate Tower
address2,7th Floor 20 Primrose Street
city,London
zip,EC2A 2EW
country,United Kingdom
website,https://www.criticalmetals.co.uk
industry,Other Industrial Metals & Mining
industryKey,other-industrial-metals-mining
industryDisp,Other Industrial Metals & Mining
sector,Basic Materials
sectorKey,basic-materials
sectorDisp,Basic Materials
longBusinessSummary,"Critical Metals Plc does not have significant operations. The company focuses on identifying potential companies, businesses or assets that have operations in the natural resources exploration, development, and production sector. Critical Metals Plc was incorporated in 2018 and is based in London, the United Kingdom."
fullTimeEmployees,4
companyOfficers,"[{'maxAge': 1, 'name': 'Mr. Russell S. Fryer', 'age': 58, 'title': 'CEO & Executive Chairman', 'yearBorn': 1966, 'fiscalYear': 2024, 'totalPay': 250000, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Jean  Pierre Tshienda', 'title': 'Executive Director', 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}]"
compensationAsOfEpochDate,1735603200
executiveTeam,[]
maxAge,86400
priceHint,4
previousClose,0.8
open,0.0
dayLow,0.0
dayHigh,0.0
regularMarketPreviousClose,0.8
regularMarketOpen,0.0
regularMarketDayLow,0.0
regularMarketDayHigh,0.0
payoutRatio,0.0
beta,1.751
volume,7328906
regularMarketVolume,7328906
averageVolume,100905
averageVolume10days,120178
averageDailyVolume10Day,120178
bid,0.7
ask,0.0
marketCap,539117
fiftyTwoWeekLow,0.0
fiftyTwoWeekHigh,6.3
priceToSalesTrailing12Months,150.80196
fiftyDayAverage,0.909
twoHundredDayAverage,1.2251
trailingAnnualDividendRate,0.0
trailingAnnualDividendYield,0.0
currency,GBp
tradeable,False
enterpriseValue,3641300
profitMargins,0.0
floatShares,43545863
sharesOutstanding,67389696
heldPercentInsiders,0.38566002
heldPercentInstitutions,0.0
impliedSharesOutstanding,73707504
bookValue,-0.01
lastFiscalYearEnd,1719705600
nextFiscalYearEnd,1751241600
mostRecentQuarter,1735603200
netIncomeToCommon,-2620553
trailingEps,-0.04
enterpriseToRevenue,1018.546
enterpriseToEbitda,-1.49
52WeekChange,-0.8596491
SandP52WeekChange,0.12677538
quoteType,EQUITY
currentPrice,0.8
targetHighPrice,1.14
targetLowPrice,1.14
targetMeanPrice,1.14
targetMedianPrice,1.14
recommendationKey,none
numberOfAnalystOpinions,1
totalCash,47013
totalCashPerShare,0.001
ebitda,-2443876
totalDebt,3693241
quickRatio,0.022
currentRatio,0.022
totalRevenue,3575
revenuePerShare,0.0
returnOnAssets,-0.34631002
returnOnEquity,-27.07777
grossProfits,3575
freeCashflow,-1878170
operatingCashflow,-2327475
grossMargins,1.0
ebitdaMargins,0.0
operatingMargins,-31.78468
financialCurrency,GBP
symbol,CRTM.L
language,en-US
region,US
typeDisp,Equity
quoteSourceName,Delayed Quote
triggerable,False
customPriceAlertConfidence,LOW
hasPrePostMarketData,False
firstTradeDateMilliseconds,1601362800000
corporateActions,[]
regularMarketTime,1751528991
exchange,LSE
messageBoardId,finmb_625646013
exchangeTimezoneName,Europe/London
exchangeTimezoneShortName,BST
gmtOffSetMilliseconds,3600000
market,gb_market
esgPopulated,False
regularMarketChangePercent,0.0
regularMarketPrice,0.8
marketState,CLOSED
shortName,CRITICAL METALS PLC ORD GBP0.00
longName,Critical Metals Plc
regularMarketChange,0.0
regularMarketDayRange,0.0 - 0.0
fullExchangeName,LSE
averageDailyVolume3Month,100905
fiftyTwoWeekLowChange,0.8
fiftyTwoWeekRange,0.0 - 6.3
fiftyTwoWeekHighChange,-5.5
fiftyTwoWeekHighChangePercent,-0.8730158
fiftyTwoWeekChangePercent,-85.96491
earningsTimestampStart,1743400804
earningsTimestampEnd,1743400804
isEarningsDateEstimate,False
epsTrailingTwelveMonths,-0.04
fiftyDayAverageChange,-0.10899997
fiftyDayAverageChangePercent,-0.11991196
twoHundredDayAverageChange,-0.42510003
twoHundredDayAverageChangePercent,-0.3469921
priceToBook,-80.0
sourceInterval,15
exchangeDataDelayedBy,15
cryptoTradeable,False
trailingPegRatio,
