,2024-05-31,2023-05-31,2022-05-31,2021-05-31
Ordinary Shares Number,3863590.0,3863590.0,3863590.0,3863590.0
Share Issued,3863590.0,3863590.0,3863590.0,3863590.0
Tangible Book Value,-1277000.0,-384000.0,5131000.0,5367000.0
Invested Capital,-1277000.0,-384000.0,5131000.0,5367000.0
Working Capital,-210000.0,-67000.0,-32000.0,-44000.0
Net Tangible Assets,-1277000.0,-384000.0,5131000.0,5367000.0
Common Stock Equity,-1277000.0,-384000.0,5131000.0,5367000.0
Total Capitalization,-1277000.0,-384000.0,5131000.0,5367000.0
Total Equity Gross Minority Interest,-1277000.0,-384000.0,5131000.0,5367000.0
Stockholders Equity,-1277000.0,-384000.0,5131000.0,5367000.0
Retained Earnings,-16232000.0,-15339000.0,-9824000.0,-9588000.0
Additional Paid In Capital,11153000.0,11153000.0,11153000.0,11153000.0
Capital Stock,3802000.0,3802000.0,3802000.0,3802000.0
Common Stock,3802000.0,3802000.0,3802000.0,3802000.0
Total Liabilities Net Minority Interest,1823000.0,1562000.0,1313000.0,1076000.0
Total Non Current Liabilities Net Minority Interest,1582000.0,1453000.0,1237000.0,989000.0
Tradeand Other Payables Non Current,1582000.0,1453000.0,1237000.0,989000.0
Current Liabilities,241000.0,109000.0,76000.0,87000.0
Payables,93000.0,72000.0,46000.0,56000.0
Accounts Payable,93000.0,72000.0,46000.0,56000.0
Total Assets,546000.0,1178000.0,6444000.0,6443000.0
Total Non Current Assets,515000.0,1136000.0,6400000.0,6400000.0
Investmentin Financial Assets,515000.0,1136000.0,6400000.0,6400000.0
Financial Assets Designatedas Fair Value Through Profitor Loss Total,515000.0,1136000.0,6400000.0,6400000.0
Current Assets,31000.0,42000.0,44000.0,43000.0
Other Receivables,29000.0,38000.0,43000.0,38000.0
Cash Cash Equivalents And Short Term Investments,2000.0,4000.0,1000.0,5000.0
Cash And Cash Equivalents,2000.0,4000.0,1000.0,5000.0
Cash Financial,2000.0,4000.0,1000.0,5000.0
