,2024-05-31,2023-05-31,2022-05-31,2021-05-31
Free Cash Flow,-56000.0,-148000.0,-196000.0,-990000.0
Issuance Of Debt,54000.0,151000.0,192000.0,989000.0
End Cash Position,2000.0,4000.0,1000.0,5000.0
Beginning Cash Position,4000.0,1000.0,5000.0,6000.0
Changes In Cash,-2000.0,3000.0,-4000.0,-1000.0
Financing Cash Flow,54000.0,151000.0,192000.0,989000.0
Net Issuance Payments Of Debt,54000.0,151000.0,192000.0,989000.0
Net Long Term Debt Issuance,54000.0,151000.0,192000.0,989000.0
Long Term Debt Issuance,54000.0,151000.0,192000.0,989000.0
Investing Cash Flow,,,,0.0
Dividends Received Cfi,,,,0.0
Operating Cash Flow,-56000.0,-148000.0,-196000.0,-990000.0
Change In Working Capital,141000.0,38000.0,-16000.0,-159000.0
Change In Payable,132000.0,33000.0,-11000.0,-167000.0
Change In Receivables,9000.0,5000.0,-5000.0,8000.0
Other Non Cash Items,75000.0,65000.0,56000.0,
Gain Loss On Investment Securities,621000.0,5264000.0,,1600000.0
Net Income From Continuing Operations,-893000.0,-5515000.0,-236000.0,-2431000.0
