,2024-05-31,2023-05-31,2022-05-31,2021-05-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.0,0.0,0.0,0.0
Normalized EBITDA,-818000.0,-5450000.0,-180000.0,-1808000.0
Total Unusual Items,,,0.0,-623000.0
Total Unusual Items Excluding Goodwill,,,0.0,-623000.0
Net Income From Continuing Operation Net Minority Interest,-893000.0,-5515000.0,-236000.0,-2431000.0
EBITDA,-818000.0,-5450000.0,-180000.0,-2431000.0
EBIT,-818000.0,-5450000.0,-180000.0,-2431000.0
Net Interest Income,-75000.0,-65000.0,-56000.0,0.0
Interest Expense,75000.0,65000.0,56000.0,0.0
Normalized Income,-893000.0,-5515000.0,-236000.0,-1808000.0
Net Income From Continuing And Discontinued Operation,-893000.0,-5515000.0,-236000.0,-2431000.0
Total Expenses,818000.0,5450000.0,180000.0,208000.0
Rent Expense Supplemental,,,0.0,17000.0
Total Operating Income As Reported,-818000.0,-5450000.0,-180000.0,-2431000.0
Diluted Average Shares,,3863590.0,3863590.0,3863590.0
Basic Average Shares,,3863590.0,3863590.0,3863590.0
Diluted EPS,,-1.4274,-0.0611,-0.6292
Basic EPS,,-1.4274,-0.0611,-0.6292
Diluted NI Availto Com Stockholders,-893000.0,-5515000.0,-236000.0,-2431000.0
Net Income Common Stockholders,-893000.0,-5515000.0,-236000.0,-2431000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,-893000.0,-5515000.0,-236000.0,-2431000.0
Net Income Including Noncontrolling Interests,-893000.0,-5515000.0,-236000.0,-2431000.0
Net Income Continuous Operations,-893000.0,-5515000.0,-236000.0,-2431000.0
Tax Provision,0.0,0.0,0.0,0.0
Pretax Income,-893000.0,-5515000.0,-236000.0,-2431000.0
Special Income Charges,,,0.0,-623000.0
Other Special Charges,,,,623000.0
Net Non Operating Interest Income Expense,-75000.0,-65000.0,-56000.0,0.0
Interest Expense Non Operating,75000.0,65000.0,56000.0,0.0
Operating Income,-818000.0,-5450000.0,-180000.0,-208000.0
Operating Expense,818000.0,5450000.0,180000.0,208000.0
Other Operating Expenses,621000.0,5264000.0,,
Selling General And Administration,197000.0,186000.0,180000.0,208000.0
General And Administrative Expense,197000.0,186000.0,180000.0,208000.0
Total Revenue,0.0,0.0,0.0,0.0
Operating Revenue,0.0,0.0,0.0,0.0
