Metric,Value
address1,776-778 Barking Road
city,London
zip,E13 9PJ
country,United Kingdom
phone,44 20 3286 8130
website,https://www.cravenhousecapital.com
industry,Asset Management
industryKey,asset-management
industryDisp,Asset Management
sector,Financial Services
sectorKey,financial-services
sectorDisp,Financial Services
longBusinessSummary,"Craven House Capital Plc operates as an investment company in the United Kingdom. It invests in or acquires a portfolio of companies, partnerships, joint ventures, businesses, or other assets participating in the e-commerce sector. The company was formerly known as AIM Investments plc and changed its name to Craven House Capital Plc in August 2011. Craven House Capital Plc was incorporated in 2004 and is based in London, the United Kingdom."
fullTimeEmployees,3
companyOfficers,"[{'maxAge': 1, 'name': 'Ms. Tamra  Spink', 'title': 'Company Secretary', 'exercisedValue': 0, 'unexercisedValue': 0}]"
executiveTeam,[]
maxAge,86400
priceHint,4
previousClose,0.125
open,0.0
dayLow,0.0
dayHigh,0.0
regularMarketPreviousClose,0.125
regularMarketOpen,0.0
regularMarketDayLow,0.0
regularMarketDayHigh,0.0
payoutRatio,0.0
beta,0.369
volume,67466
regularMarketVolume,67466
averageVolume,4593
averageVolume10days,0
averageDailyVolume10Day,0
bid,0.1
ask,0.15
bidSize,0
askSize,0
marketCap,482948
fiftyTwoWeekLow,0.0
fiftyTwoWeekHigh,0.497
fiftyDayAverage,0.15216
twoHundredDayAverage,0.20791
trailingAnnualDividendRate,0.0
trailingAnnualDividendYield,0.0
currency,USD
tradeable,False
enterpriseValue,454948
profitMargins,0.0
floatShares,1885548
sharesOutstanding,3863590
heldPercentInsiders,0.34313
heldPercentInstitutions,0.02873
impliedSharesOutstanding,3863590
bookValue,-0.331
lastFiscalYearEnd,1717113600
nextFiscalYearEnd,1748649600
mostRecentQuarter,1732924800
netIncomeToCommon,-781000
trailingEps,-0.2
lastSplitFactor,1:734
lastSplitDate,1470268800
52WeekChange,-0.375
SandP52WeekChange,0.12677538
quoteType,EQUITY
currentPrice,0.125
recommendationKey,none
totalCash,28000
totalCashPerShare,0.007
totalDebt,0
quickRatio,0.17
currentRatio,0.17
returnOnAssets,-0.13267
freeCashflow,23875
operatingCashflow,1000
grossMargins,0.0
ebitdaMargins,0.0
operatingMargins,0.0
financialCurrency,USD
symbol,CRV.L
language,en-US
region,US
typeDisp,Equity
quoteSourceName,Delayed Quote
triggerable,False
customPriceAlertConfidence,LOW
hasPrePostMarketData,False
firstTradeDateMilliseconds,1041408000000
regularMarketChange,0.0
regularMarketDayRange,0.0 - 0.0
fullExchangeName,LSE
averageDailyVolume3Month,4593
fiftyTwoWeekLowChange,0.125
fiftyTwoWeekRange,0.0 - 0.497
fiftyTwoWeekHighChange,-0.372
fiftyTwoWeekHighChangePercent,-0.7484909
fiftyTwoWeekChangePercent,-37.5
regularMarketChangePercent,0.0
regularMarketPrice,0.125
corporateActions,[]
regularMarketTime,1749740500
exchange,LSE
messageBoardId,finmb_11017249
exchangeTimezoneName,Europe/London
exchangeTimezoneShortName,BST
gmtOffSetMilliseconds,3600000
market,gb_market
esgPopulated,False
shortName,CRAVEN HOUSE CAPITAL PLC ORD US
longName,Craven House Capital Plc
marketState,CLOSED
earningsTimestampStart,1613645940
earningsTimestampEnd,1613645940
epsTrailingTwelveMonths,-0.2
fiftyDayAverageChange,-0.027160004
fiftyDayAverageChangePercent,-0.17849635
twoHundredDayAverageChange,-0.08291
twoHundredDayAverageChangePercent,-0.39877832
priceToBook,-0.3776435
sourceInterval,15
exchangeDataDelayedBy,15
cryptoTradeable,False
trailingPegRatio,
