,2022-10-31,2021-10-31,2020-10-31
Ordinary Shares Number,46162854.0,21966087.0,21966087.0
Share Issued,46162854.0,21966087.0,21966087.0
Net Debt,4559154.0,175234.0,673054.0
Total Debt,5751523.0,1632110.0,1128807.0
Tangible Book Value,-2373618.0,-1247646.0,-737948.0
Invested Capital,3111350.0,37362.0,-19643.0
Working Capital,665505.0,-89976.0,-1134655.0
Net Tangible Assets,-2373618.0,-1247646.0,-737948.0
Capital Lease Obligations,266555.0,347102.0,410502.0
Common Stock Equity,-2373618.0,-1247646.0,-737948.0
Total Capitalization,3069148.0,-3517.0,-59229.0
Total Equity Gross Minority Interest,-4679001.0,-1247646.0,-737948.0
Minority Interest,-2305383.0,0.0,
Stockholders Equity,-2373618.0,-1247646.0,-737948.0
Other Equity Interest,344715.0,158312.0,83377.0
Retained Earnings,-6681706.0,-4416527.0,-3831894.0
Additional Paid In Capital,3040115.0,2571247.0,2571247.0
Capital Stock,923258.0,439322.0,439322.0
Common Stock,923258.0,439322.0,439322.0
Total Liabilities Net Minority Interest,6333703.0,3059730.0,2682451.0
Total Non Current Liabilities Net Minority Interest,5608836.0,1513344.0,1022744.0
Long Term Debt And Capital Lease Obligation,5608836.0,1513344.0,1022744.0
Long Term Capital Lease Obligation,166070.0,269215.0,344025.0
Long Term Debt,5442766.0,1244129.0,678719.0
Current Liabilities,724867.0,1546386.0,1659707.0
Current Debt And Capital Lease Obligation,142687.0,118766.0,106063.0
Current Capital Lease Obligation,100485.0,77887.0,66477.0
Current Debt,42202.0,40879.0,39586.0
Payables,582180.0,1427620.0,1553644.0
Other Payable,,153515.0,53546.0
Accounts Payable,582180.0,1274105.0,1500098.0
Total Assets,1654702.0,1812084.0,1944503.0
Total Non Current Assets,264330.0,355674.0,1419451.0
Long Term Equity Investment,0.0,0.0,0.0
Investmentsin Subsidiariesat Cost,0.0,0.0,0.0
Goodwill And Other Intangible Assets,,,0.0
Goodwill,,,0.0
Net PPE,264330.0,355674.0,424722.0
Accumulated Depreciation,-264905.0,-289715.0,-277102.0
Gross PPE,529235.0,645389.0,701824.0
Machinery Furniture Equipment,259237.0,283738.0,272829.0
Buildings And Improvements,269998.0,361651.0,428995.0
Properties,0.0,0.0,0.0
Current Assets,1390372.0,1456410.0,525052.0
Assets Held For Sale Current,6154.0,6154.0,6154.0
Prepaid Assets,14486.0,11731.0,7646.0
Inventory,175875.0,42682.0,181708.0
Finished Goods,0.0,2566.0,9765.0
Raw Materials,175875.0,40116.0,171943.0
Other Receivables,11219.0,28737.0,12163.0
Accounts Receivable,256824.0,257332.0,272130.0
Cash Cash Equivalents And Short Term Investments,925814.0,1109774.0,45251.0
Cash And Cash Equivalents,925814.0,1109774.0,45251.0
Cash Financial,925814.0,1109774.0,45251.0
