,2022-10-31,2021-10-31,2020-10-31
Free Cash Flow,-1894735.0,-57597.0,-109930.0
Issuance Of Debt,1134015.0,252973.0,38687.0
Issuance Of Capital Stock,650000.0,0.0,102676.0
Capital Expenditure,-5541.0,-8767.0,-3423.0
End Cash Position,925814.0,1109774.0,45251.0
Beginning Cash Position,1109774.0,45251.0,5218.0
Effect Of Exchange Rate Changes,0.0,-176.0,-60.0
Changes In Cash,-183960.0,1064699.0,40093.0
Financing Cash Flow,1710782.0,177859.0,147833.0
Net Other Financing Charges,,-8043.0,26941.0
Net Common Stock Issuance,650000.0,0.0,102676.0
Common Stock Issuance,650000.0,0.0,102676.0
Net Issuance Payments Of Debt,1134015.0,252973.0,38687.0
Net Long Term Debt Issuance,1134015.0,252973.0,38687.0
Long Term Debt Issuance,1134015.0,252973.0,38687.0
Investing Cash Flow,-5548.0,935670.0,-1233.0
Net Other Investing Changes,-7.0,433.0,2190.0
Net PPE Purchase And Sale,-5541.0,-8767.0,-3423.0
Sale Of PPE,,,0.0
Purchase Of PPE,-5541.0,-8767.0,-3423.0
Operating Cash Flow,-1889194.0,-48830.0,-106507.0
Interest Received Cfo,157.0,155658.0,492.0
Interest Paid Cfo,-124889.0,-93378.0,-69853.0
Change In Working Capital,-655960.0,391603.0,702821.0
Change In Payable,-538038.0,262565.0,719314.0
Change In Inventory,-133193.0,137401.0,-119133.0
Change In Receivables,15271.0,-8363.0,102640.0
Depreciation And Amortization,84960.0,78109.0,38322.0
Depreciation,84960.0,78109.0,38322.0
Gain Loss On Investment Securities,1.0,,
Net Foreign Currency Exchange Gain Loss,-41293.0,-65301.0,74572.0
Gain Loss On Sale Of PPE,0.0,139.0,0.0
Net Income From Continuing Operations,-1152170.0,-515660.0,-1079505.0
