,2022-10-31,2021-10-31,2020-10-31
Tax Effect Of Unusual Items,0.0,0.0,0.0
Tax Rate For Calcs,0.0,0.0,0.0
Normalized EBITDA,-4200207.0,-281893.0,-900100.0
Total Unusual Items,1264.0,0.0,0.0
Total Unusual Items Excluding Goodwill,1264.0,0.0,-226644.0
Net Income From Continuing Operation Net Minority Interest,-4571084.0,-584633.0,-1035485.0
Reconciled Depreciation,84960.0,78109.0,38322.0
Reconciled Cost Of Revenue,1278471.0,1024430.0,1350201.0
EBITDA,-4198943.0,-281893.0,-900100.0
EBIT,-4283903.0,-360002.0,-938542.0
Net Interest Income,-3418392.0,-68973.0,44020.0
Interest Expense,286659.0,224631.0,96943.0
Interest Income,157.0,155658.0,140963.0
Normalized Income,-4572348.0,-584633.0,-582197.0
Net Income From Continuing And Discontinued Operation,-4571084.0,-584633.0,-1035485.0
Total Expenses,1790821.0,1774839.0,2502609.0
Total Operating Income As Reported,-1152170.0,-515660.0,-1079505.0
Diluted Average Shares,25690228.0,21966087.0,20074325.0
Basic Average Shares,25690228.0,21966087.0,20074325.0
Diluted EPS,-0.1779,-0.0266,-0.0516
Basic EPS,-0.1779,-0.0266,-0.0516
Diluted NI Availto Com Stockholders,-4571084.0,-584633.0,-1035485.0
Net Income Common Stockholders,-4571084.0,-584633.0,-1035485.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0
Net Income,-4571084.0,-584633.0,-1035485.0
Minority Interests,-522.0,,
Net Income Including Noncontrolling Interests,-4570562.0,-584633.0,-1035485.0
Net Income Continuous Operations,-4570562.0,-584633.0,-1035485.0
Tax Provision,,0.0,0.0
Pretax Income,-4570562.0,-584633.0,-1035485.0
Other Non Operating Income Expenses,-1.0,1.0,
Special Income Charges,1264.0,0.0,-226644.0
Other Special Charges,-1264.0,,140151.0
Write Off,0.0,0.0,
Net Non Operating Interest Income Expense,-3418392.0,-68973.0,44020.0
Total Other Finance Cost,3131890.0,,
Interest Expense Non Operating,286659.0,224631.0,96943.0
Interest Income Non Operating,157.0,155658.0,140963.0
Operating Income,-91982.0,-370605.0,-728899.0
Operating Expense,512350.0,750409.0,1152408.0
Other Operating Expenses,,,140151.0
Depreciation And Amortization In Income Statement,84960.0,78109.0,38442.0
Depreciation Income Statement,84960.0,78109.0,38442.0
Selling General And Administration,195117.0,393801.0,691527.0
General And Administrative Expense,195117.0,393801.0,691527.0
Gross Profit,420368.0,379804.0,423509.0
Cost Of Revenue,1278471.0,1024430.0,1350201.0
Total Revenue,1698839.0,1404234.0,1773710.0
Operating Revenue,1698839.0,1404234.0,1773710.0
