Metric,Value
address1,48 Chancery Lane
address2,1st Floor
city,London
zip,WC2A 1JF
country,United Kingdom
phone,44 020 7073 0582
website,https://everestglobalplc.com
industry,Farm Products
industryKey,farm-products
industryDisp,Farm Products
sector,Consumer Defensive
sectorKey,consumer-defensive
sectorDisp,Consumer Defensive
longBusinessSummary,"Everest Global Plc, through its subsidiary, invests and trades in agricultural and ancillary sectors in South Africa. The company is involved in the importation, milling, blending, and packaging of agricultural products that include herbs, spices, seasonings, and confectionary. It also manufactures chilli and paprika blended products; and trades in black pepper, chilli flakes, coconut, and dehydrated garlic products, as well as sugar beans, sesame seeds, white pepper, roasted coriander, and pumpkin seeds. The company was formerly known as Anglo African Agriculture Plc and changed its name to Everest Global Plc in October 2022. Everest Global Plc was incorporated in 2012 and is headquartered in London, the United Kingdom."
fullTimeEmployees,12
companyOfficers,"[{'maxAge': 1, 'name': 'Mr. Xin  Sui', 'age': 42, 'title': 'CEO & Executive Director', 'yearBorn': 1982, 'exercisedValue': 0, 'unexercisedValue': 0}]"
executiveTeam,[]
maxAge,86400
priceHint,4
previousClose,1.0
open,0.0
dayLow,0.0
dayHigh,0.0
regularMarketPreviousClose,1.0
regularMarketOpen,0.0
regularMarketDayLow,0.0
regularMarketDayHigh,0.0
payoutRatio,0.0
beta,0.474
volume,30500
regularMarketVolume,30500
averageVolume,1558
averageVolume10days,2050
averageDailyVolume10Day,2050
bid,0.5
ask,1.0
marketCap,580416
fiftyTwoWeekLow,0.0
fiftyTwoWeekHigh,2.33
priceToSalesTrailing12Months,1.325853
fiftyDayAverage,0.37382
twoHundredDayAverage,0.815125
trailingAnnualDividendRate,0.0
trailingAnnualDividendYield,0.0
currency,GBp
tradeable,False
enterpriseValue,3936466
profitMargins,4.1012797
floatShares,21464573
sharesOutstanding,77388896
heldPercentInsiders,0.61436003
heldPercentInstitutions,0.022669999
impliedSharesOutstanding,113504000
bookValue,0.001
priceToBook,749.99994
lastFiscalYearEnd,1730332800
nextFiscalYearEnd,1761868800
mostRecentQuarter,1730332800
netIncomeToCommon,-2959861
trailingEps,-0.04
lastSplitFactor,1:20
lastSplitDate,1572480000
enterpriseToRevenue,8.992
enterpriseToEbitda,-6.005
52WeekChange,-0.625
SandP52WeekChange,0.12677538
quoteType,EQUITY
currentPrice,0.75
recommendationKey,none
totalCash,279725
totalCashPerShare,0.004
ebitda,-655488
totalDebt,3635775
quickRatio,0.296
currentRatio,3.216
totalRevenue,437768
debtToEquity,3772.647
revenuePerShare,0.006
returnOnAssets,-0.13774
grossProfits,108054
freeCashflow,-3217820
operatingCashflow,-726373
grossMargins,0.24683
ebitdaMargins,-1.49734
operatingMargins,-1.52959
financialCurrency,GBP
symbol,EVST.L
language,en-US
region,US
typeDisp,Equity
quoteSourceName,Delayed Quote
triggerable,False
customPriceAlertConfidence,LOW
exchange,LSE
messageBoardId,finmb_205252848
exchangeTimezoneName,Europe/London
exchangeTimezoneShortName,BST
gmtOffSetMilliseconds,3600000
market,gb_market
esgPopulated,False
regularMarketChangePercent,-25.0
regularMarketPrice,0.75
corporateActions,[]
regularMarketTime,1750939022
marketState,CLOSED
shortName,EVEREST GLOBAL PLC ORD 2P
longName,Everest Global Plc
hasPrePostMarketData,False
firstTradeDateMilliseconds,1438239600000
regularMarketChange,-0.25
regularMarketDayRange,0.0 - 0.0
fullExchangeName,LSE
averageDailyVolume3Month,1558
fiftyTwoWeekLowChange,0.75
fiftyTwoWeekRange,0.0 - 2.33
fiftyTwoWeekHighChange,-1.5799999
fiftyTwoWeekHighChangePercent,-0.67811155
fiftyTwoWeekChangePercent,-62.5
epsTrailingTwelveMonths,-0.04
fiftyDayAverageChange,0.37618
fiftyDayAverageChangePercent,1.0063132
twoHundredDayAverageChange,-0.06512499
twoHundredDayAverageChangePercent,-0.079895705
sourceInterval,15
exchangeDataDelayedBy,15
cryptoTradeable,False
trailingPegRatio,
