,2023-12-31,2022-12-31,2021-12-31
Ordinary Shares Number,252345590.0,141845592.0,29345592.0
Share Issued,252345590.0,141845592.0,29345592.0
Total Debt,35000.0,0.0,0.0
Tangible Book Value,235000.0,269000.0,54000.0
Invested Capital,1785000.0,1263000.0,54000.0
Working Capital,479000.0,257000.0,54000.0
Net Tangible Assets,235000.0,269000.0,54000.0
Capital Lease Obligations,35000.0,0.0,
Common Stock Equity,1785000.0,1263000.0,54000.0
Total Capitalization,1785000.0,1263000.0,54000.0
Total Equity Gross Minority Interest,1785000.0,1263000.0,54000.0
Stockholders Equity,1785000.0,1263000.0,54000.0
Retained Earnings,-2469000.0,-1354000.0,-291000.0
Additional Paid In Capital,3938000.0,2546000.0,342000.0
Capital Stock,25000.0,14000.0,3000.0
Common Stock,25000.0,14000.0,3000.0
Total Liabilities Net Minority Interest,816000.0,132000.0,82000.0
Total Non Current Liabilities Net Minority Interest,462000.0,0.0,0.0
Tradeand Other Payables Non Current,436000.0,,
Long Term Debt And Capital Lease Obligation,26000.0,0.0,0.0
Long Term Capital Lease Obligation,26000.0,0.0,
Long Term Debt,,,0.0
Current Liabilities,354000.0,132000.0,82000.0
Current Debt And Capital Lease Obligation,9000.0,0.0,
Current Capital Lease Obligation,9000.0,0.0,
Payables,230000.0,15000.0,18000.0
Other Payable,191000.0,,
Accounts Payable,39000.0,15000.0,18000.0
Total Assets,2601000.0,1395000.0,136000.0
Total Non Current Assets,1768000.0,1005000.0,0.0
Investmentin Financial Assets,,,0.0
Long Term Equity Investment,0.0,0.0,
Investmentsin Subsidiariesat Cost,0.0,0.0,
Goodwill And Other Intangible Assets,1550000.0,994000.0,0.0
Other Intangible Assets,,11000.0,
Goodwill,1550000.0,994000.0,
Net PPE,218000.0,11000.0,
Accumulated Depreciation,-22000.0,0.0,
Gross PPE,87000.0,0.0,
Other Properties,44000.0,,
Machinery Furniture Equipment,43000.0,0.0,
Current Assets,833000.0,389000.0,136000.0
Prepaid Assets,17000.0,18000.0,11000.0
Other Receivables,100000.0,,
Taxes Receivable,42000.0,9000.0,26000.0
Cash Cash Equivalents And Short Term Investments,674000.0,362000.0,99000.0
Cash And Cash Equivalents,674000.0,362000.0,99000.0
